instance,algorithm_1,algorithm_2,algorithm_3,algorithm_4,algorithm_5
instance_8,266.0,31.0,645.0,34.0,81.0
instance_7,46.0,9.0,118.0,5.0,11.0
instance_24,72000.0,840.0,72000.0,785.0,177.0
instance_115,1607.0,41.0,1285.0,1.0,2.0
instance_52,317.0,17.0,72000.0,22.0,14.0
instance_14,72000.0,8.0,72000.0,12.0,9.0
instance_12,72000.0,660.0,72000.0,1748.0,1022.0
instance_195,72000.0,63.0,1741.0,29.0,74.0
instance_3,72000.0,1642.0,72000.0,451.0,1527.0
instance_206,5.0,2.0,39.0,1.0,1.0
instance_25,2079.0,803.0,72000.0,422.0,1080.0
instance_91,6.0,20.0,49.0,12.0,4.0
instance_49,1146.0,715.0,5086.0,581.0,619.0
instance_32,22.0,28.0,101.0,10.0,38.0
instance_181,35.0,6.0,21.0,1.0,9.0
instance_146,84.0,3.0,91.0,4.0,30.0
instance_19,259.0,7.0,152.0,11.0,6.0
instance_92,72000.0,72000.0,72000.0,6.0,23.0
instance_66,3745.0,2321.0,606.0,4.0,1.0
instance_173,191.0,20.0,142.0,48.0,6.0
instance_23,753.0,238.0,72000.0,1416.0,608.0
instance_10,2689.0,48.0,72000.0,19.0,46.0
instance_127,171.0,19.0,250.0,11.0,15.0
instance_37,1.0,1.0,72000.0,1.0,1.0
instance_140,1100.0,1195.0,1344.0,207.0,426.0
instance_82,5.0,3.0,27.0,2.0,2.0
instance_111,72000.0,9.0,67.0,6.0,5.0
instance_163,72000.0,72000.0,72000.0,32.0,60.0
instance_209,759.0,57.0,126.0,51.0,38.0
instance_192,75.0,15.0,61.0,11.0,10.0
instance_44,72000.0,50.0,72000.0,72.0,108.0
instance_170,72000.0,5168.0,72000.0,72000.0,2370.0
instance_15,72000.0,72000.0,72000.0,1654.0,72000.0
instance_166,666.0,31.0,20.0,599.0,476.0
instance_175,72000.0,1.0,2448.0,1.0,134.0
instance_88,72000.0,72000.0,72000.0,26.0,76.0
instance_11,60.0,46.0,383.0,2.0,1.0
instance_142,577.0,31.0,1345.0,53.0,39.0
instance_207,50.0,46.0,72000.0,34.0,53.0
instance_22,137.0,57.0,72000.0,357.0,184.0
instance_107,72000.0,521.0,72000.0,286.0,3679.0
instance_205,1574.0,9.0,72000.0,1.0,4.0
instance_216,2385.0,166.0,903.0,434.0,341.0
instance_152,72000.0,3538.0,72000.0,72000.0,72000.0
instance_59,5866.0,7.0,72000.0,9.0,72.0
instance_132,222.0,55.0,233.0,18.0,15.0
instance_45,72000.0,872.0,72000.0,767.0,975.0
instance_58,72000.0,544.0,72000.0,72000.0,1717.0
instance_198,4063.0,6934.0,72000.0,2402.0,2720.0
instance_194,306.0,76.0,693.0,316.0,106.0
instance_28,1203.0,444.0,72000.0,275.0,294.0
instance_196,2122.0,1974.0,72000.0,2517.0,2123.0
instance_151,2998.0,260.0,1708.0,401.0,840.0
instance_40,1.0,1.0,52.0,1.0,1.0
instance_110,77.0,19.0,127.0,9.0,10.0
instance_103,1552.0,161.0,1010.0,79.0,68.0
instance_109,467.0,524.0,72000.0,141.0,153.0
instance_124,90.0,349.0,72000.0,35.0,11.0
instance_179,72000.0,2.0,72000.0,2.0,72000.0
instance_87,363.0,20.0,421.0,55.0,19.0
instance_101,3935.0,1.0,72000.0,1.0,3502.0
instance_64,425.0,103.0,776.0,38.0,39.0
instance_6,46.0,17.0,104.0,8.0,10.0
instance_31,749.0,284.0,838.0,128.0,419.0
instance_153,14.0,4.0,72000.0,1.0,1.0
instance_125,2266.0,160.0,560.0,226.0,899.0
instance_161,89.0,32.0,608.0,20.0,62.0
instance_150,72000.0,72000.0,72000.0,49.0,79.0
instance_186,1394.0,192.0,2232.0,85.0,455.0
instance_85,3145.0,219.0,72000.0,5.0,8.0
instance_100,72000.0,6581.0,72000.0,4.0,1474.0
instance_178,72000.0,1.0,72000.0,1.0,72000.0
instance_97,72000.0,101.0,72000.0,2375.0,496.0
instance_67,72000.0,72000.0,72000.0,3748.0,1564.0
instance_135,49.0,65.0,707.0,105.0,173.0
instance_43,72000.0,473.0,72000.0,39.0,7.0
instance_217,296.0,62.0,367.0,447.0,370.0
instance_168,855.0,90.0,396.0,27.0,28.0
instance_75,72000.0,233.0,72000.0,401.0,224.0
instance_9,20.0,11.0,47.0,4.0,5.0
instance_53,81.0,7.0,94.0,4.0,2.0
instance_118,49.0,8.0,275.0,4.0,15.0
instance_1,106.0,2.0,99.0,2.0,3.0
instance_176,72000.0,1.0,72000.0,1.0,1979.0
instance_200,113.0,120.0,72000.0,14.0,28.0
instance_126,147.0,337.0,1973.0,10.0,6.0
instance_171,72000.0,1.0,485.0,2.0,1.0
instance_215,72000.0,148.0,72000.0,72000.0,218.0
instance_48,139.0,146.0,1319.0,140.0,212.0
instance_41,599.0,12.0,72000.0,16.0,20.0
instance_193,72000.0,72000.0,6231.0,5426.0,2808.0
instance_16,246.0,67.0,232.0,83.0,92.0
instance_26,69.0,33.0,172.0,28.0,28.0
instance_131,191.0,3.0,11.0,2.0,1.0
instance_117,72000.0,8.0,72000.0,3.0,2.0
instance_2,69.0,22.0,610.0,3.0,3.0
instance_71,15.0,10.0,41.0,5.0,4.0
instance_182,72000.0,401.0,72000.0,1717.0,732.0
instance_27,2744.0,15.0,2201.0,1.0,2.0
instance_17,30.0,9.0,49.0,21.0,8.0
instance_183,72000.0,2673.0,72000.0,72000.0,72000.0
instance_4,72000.0,2258.0,72000.0,299.0,160.0
instance_95,2236.0,398.0,72000.0,66.0,560.0
instance_184,109.0,76.0,293.0,48.0,26.0
instance_197,148.0,32.0,221.0,22.0,112.0
instance_18,11.0,2.0,27.0,1.0,2.0
instance_187,35.0,10.0,67.0,7.0,9.0
instance_145,72000.0,72000.0,72000.0,276.0,1333.0
instance_208,72000.0,2289.0,72000.0,52.0,1160.0
instance_133,135.0,17.0,105.0,6.0,8.0
instance_202,72000.0,1131.0,72000.0,5973.0,693.0
instance_29,373.0,3497.0,72000.0,222.0,97.0
instance_139,1008.0,46.0,515.0,72.0,37.0
instance_68,72000.0,24.0,72000.0,12.0,9.0
instance_108,52.0,9.0,32.0,10.0,12.0
instance_83,72000.0,63.0,91.0,39.0,6.0
instance_39,1.0,1.0,72000.0,1.0,1.0
instance_42,70.0,3.0,1900.0,4.0,6.0
instance_54,263.0,14.0,201.0,5.0,4.0
instance_112,1.0,1.0,4.0,1.0,1.0
instance_172,72000.0,72000.0,72000.0,210.0,129.0
instance_144,765.0,203.0,1292.0,147.0,89.0
instance_213,839.0,23.0,578.0,54.0,77.0
instance_159,719.0,17.0,25.0,17.0,14.0
instance_77,72000.0,655.0,1914.0,1187.0,521.0
instance_114,334.0,29.0,66.0,8.0,25.0
instance_62,655.0,120.0,1975.0,96.0,124.0
instance_188,1239.0,54.0,72000.0,72000.0,342.0
instance_157,19.0,2.0,72000.0,1.0,1.0
instance_201,72000.0,1246.0,72000.0,859.0,839.0
instance_70,47.0,1.0,38.0,1.0,2.0
instance_72,49.0,23.0,650.0,91.0,110.0
instance_47,72000.0,3229.0,72000.0,1448.0,509.0
instance_99,445.0,294.0,755.0,215.0,461.0
instance_13,72000.0,72000.0,72000.0,220.0,66.0
instance_210,72000.0,3439.0,6868.0,72000.0,3979.0
instance_167,3300.0,3927.0,72000.0,1376.0,1117.0
instance_102,81.0,12.0,119.0,2.0,2.0
instance_212,72000.0,105.0,72000.0,731.0,90.0
instance_36,1.0,1.0,72000.0,1.0,1.0
instance_134,368.0,122.0,304.0,105.0,29.0
instance_156,168.0,6.0,653.0,1.0,2.0
instance_5,152.0,14.0,185.0,11.0,16.0
instance_74,72000.0,89.0,72000.0,465.0,143.0
