instance,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19,feature_20,feature_21,feature_22,feature_23,feature_24,feature_25,feature_26,feature_27,feature_28,feature_29,feature_30,feature_31,feature_32,feature_33,feature_34,feature_35,feature_36,feature_37
instance_427,211564.0,2464414.0,0.0077,563.27606,99.85713,1.0,581.0,0.08585,1e-05,4.26899,0.0,0.00071,0.00071,1e-05,2.15847,0.0,0.00274,0.00273,0.73532,0.30095,0.03659,0.98947,0.95289,0.71836,0.34786,0.0,1.0,1.0,0.03515,0.63996,0.99977,0.0,0.0,0.0,0.00023,0.00023,0.41567
instance_370,33386.0,350575.0,0.00191,103973400.0,49729164.0,733180.0,237498496.0,0.09523,9e-05,2.32915,1e-05,0.00151,0.0015,9e-05,0.26704,3e-05,0.00174,0.00171,0.45095,0.22833,0.22222,1.0,0.77778,0.47809,0.37896,0.0,1.0,1.0,0.00964,0.14208,0.74178,4e-05,0.0,1e-05,0.00091,0.0009,0.47633
instance_537,1825.0,9258.0,0.14226,1429.89978,4846.80811,12.0,127940.0,0.19713,0.00121,1.77787,0.00022,0.0404,0.04018,0.00121,0.46786,0.00055,0.01205,0.01151,0.35628,0.73771,0.03333,0.99698,0.96365,0.32497,0.94911,0.0,1.0,1.0,0.1509,0.81043,0.87589,0.0008,0.0,0.0,0.03564,0.03564,0.80892
instance_287,6696.0,40521.0,0.00062,27.0,29.20548,7.0,100.0,0.16525,0.00034,0.8437,7e-05,0.00148,0.00141,0.00034,0.96343,0.00015,0.00717,0.00702,0.38995,0.40846,0.05882,0.96226,0.90344,0.32194,0.86277,0.0,1.0,1.0,0.00718,0.89146,0.95632,0.00026,0.0,0.0,0.00136,0.00136,0.88942
instance_425,214302.0,3502505.0,0.00542,563.27606,99.85713,1.0,581.0,0.06119,1e-05,3.46171,0.0,0.0005,0.0005,1e-05,1.80191,0.0,0.0027,0.0027,0.75407,0.30155,0.07895,0.98947,0.91053,0.71673,0.33297,0.0,1.0,1.0,0.02289,0.60778,0.99984,0.0,0.0,0.0,0.00016,0.00016,0.38204
instance_500,68088.0,568379.0,0.00873,317.69354,85.91703,1.0,341.0,0.11979,4e-05,4.72818,0.0,0.00189,0.00189,4e-05,1.8294,1e-05,0.00498,0.00496,0.78257,0.25953,0.0,1.0,1.0,0.70659,0.36142,0.0,1.0,1.0,0.03278,0.52585,0.99945,1e-05,0.0,0.0,0.00059,0.00059,0.39754
instance_552,6785.0,51018.0,0.10012,2044.60107,5796.33447,4.0,137348.0,0.13299,0.00042,3.82177,2e-05,0.07127,0.07125,0.00042,0.49267,0.00015,0.01857,0.01842,0.40757,0.58734,0.0,0.99835,0.99835,0.52199,0.56821,0.0,1.0,1.0,0.11964,0.44872,0.67315,0.00011,0.0,2e-05,0.02646,0.02644,0.44849
instance_398,7679.0,34285.0,0.02053,27119122.0,4829183.5,7812120.0,35407204.0,0.22398,0.00036,3.09533,6e-05,0.01546,0.0154,0.00036,0.76744,0.00013,0.00951,0.00938,0.4217,0.24018,0.28571,1.0,0.71429,0.42055,0.55978,0.0,1.0,1.0,0.021,0.61493,0.81683,0.00019,0.0,6e-05,0.00811,0.00805,0.68905
instance_71,90350.0,408580.0,0.02128,47034.36719,8526.5332,18.0,50000.0,0.22113,3e-05,3.04438,1e-05,0.00105,0.00103,3e-05,0.39178,1e-05,0.00011,0.0001,0.4677,0.2131,0.09091,0.5,0.40909,0.49725,0.54222,0.0,1.0,1.0,0.0213,0.21278,0.97872,3e-05,0.0,1e-05,0.00079,0.00077,0.80851
instance_523,280446.0,6957547.0,0.00261,1.0,0.0,1.0,1.0,0.04031,1e-05,0.58023,0.0,7e-05,7e-05,1e-05,0.17004,0.0,2e-05,1e-05,0.53148,0.28604,0.0,0.99663,0.99663,0.57964,0.26832,0.0,1.0,1.0,0.00261,0.06734,0.26082,0.0,0.0,0.0,3e-05,3e-05,0.12769
instance_255,18169.0,112632.0,0.16218,904035.9375,3572340.5,1.0,15026590.0,0.16131,0.00012,8.91265,2e-05,0.08442,0.0844,0.00012,0.61701,6e-05,0.00424,0.00418,0.19228,1.32005,0.0,0.99979,0.99979,0.4594,0.48419,0.0,1.0,1.0,0.16218,0.82899,0.9795,8e-05,0.0,1e-05,0.02297,0.02296,0.82812
instance_454,214821.0,3504563.0,0.00542,563.27606,99.85713,1.0,581.0,0.0613,1e-05,3.48111,0.0,0.00052,0.00052,1e-05,1.80018,0.0,0.0027,0.00269,0.76229,0.29656,0.03333,0.98947,0.95614,0.71605,0.33165,0.0,1.0,1.0,0.02159,0.61244,0.99984,0.0,0.0,0.0,0.00016,0.00016,0.38193
instance_539,10662.0,83180.0,0.09686,2032.10071,5710.2417,4.0,137348.0,0.12818,0.00022,3.38814,1e-05,0.0237,0.02368,0.00022,0.55023,9e-05,0.0166,0.01651,0.35443,0.74242,0.0,1.0,1.0,0.43341,0.6505,0.0,1.0,1.0,0.10962,0.72408,0.83949,0.00013,0.0,0.0,0.02277,0.02277,0.72414
instance_566,6404.0,36638.0,0.10265,2686.82471,7971.05811,8.0,121708.0,0.17479,0.00037,4.14699,5e-05,0.07146,0.0714,0.00037,0.51594,0.00016,0.01249,0.01234,0.53312,0.39962,0.02381,0.99809,0.97428,0.58802,0.50312,0.0,1.0,1.0,0.2356,0.56916,0.86416,0.00013,0.0,3e-05,0.01253,0.0125,0.54424
instance_251,18169.0,112632.0,0.16218,1726621.875,4791506.5,1.0,15026590.0,0.16131,0.00012,8.91265,2e-05,0.08442,0.0844,0.00012,0.61701,6e-05,0.00424,0.00418,0.20152,1.28676,0.0,0.99979,0.99979,0.46828,0.47799,0.0,1.0,1.0,0.16218,0.82899,0.9795,8e-05,0.0,1e-05,0.02297,0.02296,0.82812
instance_614,685.0,3188.0,0.18036,1123.35999,2429.42261,20.0,21484.0,0.21487,0.00402,2.4203,0.00063,0.14335,0.14272,0.00402,0.44711,0.00146,0.01314,0.01168,0.46122,0.47707,0.03448,0.98687,0.95239,0.45539,0.74953,0.0,1.0,1.0,0.18036,0.48651,0.61543,0.00114,0.0,0.00031,0.01412,0.0138,0.48118
instance_6,201.0,934.0,0.1531,141.32169,346.25342,1.0,1000.0,0.2152,0.01513,0.52454,0.00214,0.04069,0.03854,0.01513,0.36531,0.00498,0.02985,0.02488,0.7307,0.19601,0.46667,0.96667,0.5,0.67482,0.50994,0.0,1.0,1.0,0.09101,0.31478,0.6349,0.00107,0.0,0.00107,0.00107,0.0,0.1531
instance_59,117057.0,537314.0,0.02381,30313.27344,6078.71338,20004.0,50000.0,0.21786,2e-05,4.22781,1e-05,0.00113,0.00112,2e-05,0.36509,1e-05,8e-05,7e-05,0.45701,0.26928,0.1,0.5,0.4,0.47912,0.56204,0.0,1.0,1.0,0.02382,0.2143,0.97619,2e-05,0.0,1e-05,0.00085,0.00084,0.80953
instance_41,1127.0,15507.0,0.03147,1301.57178,817.69055,1.0,2000.0,0.07268,0.00194,1.00158,6e-05,0.01354,0.01348,0.00194,0.22462,0.00089,0.00355,0.00266,0.34313,1.06916,0.0,1.0,1.0,0.28354,1.18513,0.0,1.0,1.0,0.03147,0.79841,0.98626,0.00169,0.0,0.0,0.01348,0.01348,0.87715
instance_626,4328.0,24194.0,0.09585,2393.4248,6935.41455,8.0,85972.0,0.17889,0.00047,3.66289,8e-05,0.06944,0.06936,0.00047,0.46162,0.00023,0.01132,0.01109,0.54206,0.38074,0.02326,1.0,0.97674,0.57894,0.48735,0.0,1.0,1.0,0.26494,0.72501,0.98541,0.00027,0.0,4e-05,0.01947,0.01943,0.70708
instance_66,438103.0,2037006.0,0.01923,25648.14844,5235.21094,20000.0,50000.0,0.21507,1e-05,0.0,0.0,0.00061,0.00061,1e-05,0.0,0.0,3e-05,2e-05,0.46359,0.25058,0.08333,0.5,0.41667,0.48031,0.0,0.0,1.0,1.0,0.01924,0.21154,0.98077,1e-05,0.0,0.0,0.00046,0.00046,0.80769
instance_276,18169.0,112632.0,0.16218,2549298.75,5638546.0,1.0,15026590.0,0.16131,0.00012,8.91265,2e-05,0.08442,0.0844,0.00012,0.61701,6e-05,0.00424,0.00418,0.21264,1.24248,0.0,0.99979,0.99979,0.47716,0.47145,0.0,1.0,1.0,0.16218,0.82899,0.9795,8e-05,0.0,1e-05,0.02297,0.02296,0.82812
instance_617,3665.0,21419.0,0.11228,2203.9751,6915.77148,8.0,106048.0,0.17111,0.0007,4.26915,9e-05,0.08899,0.08889,0.0007,0.45919,0.00027,0.01937,0.0191,0.44037,0.48383,0.02083,0.99685,0.97601,0.51781,0.56152,0.0,1.0,1.0,0.15752,0.50451,0.80727,0.00023,0.0,0.0,0.01307,0.01307,0.5031
instance_146,33670.0,8691250.0,0.00051,47192.52734,8376.1543,18.0,50000.0,0.00387,9e-05,0.0,9e-05,9e-05,0.0,8e-05,0.10727,3e-05,9e-05,6e-05,0.33337,0.00084,0.3329,0.33419,0.00129,0.31819,0.06626,0.0,1.0,1.0,0.00051,0.00051,1.0,9e-05,0.0,9e-05,9e-05,0.0,1.0
instance_257,18169.0,112632.0,0.16218,1726621.875,4791506.5,1.0,15026590.0,0.16131,0.00012,8.91265,2e-05,0.08442,0.0844,0.00012,0.61701,6e-05,0.00424,0.00418,0.2019,1.28491,0.0,0.99979,0.99979,0.46828,0.47799,0.0,1.0,1.0,0.16218,0.82899,0.9795,8e-05,0.0,1e-05,0.02297,0.02296,0.82812
instance_455,172671.0,553591.0,0.00394,426.68808,256.30075,1.0,581.0,0.31191,2e-05,8.33276,0.0,0.00333,0.00333,2e-05,3.97292,1e-05,0.00336,0.00335,0.73987,0.18375,0.0,1.0,1.0,0.68507,0.34458,0.0,1.0,1.0,0.03814,0.59678,0.99901,1e-05,0.0,0.0,0.00107,0.00107,0.46304
instance_76,86710.0,396548.0,0.02128,28879.01172,6536.63379,20004.0,50000.0,0.21866,3e-05,3.69724,1e-05,0.00147,0.00146,3e-05,0.39312,1e-05,0.00012,0.0001,0.46152,0.25491,0.09091,0.5,0.40909,0.48343,0.5571,0.0,1.0,1.0,0.0213,0.21278,0.97872,3e-05,0.0,1e-05,0.0011,0.0011,0.80852
instance_610,844.0,4211.0,0.16006,1549.15723,3114.01074,20.0,38308.0,0.20043,0.00296,1.68664,0.00047,0.12491,0.12444,0.00296,0.45492,0.00118,0.01066,0.00948,0.47138,0.49824,0.04167,0.9981,0.95643,0.43281,0.73409,0.0,1.0,1.0,0.16409,0.61933,0.76656,0.00126,3.42147,0.00024,0.12467,0.12444,0.61506
instance_337,37008.0,133094.0,0.00967,3.82284,3.47593,1.0,21.0,0.27806,6e-05,0.50542,2e-05,0.00027,0.00026,6e-05,0.60535,3e-05,0.00068,0.00065,0.38216,0.43946,0.08333,0.96154,0.87821,0.34958,0.76484,0.0,1.0,1.0,0.01198,0.80104,0.96903,5e-05,0.0,1e-05,0.00014,0.00013,0.8493
instance_598,5715.0,29633.0,0.10735,2713.0188,8209.82227,4.0,135240.0,0.19286,0.0004,4.78148,7e-05,0.07492,0.07485,0.0004,0.52217,0.00017,0.01277,0.0126,0.47531,0.40395,0.01754,0.9973,0.97975,0.55843,0.50216,0.0,1.0,1.0,0.21655,0.63979,0.88982,0.00018,0.0,3e-05,0.0085,0.00847,0.6243
instance_524,71809.0,719175.0,0.00073,8.87121,17.57609,1.0,184.0,0.09985,5e-05,0.93516,1e-05,0.00037,0.00037,5e-05,0.2556,1e-05,7e-05,6e-05,0.49625,0.1321,0.00373,0.75,0.74627,0.47605,0.35172,0.0,1.0,1.0,0.00073,0.22115,0.44863,1e-05,0.0,0.0,0.00021,0.0002,0.35851
instance_163,68120.0,306637.0,0.02128,47189.69922,8235.74902,80.0,50000.0,0.22215,4e-05,2.86591,2e-05,0.0012,0.00118,4e-05,0.39305,1e-05,0.00015,0.00013,0.46802,0.21121,0.09091,0.5,0.40909,0.49853,0.54064,0.0,1.0,1.0,0.02131,0.21279,0.97872,3e-05,0.0,2e-05,0.0009,0.00088,0.80852
instance_231,18169.0,112632.0,0.16218,2549298.75,5638546.0,1.0,15026590.0,0.16131,0.00012,8.91265,2e-05,0.08442,0.0844,0.00012,0.61701,6e-05,0.00424,0.00418,0.21294,1.24299,0.0,0.99979,0.99979,0.47716,0.47145,0.0,1.0,1.0,0.16218,0.82899,0.9795,8e-05,0.0,1e-05,0.02297,0.02296,0.82812
instance_318,21022.0,184475.0,0.00369,2.70925,1.27465,2.0,5.0,0.11396,0.00017,3.79177,1e-05,0.00481,0.0048,0.00017,0.21803,5e-05,0.00095,0.0009,0.45443,0.37608,0.0,0.85714,0.85714,0.10896,1.94162,0.0,1.0,1.0,0.00419,0.17008,0.23994,0.00017,0.0,0.0,0.0048,0.0048,0.96894
instance_85,22156.0,95936.0,0.02381,46755.66016,8846.28516,162.0,50000.0,0.23095,0.00013,2.33846,4e-05,0.0025,0.00246,0.00013,0.36651,5e-05,0.00041,0.00036,0.46722,0.20861,0.1,0.5,0.4,0.49818,0.54269,0.0,1.0,1.0,0.02389,0.21435,0.97619,0.00011,0.0,3e-05,0.00188,0.00184,0.80954
instance_475,208381.0,1714577.0,0.01107,563.27606,99.85713,1.0,581.0,0.12153,1e-05,5.74447,0.0,0.00105,0.00105,1e-05,2.4769,0.0,0.00278,0.00277,0.74879,0.27512,0.0,1.0,1.0,0.71488,0.35943,0.0,1.0,1.0,0.04322,0.60791,0.99967,0.0,0.0,0.0,0.00033,0.00033,0.42091
instance_118,414594.0,1222219.0,0.00193,46805.35156,8867.62012,258.0,50000.0,0.33921,1e-05,0.0,0.0,0.00015,0.00015,1e-05,0.0,0.0,0.00043,0.00043,0.49457,0.06349,0.2,0.99448,0.79448,0.43111,0.0,0.0,1.0,1.0,0.00049,0.65129,0.99826,1e-05,0.0,0.0,0.00015,0.00015,0.99826
instance_553,3665.0,21419.0,0.11228,2203.9751,6915.77148,8.0,106048.0,0.17111,0.0007,4.26915,9e-05,0.08899,0.08889,0.0007,0.45919,0.00027,0.01937,0.0191,0.44037,0.48383,0.02083,0.99685,0.97601,0.51781,0.56152,0.0,1.0,1.0,0.15752,0.50451,0.80727,0.00023,0.0,0.0,0.01307,0.01307,0.5031
instance_5,311.0,534.0,0.39139,426.79425,708.56213,1.0,2000.0,0.5824,0.00912,0.63859,0.00187,0.02809,0.02622,0.00912,0.47866,0.00322,0.01929,0.01608,0.5063,0.39244,0.0,0.88889,0.88889,0.44719,0.88893,0.0,1.0,1.0,0.20037,0.47566,0.58614,0.00187,0.0,0.00187,0.00187,0.0,0.39139
instance_348,57632.0,213899.0,0.00744,2.90446,2.16966,1.0,9.0,0.26944,4e-05,0.52981,1e-05,0.00017,0.00016,4e-05,0.70184,2e-05,0.00043,0.00042,0.37136,0.47011,0.08333,0.96154,0.87821,0.3343,0.81195,0.0,1.0,1.0,0.01039,0.81883,0.97395,3e-05,0.0,0.0,9e-05,8e-05,0.86152
instance_25,515.0,636.0,0.32862,426.79425,708.56213,1.0,2000.0,0.80975,0.00396,0.52666,0.00157,0.01415,0.01258,0.00396,0.49424,0.00194,0.00777,0.00583,0.46056,0.40315,0.0,1.0,1.0,0.28066,1.49733,0.0,1.0,1.0,0.32862,0.79403,0.83962,0.00244,0.0,0.0,0.01415,0.01415,0.76887
