instance,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19,feature_20,feature_21,feature_22,feature_23,feature_24,feature_25,feature_26,feature_27,feature_28,feature_29,feature_30,feature_31,feature_32,feature_33,feature_34,feature_35,feature_36,feature_37,feature_38,feature_39,feature_40,feature_41,feature_42,feature_43,feature_44,feature_45,feature_46,feature_47,feature_48,feature_49,feature_50,feature_51,feature_52,feature_53,feature_54,feature_55,feature_56,feature_57,feature_58,feature_59,feature_60,feature_61,feature_62,feature_63,feature_64,feature_65,feature_66,feature_67,feature_68,feature_69,feature_70,feature_71,feature_72,feature_73,feature_74,feature_75,feature_76,feature_77,feature_78,feature_79,feature_80,feature_81,feature_82,feature_83,feature_84,feature_85,feature_86,feature_87,feature_88,feature_89,feature_90,feature_91,feature_92,feature_93,feature_94,feature_95,feature_96,feature_97,feature_98,feature_99,feature_100,feature_101,feature_102,feature_103,feature_104,feature_105,feature_106,feature_107,feature_108,feature_109,feature_110,feature_111,feature_112,feature_113,feature_114,feature_115,feature_116,feature_117,feature_118,feature_119,feature_120,feature_121,feature_122,feature_123,feature_124,feature_125,feature_126,feature_127,feature_128,feature_129,feature_130,feature_131,feature_132,feature_133,feature_134,feature_135,feature_136,feature_137,feature_138,feature_139,feature_140,feature_141,feature_142,feature_143
instance_158,1.0,17956.0,624166.0,1283440.0,0.0,0.0,0.0,0.00461654,0.0257616,0.493011,-1501.18,17822.0,0.0,134.0,0.0,0.0,0.992537,0.0,0.00746269,0.0,0.0,17822.0,0.992537,0.0,0.0,2.0,2.0,0.0,0.0,0.971438,0.17147,0.516981,1.10304,-512.0,-512.0,2.05562,2.0,1.32293,0.0,71.9924,72.0,0.541013,108.0,-29.2554,-74.3951,-1024.59,-0.582182,0.999913,0.00835039,0.000118594,106.305,0.0,0.0,0.0,0.0,0.0,0.0,0.000634447,0.0,51.2441,0.0,2.95522,2.0,2.62595,0.0,0.000211482,68.757,0.985075,8.12404,-512.0,-512.0,1.60214e-06,790.041,0.00746269,0.0653656,0.000113071,0.000990388,0.000918593,0.00804595,2.05625,2.0,1.32745,0.0,71.4772,72.0,0.549283,109.0,-29.2552,-74.3951,-1016.94,-0.590782,0.999913,0.00835039,0.000120562,105.216,5.56917e-05,0.00568314,8.43813e-07,8.61082e-05,6.85517e-06,0.000699546,1.0,0.0,0.0,0.0,-512.0,0.0,0.0,-512.0,-512.0,-512.0,-512.0,-512.0,-512.0,0.0,-512.0,-512.0,-512.0,-512.0,-512.0,-512.0,-512.0,-512.0,-512.0,-512.0,-512.0,-512.0,0.0,-512.0,-512.0,-512.0,-512.0,4.93,-512.0,-512.0,-512.0,-512.0,-512.0,0.0,0.0,0.0,0.0,0.0
instance_25,1.0,48417.0,2187.0,1995820.0,0.0,0.0,0.0,0.000211417,0.0077738,0.5,917102.0,48417.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,48417.0,1.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0109344,40.8672,0.924855,0.285044,22.0,0.818182,912.582,163.0,2.1018,2680.0,41.2214,39.0,0.505428,54.0,20147.2,14.4653,910.052,0.980555,0.999946,0.00691546,9.16294,1.79889,18489.1,247191.0,5449.37,123707.0,8583.71,174918.0,0.0,0.0,0.0,0.0,-512.0,-512.0,-512.0,-512.0,0.0,0.0,-512.0,-512.0,-512.0,-512.0,0.0,0.0,-512.0,-512.0,-512.0,-512.0,-512.0,-512.0,912.582,163.0,2.1018,2680.0,41.2214,39.0,0.505428,54.0,20147.2,14.4653,910.052,0.980555,0.999946,0.00691546,9.16294,1.79889,18489.1,247191.0,5449.37,123707.0,8583.71,174918.0,1.0,0.0,0.0,0.0,-512.0,0.0,0.0,-512.0,-512.0,-512.0,-512.0,-512.0,-512.0,0.0,-512.0,-512.0,-512.0,-512.0,-512.0,-512.0,-512.0,-512.0,-512.0,-512.0,-512.0,-512.0,0.0,-512.0,-512.0,-512.0,-512.0,4.92,-512.0,1130.0,22842.0,714556.0,-512.0,0.0,0.0,0.0,0.0,0.0
instance_147,1.0,12648.0,131991.0,410582.0,0.0,0.0,0.0,0.0219583,0.0820289,0.5,0.0,7482.0,0.0,5166.0,0.0,0.0,0.591556,0.0,0.408444,0.0,0.0,7482.0,0.591556,0.0,0.0,2.0,2.0,0.0,0.0,0.119789,3.66095,0.953191,0.751195,-1.0,-0.0,2.14239,2.0,0.909392,0.0,37.7942,39.0,0.403138,16.0,-1.60026,-2.66083,-28.2304,-0.593242,0.962553,0.154447,0.000742908,30.8843,0.0,0.0,0.0,0.0,0.0,0.0,0.968293,1.0,0.491392,0.0,24.7398,29.0,0.47684,36.0,0.968293,0.491392,24.7398,0.47684,1.0,0.0,1.69411e-05,363.304,0.0,0.0,0.0,0.0,0.0,0.0,3.11068,3.0,0.609092,0.0,32.4622,36.0,0.472578,22.0,-0.631967,-6.66465,-6.59503,-4.55065,0.976215,0.122764,0.000750484,30.7914,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-512.0,0.0,0.0,-512.0,-512.0,-512.0,-512.0,-512.0,-512.0,0.0,-512.0,-512.0,-512.0,-512.0,-512.0,-512.0,-512.0,-512.0,-512.0,-512.0,-512.0,-512.0,0.0,-512.0,-512.0,-512.0,-512.0,0.24,-512.0,117675.0,11928.0,374162.0,60407.0,0.0,0.0,0.0,0.0,0.0
instance_39,1.0,512.0,256.0,1472.0,0.0,0.0,0.0,0.000976562,0.0220971,0.5,0.0,256.0,256.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0,512.0,1.0,256.0,0.5,2.0,2.0,0.0,0.0,-512.0,-512.0,-0.00390625,-15.9687,-512.0,-512.0,5.75,6.0,0.0813404,1.0,2.875,3.0,0.662241,4.0,2.75,0.170075,1.375,2.4663,-512.0,-512.0,0.322899,0.0199802,0.5,0.5,0.10651,0.108037,0.230397,0.231144,0.0,0.0,0.0,0.0,-512.0,-512.0,-512.0,-512.0,0.0,0.0,-512.0,-512.0,-512.0,-512.0,0.0,0.0,-512.0,-512.0,-512.0,-512.0,-512.0,-512.0,5.75,6.0,0.0813404,1.0,2.875,3.0,0.662241,4.0,2.75,0.170075,1.375,2.4663,-512.0,-512.0,0.322899,0.0199802,0.5,0.5,0.10651,0.108037,0.230397,0.231144,1.0,0.0,0.0,0.0,-512.0,0.0,0.0,-512.0,-512.0,-512.0,-512.0,-512.0,-512.0,0.0,-512.0,-512.0,-512.0,-512.0,-512.0,-512.0,-512.0,-512.0,-512.0,-512.0,-512.0,-512.0,0.0,-512.0,-512.0,-512.0,-512.0,0.0,-512.0,256.0,512.0,1472.0,-512.0,0.0,0.0,0.0,0.0,0.0
instance_24,1.0,154978.0,277594.0,788969.0,0.0,0.0,0.0,0.656893,1.73941,7.74585,33246.2,0.0,26287.0,128691.0,0.0,0.0,0.0,0.169618,0.830382,0.0,0.0,26287.0,0.169618,26287.0,1.0,-512.0,-512.0,-512.0,-512.0,0.0,0.0,18.2964,1.96162,0.0,0.0,0.847108,1.0,0.666591,1.0,8.94556,3.0,46.5211,0.0,-8.01823,-1.64701,-84.6735,-72.0239,-512.0,-512.0,3.60238e-06,526.871,0.426234,45.6668,0.000103476,0.0123009,0.00648028,0.748511,1.99506,1.0,1.34784,2.0,4.30346,3.0,1.77131,8.0,0.500001,0.978321,1.07853,6.63787,0.00165202,18.5426,0.0460871,2.47818,0.035562,1.67512,0.0146473,1.67255,0.0210126,1.67258,2.84217,2.0,0.852,1.0,5.09085,3.0,33.6963,8.0,-7.51823,-1.7707,-13.4665,-186.527,0.00165202,18.5426,0.536621,0.81303,0.101827,18.8701,0.0121804,1.52413,0.0185477,1.55501,1.0,0.0,0.0,0.0,-512.0,0.0,0.0,-512.0,-512.0,-512.0,-512.0,-512.0,-512.0,0.0,-512.0,-512.0,-512.0,-512.0,-512.0,-512.0,-512.0,-512.0,-512.0,-512.0,-512.0,-512.0,0.0,-512.0,-512.0,-512.0,-512.0,0.29,-512.0,277589.0,154973.0,788964.0,-512.0,0.0,0.0,0.0,0.0,0.0
instance_60,1.0,2260.0,3164.0,9492.0,0.0,0.0,0.0,0.15,0.273861,0.5,0.0,2260.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2260.0,1.0,0.0,0.0,2.0,2.0,0.0,0.0,1.0,0.0,-512.0,-512.0,0.238356,1.78757,3.0,3.0,0.0,0.0,4.2,2.0,1.24383,8.0,1.38496,0.569327,1.93894,1.51711,0.666667,1.11803,0.0,0.0,0.7,0.458258,0.35,0.229129,0.494975,0.324037,0.0,0.0,0.0,0.0,-512.0,-512.0,-512.0,-512.0,0.0,0.0,-512.0,-512.0,-512.0,-512.0,0.0,0.0,-512.0,-512.0,-512.0,-512.0,-512.0,-512.0,3.0,3.0,0.0,0.0,4.2,2.0,1.24383,8.0,1.38496,0.569327,1.93894,1.51711,0.666667,1.11803,0.0,0.0,0.7,0.458258,0.35,0.229129,0.494975,0.324037,0.0,35.0,0.0,0.0,-512.0,0.0,0.0,-512.0,-512.0,-512.0,-512.0,-512.0,-512.0,0.0,-512.0,-512.0,-512.0,-512.0,-512.0,-512.0,-512.0,-512.0,-512.0,-512.0,-512.0,-512.0,0.0,-512.0,-512.0,-512.0,-512.0,0.02,-512.0,2246.0,1541.0,6738.0,-512.0,0.0,0.0,0.0,0.0,6.0
instance_70,1.0,251.0,151.0,5351.0,0.0,0.0,0.0,0.113662,0.197284,0.465,-79842.4,100.0,150.0,1.0,0.0,0.0,0.398406,0.59761,0.00398406,0.0,0.0,250.0,0.996016,0.0,0.0,61.4,101.0,0.789901,99.0,34420.8,1.3606,-512.0,-512.0,-512.0,-512.0,34.7682,52.0,0.694009,51.0,21.0,1.0,1.90476,100.0,33770.8,0.719692,20397.5,1.9404,0.995902,0.600364,0.382874,0.723673,598.556,550.539,506.358,571.356,514.702,564.534,0.668874,1.0,0.703598,1.0,101.0,101.0,0.0,0.0,-0.655629,-0.745698,-99.0,-0.0,-0.00101519,-0.101941,0.0,0.0,190.0,0.0,1.88119,0.0,18.9057,0.0,35.4371,53.0,0.69399,52.0,21.3187,1.0,1.88741,100.0,33770.1,0.719692,20315.9,1.94535,0.977086,0.621823,0.39736,0.722684,596.928,550.044,504.348,571.102,512.727,564.273,9.95512e-05,35257.0,0.0,0.0,-512.0,0.0,0.0,-512.0,-512.0,-512.0,-512.0,-512.0,-512.0,0.0,-512.0,-512.0,-512.0,-512.0,-512.0,-512.0,-512.0,-512.0,-512.0,-512.0,-512.0,-512.0,0.0,-512.0,-512.0,-512.0,-512.0,0.0,-512.0,100.0,251.0,5300.0,-512.0,0.0,70.0,0.0,142.0,25.0
instance_206,1.0,4714.0,8980.0,26940.0,0.0,0.0,0.0,0.0156979,0.0885944,0.5,0.0,4714.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4714.0,1.0,0.0,0.0,2.0,2.0,0.0,0.0,1.0,0.0,-512.0,-512.0,0.316716,1.46881,3.0,3.0,0.0,0.0,5.71489,2.0,11.7859,0.0,1.48107,0.577162,2.82138,14.545,0.666667,1.11803,0.0,0.0,0.952482,0.212744,0.476241,0.106372,0.673506,0.150433,0.0,0.0,0.0,0.0,-512.0,-512.0,-512.0,-512.0,0.0,0.0,-512.0,-512.0,-512.0,-512.0,0.0,0.0,-512.0,-512.0,-512.0,-512.0,-512.0,-512.0,3.0,3.0,0.0,0.0,5.71489,2.0,11.7859,0.0,1.48107,0.577162,2.82138,14.545,0.666667,1.11803,0.0,0.0,0.952482,0.212744,0.476241,0.106372,0.673506,0.150433,0.0,0.0,0.0,0.0,-512.0,0.0,0.0,-512.0,-512.0,-512.0,-512.0,-512.0,-512.0,0.0,-512.0,-512.0,-512.0,-512.0,-512.0,-512.0,-512.0,-512.0,-512.0,-512.0,-512.0,-512.0,0.0,-512.0,-512.0,-512.0,-512.0,0.01,-512.0,631.0,370.0,1891.0,-512.0,0.0,0.0,0.0,0.0,3.0
instance_88,1.0,520.0,796.0,3400.0,0.0,0.0,0.0,0.019784,0.0708779,0.428694,-178.0,260.0,0.0,260.0,0.0,0.0,0.5,0.0,0.5,0.0,0.0,260.0,0.5,0.0,0.0,2.0,2.0,0.0,0.0,2574.3,1.47664,-512.0,-512.0,-512.0,-512.0,1.19347,1.0,0.783613,3.0,3.65385,4.0,0.150714,1.0,2568.62,1.47929,7863.92,0.200153,0.999646,0.000469571,0.00404059,14.7316,0.0,0.0,0.0,0.0,0.0,0.0,3.07789,1.0,1.17602,10.0,9.42308,10.0,0.436735,10.0,3.07789,1.17602,9.42308,0.436735,0.0529916,1.20975,0.0165166,9.03016,1.0,0.0,0.131344,0.0620389,0.352662,0.0835067,4.27136,3.0,0.760413,8.0,6.53846,4.0,0.629494,11.0,2571.7,1.47808,3936.67,1.03689,0.279794,1.45789,0.911115,1.05427,0.5,0.5,0.065672,0.0789761,0.176331,0.185955,0.011236,11673.0,0.0,0.0,-512.0,0.0,0.0,-512.0,-512.0,-512.0,-512.0,-512.0,-512.0,0.0,-512.0,-512.0,-512.0,-512.0,-512.0,-512.0,-512.0,-512.0,-512.0,-512.0,-512.0,-512.0,0.0,-512.0,-512.0,-512.0,-512.0,0.0,-512.0,736.0,470.0,3280.0,90.0,0.0,0.0,5.0,11.0,0.0
instance_207,1.0,397.0,171.0,829.0,0.0,0.0,0.0,0.347466,0.529093,1.75,28694.0,64.0,107.0,226.0,0.0,0.0,0.161209,0.269521,0.56927,0.0,0.0,171.0,0.43073,0.0,0.0,2.92398,3.0,0.405177,3.0,-512.0,-512.0,-44.9357,-1.09082,-512.0,-512.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,-60.0,-0.0,-60.0,-0.0,-10.507,-1.76199,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.84795,4.0,0.366473,4.0,2.9115,1.0,1.8679,7.0,0.760234,2.15077,0.575221,3.13986,0.100423,3.07093,0.242171,1.68297,408.075,445.968,331.986,405.643,351.641,401.74,4.84795,5.0,0.290879,4.0,2.08816,1.0,2.01662,3.0,-59.2398,-0.0276012,-25.5164,-1.17675,-2.0425,-4.57859,1.39941,0.350782,232.305,392.495,188.99,347.414,200.178,349.567,0.284834,9291.0,2.0,1.0,-512.0,0.0,0.0,-512.0,-512.0,-512.0,-512.0,-512.0,-512.0,0.0,-512.0,-512.0,-512.0,-512.0,-512.0,-512.0,-512.0,-512.0,-512.0,-512.0,-512.0,-512.0,0.0,-512.0,-512.0,-512.0,-512.0,0.0,-512.0,166.0,378.0,804.0,20.0,2.0,48.0,11.0,440.0,36.0
