instance,algorithm_1,algorithm_2,algorithm_3,algorithm_4,algorithm_5
instance_158,72000.0,48.0,5905.0,26.0,15.0
instance_25,2079.0,803.0,72000.0,422.0,1080.0
instance_147,72000.0,111.0,2293.0,5.0,553.0
instance_39,1.0,1.0,72000.0,1.0,1.0
instance_24,72000.0,840.0,72000.0,785.0,177.0
instance_60,72000.0,9.0,3461.0,2.0,18.0
instance_70,47.0,1.0,38.0,1.0,2.0
instance_206,5.0,2.0,39.0,1.0,1.0
instance_88,72000.0,72000.0,72000.0,26.0,76.0
instance_207,50.0,46.0,72000.0,34.0,53.0
instance_174,20.0,6.0,6.0,3.0,3.0
instance_169,72000.0,2208.0,72000.0,72000.0,2031.0
instance_44,72000.0,50.0,72000.0,72.0,108.0
instance_150,72000.0,72000.0,72000.0,49.0,79.0
instance_18,11.0,2.0,27.0,1.0,2.0
instance_19,259.0,7.0,152.0,11.0,6.0
instance_59,5866.0,7.0,72000.0,9.0,72.0
instance_95,2236.0,398.0,72000.0,66.0,560.0
instance_41,599.0,12.0,72000.0,16.0,20.0
instance_204,48.0,14.0,17.0,10.0,21.0
instance_213,839.0,23.0,578.0,54.0,77.0
instance_104,44.0,16.0,33.0,7.0,17.0
instance_64,425.0,103.0,776.0,38.0,39.0
instance_106,399.0,43.0,18.0,4.0,4.0
instance_134,368.0,122.0,304.0,105.0,29.0
instance_165,2081.0,257.0,3612.0,225.0,167.0
instance_210,72000.0,3439.0,6868.0,72000.0,3979.0
instance_211,72000.0,4681.0,72000.0,307.0,1195.0
instance_113,7.0,19.0,72000.0,18.0,573.0
instance_126,147.0,337.0,1973.0,10.0,6.0
instance_160,58.0,18.0,72000.0,5.0,2.0
instance_3,72000.0,1642.0,72000.0,451.0,1527.0
instance_153,14.0,4.0,72000.0,1.0,1.0
instance_40,1.0,1.0,52.0,1.0,1.0
instance_154,53.0,10.0,72000.0,4.0,9.0
instance_193,72000.0,72000.0,6231.0,5426.0,2808.0
instance_128,233.0,3.0,4.0,4.0,1.0
instance_28,1203.0,444.0,72000.0,275.0,294.0
instance_199,81.0,4.0,104.0,11.0,11.0
instance_119,11.0,3.0,8.0,1.0,3.0
instance_175,72000.0,1.0,2448.0,1.0,134.0
instance_203,605.0,53.0,4847.0,95.0,54.0
instance_82,5.0,3.0,27.0,2.0,2.0
instance_116,72000.0,8.0,72000.0,1.0,1.0
instance_197,148.0,32.0,221.0,22.0,112.0
instance_89,72000.0,72000.0,72000.0,152.0,449.0
instance_58,72000.0,544.0,72000.0,72000.0,1717.0
instance_182,72000.0,401.0,72000.0,1717.0,732.0
instance_217,296.0,62.0,367.0,447.0,370.0
instance_178,72000.0,1.0,72000.0,1.0,72000.0
instance_16,246.0,67.0,232.0,83.0,92.0
instance_21,72000.0,2479.0,72000.0,202.0,341.0
instance_79,64.0,123.0,72000.0,11.0,45.0
instance_65,414.0,38.0,556.0,37.0,28.0
instance_216,2385.0,166.0,903.0,434.0,341.0
instance_198,4063.0,6934.0,72000.0,2402.0,2720.0
instance_176,72000.0,1.0,72000.0,1.0,1979.0
instance_172,72000.0,72000.0,72000.0,210.0,129.0
