instance,algorithm_1,algorithm_2,algorithm_3,algorithm_4,algorithm_5
instance_48,139.0,146.0,1319.0,140.0,212.0
instance_33,30.0,73.0,71.0,18.0,1.0
instance_81,71.0,3.0,103.0,1.0,2.0
instance_164,1864.0,29.0,72000.0,88.0,19.0
instance_218,72000.0,72000.0,72000.0,2733.0,3966.0
instance_173,191.0,20.0,142.0,48.0,6.0
instance_205,1574.0,9.0,72000.0,1.0,4.0
instance_139,1008.0,46.0,515.0,72.0,37.0
instance_9,20.0,11.0,47.0,4.0,5.0
instance_149,139.0,27.0,437.0,163.0,14.0
instance_83,72000.0,63.0,91.0,39.0,6.0
instance_8,266.0,31.0,645.0,34.0,81.0
instance_19,259.0,7.0,152.0,11.0,6.0
instance_210,72000.0,3439.0,6868.0,72000.0,3979.0
instance_199,81.0,4.0,104.0,11.0,11.0
instance_215,72000.0,148.0,72000.0,72000.0,218.0
instance_41,599.0,12.0,72000.0,16.0,20.0
instance_6,46.0,17.0,104.0,8.0,10.0
instance_89,72000.0,72000.0,72000.0,152.0,449.0
instance_35,54.0,25.0,201.0,11.0,16.0
instance_17,30.0,9.0,49.0,21.0,8.0
instance_1,106.0,2.0,99.0,2.0,3.0
instance_112,1.0,1.0,4.0,1.0,1.0
instance_150,72000.0,72000.0,72000.0,49.0,79.0
instance_49,1146.0,715.0,5086.0,581.0,619.0
instance_184,109.0,76.0,293.0,48.0,26.0
instance_2,69.0,22.0,610.0,3.0,3.0
instance_68,72000.0,24.0,72000.0,12.0,9.0
instance_58,72000.0,544.0,72000.0,72000.0,1717.0
instance_14,72000.0,8.0,72000.0,12.0,9.0
instance_22,137.0,57.0,72000.0,357.0,184.0
instance_103,1552.0,161.0,1010.0,79.0,68.0
instance_46,72000.0,72000.0,72000.0,72000.0,3672.0
instance_109,467.0,524.0,72000.0,141.0,153.0
instance_135,49.0,65.0,707.0,105.0,173.0
instance_87,363.0,20.0,421.0,55.0,19.0
instance_54,263.0,14.0,201.0,5.0,4.0
instance_21,72000.0,2479.0,72000.0,202.0,341.0
instance_122,8.0,2.0,51.0,2.0,1.0
instance_186,1394.0,192.0,2232.0,85.0,455.0
instance_196,2122.0,1974.0,72000.0,2517.0,2123.0
instance_5,152.0,14.0,185.0,11.0,16.0
instance_208,72000.0,2289.0,72000.0,52.0,1160.0
instance_181,35.0,6.0,21.0,1.0,9.0
instance_74,72000.0,89.0,72000.0,465.0,143.0
instance_104,44.0,16.0,33.0,7.0,17.0
instance_90,72000.0,72000.0,72000.0,159.0,280.0
instance_24,72000.0,840.0,72000.0,785.0,177.0
instance_97,72000.0,101.0,72000.0,2375.0,496.0
instance_100,72000.0,6581.0,72000.0,4.0,1474.0
instance_119,11.0,3.0,8.0,1.0,3.0
instance_85,3145.0,219.0,72000.0,5.0,8.0
instance_70,47.0,1.0,38.0,1.0,2.0
instance_4,72000.0,2258.0,72000.0,299.0,160.0
instance_65,414.0,38.0,556.0,37.0,28.0
instance_165,2081.0,257.0,3612.0,225.0,167.0
instance_123,72000.0,72000.0,72000.0,13.0,87.0
instance_10,2689.0,48.0,72000.0,19.0,46.0
instance_127,171.0,19.0,250.0,11.0,15.0
instance_167,3300.0,3927.0,72000.0,1376.0,1117.0
instance_132,222.0,55.0,233.0,18.0,15.0
instance_102,81.0,12.0,119.0,2.0,2.0
instance_78,72000.0,141.0,72000.0,24.0,48.0
instance_61,693.0,152.0,1392.0,89.0,82.0
instance_76,197.0,10.0,161.0,10.0,8.0
instance_198,4063.0,6934.0,72000.0,2402.0,2720.0
