instance,algorithm_1,algorithm_2,algorithm_3,algorithm_4,algorithm_5,algorithm_6,algorithm_7,algorithm_8,algorithm_9,algorithm_10,algorithm_11,algorithm_12,algorithm_13,algorithm_14,algorithm_15,algorithm_16,algorithm_17,algorithm_18,algorithm_19,algorithm_20,algorithm_21,algorithm_22,algorithm_23,algorithm_24
instance_517,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,10.55,7.11,91.22,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,32.63,18000.0,18000.0,18000.0,18000.0
instance_330,38.86,18000.0,18000.0,18000.0,18000.0,2.56,18000.0,18000.0,96.9,3.51,104.86,0.41,18000.0,0.27,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,0.27,0.27
instance_54,1.58,18000.0,3.36,18000.0,2.6,1.16,18000.0,117.05,18000.0,2.71,1.15,18000.0,40.29,6.82,0.38,117.04,117.06,3.19,0.05,3.24,37.69,8.11,6.65,6.54
instance_179,0.0,18000.0,0.01,0.13,0.01,0.1,0.0,0.02,0.0,0.02,0.1,0.61,117.1,0.02,0.0,0.03,0.03,0.01,18000.0,0.01,116.89,0.0,0.02,0.02
instance_667,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,3.08,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0
instance_709,0.01,0.17,0.14,2.36,0.14,6.74,0.01,0.05,0.02,0.21,9.07,162.91,0.06,0.04,0.01,0.07,0.07,0.15,0.05,0.19,0.13,0.07,0.04,0.04
instance_78,0.01,18000.0,0.06,5.94,0.06,0.17,0.01,0.03,0.08,0.11,0.17,0.02,1.06,0.01,0.01,0.04,0.04,0.05,0.02,0.06,1.05,0.06,0.01,0.01
instance_346,1.63,18000.0,7.12,18000.0,7.3,129.92,1.63,3.54,2.66,0.71,129.47,7.72,14.9,15.03,1.6,3.49,3.47,6.89,21.4,6.89,1.49,0.62,15.17,15.06
instance_687,8.99,18000.0,6.75,18000.0,19.46,337.41,18000.0,0.54,18000.0,5.31,18000.0,9.82,34.14,73.4,55.94,1.08,0.55,1.51,11.09,1.94,33.52,0.97,77.69,93.38
instance_511,0.05,0.33,0.31,18000.0,0.3,0.53,0.05,0.06,0.42,0.41,0.79,18000.0,18000.0,18000.0,0.04,0.07,0.07,0.29,0.04,0.31,18000.0,260.53,18000.0,18000.0
