instance,algorithm_1,algorithm_2,algorithm_3,algorithm_4,algorithm_5,algorithm_6,algorithm_7,algorithm_8
instance_1166,210.92,0.48,103.6,5.28,139.2,0.48,1.08,124.96
instance_638,87.28,28800.0,165.04,28800.0,230.6,28800.0,28800.0,77.72
instance_469,7.64,28800.0,4.92,460.64,12.16,28800.0,143.68,8.32
instance_714,91.64,172.88,121.24,332.28,87.84,166.64,83.32,95.8
instance_675,33.28,112.24,57.64,51.92,43.4,107.92,5.12,29.8
instance_45,219.04,28800.0,367.6,1912.8,401.4,28800.0,1850.44,312.96
instance_240,72.28,2.44,131.96,25.2,97.12,6.08,11.44,548.48
instance_504,12.2,28800.0,2.76,28800.0,5.32,28800.0,808.4,6.28
instance_371,7.04,488.0,1.08,67.28,5.8,537.56,252.76,3.24
instance_115,7.16,467.16,5.6,29.28,10.48,1062.56,3.0,4.04
instance_601,9.56,28800.0,6.32,269.92,9.52,28800.0,34.16,7.92
instance_75,6.96,28800.0,2.28,28800.0,13.16,28800.0,28800.0,3.72
instance_629,50.08,1330.16,63.0,561.2,80.88,28800.0,961.08,31.36
instance_890,16646.52,28800.0,13171.28,28800.0,12187.2,28800.0,28800.0,17315.16
instance_526,200.28,906.88,57.96,5753.16,64.36,1533.28,1.96,68.48
instance_633,116.72,14.92,209.64,6.8,199.72,14.76,1.56,146.48
instance_573,15.44,31.08,9.76,109.84,17.36,29.76,5.16,5.44
instance_910,55.24,214.52,126.16,304.84,97.76,204.24,145.88,61.52
instance_574,9.72,33.08,9.64,140.92,19.76,32.12,5.04,6.12
instance_787,5781.76,28800.0,765.12,28800.0,1288.96,28800.0,28800.0,4016.12
instance_313,50.72,0.64,57.44,13.08,69.04,1.8,3.92,33.68
instance_110,3.24,645.64,1.92,76.72,3.24,1138.24,11.32,2.28
instance_912,569.16,28800.0,681.32,28800.0,925.88,28800.0,28800.0,600.56
instance_984,672.8,28800.0,505.0,28800.0,683.72,28800.0,28800.0,768.16
instance_1058,28800.0,27.32,8585.8,196.6,9269.2,34.48,35.68,28800.0
instance_817,94.32,176.76,303.08,134.16,270.4,168.28,5.72,126.4
instance_1075,19.68,0.2,34.0,4.48,44.64,0.24,1.0,20.72
instance_998,473.72,28800.0,221.32,28800.0,435.56,28800.0,28800.0,351.88
instance_173,273.76,451.48,190.76,60.4,210.76,512.72,177.92,254.12
instance_64,105.12,2054.4,185.8,138.6,193.68,4279.68,905.56,88.44
instance_587,70.96,28800.0,96.8,1747.4,89.28,28800.0,326.56,42.44
instance_580,11.6,28800.0,3.28,28800.0,5.64,28800.0,18.44,9.04
instance_1089,4.6,28800.0,0.96,28800.0,1.36,28800.0,2.48,5.12
instance_335,971.12,9.04,1290.92,146.48,1328.48,23.44,70.76,846.96
instance_1086,1.12,28800.0,0.16,35.84,0.28,28800.0,4.56,0.76
instance_898,25.12,68.16,18.24,85.56,24.2,63.84,3.92,22.76
