instance,algorithm_1,algorithm_2,algorithm_3,algorithm_4,algorithm_5,algorithm_6,algorithm_7,algorithm_8,algorithm_9,algorithm_10,algorithm_11,algorithm_12,algorithm_13,algorithm_14,algorithm_15,algorithm_16,algorithm_17,algorithm_18,algorithm_19,algorithm_20
instance_49,12000.0,12000.0,12000.0,0.505,12000.0,0.04,0.036000000000000004,0.05,0.051000000000000004,12000.0,0.044,0.045,12000.0,12000.0,12000.0,12000.0,12000.0,12000.0,12000.0,0.034
instance_70,12000.0,12000.0,12000.0,12000.0,12000.0,12000.0,12000.0,12000.0,12000.0,12000.0,12000.0,12000.0,12000.0,12000.0,12000.0,12000.0,12000.0,12000.0,12000.0,12000.0
instance_5,653.831,0.47100000000000003,2.815,12000.0,12000.0,0.14400000000000002,3.1550000000000002,0.06,1.441,4.492,0.28700000000000003,0.176,0.093,34.026,6.075,4.743,12000.0,12000.0,12000.0,0.988
instance_21,12000.0,12000.0,19.425,12000.0,12000.0,11.144,3.162,0.748,92.738,12000.0,17.746,1.716,0.8200000000000001,12000.0,12000.0,11.1,12000.0,12000.0,12000.0,375.97700000000003
instance_32,62.884,12000.0,13.796000000000001,112.849,264.04,257.371,57.297000000000004,9.289,400.789,666.714,309.115,1.002,5.023,12000.0,46.932,12.83,65.413,100.837,111.881,12000.0
instance_19,12000.0,47.023,12000.0,12000.0,12000.0,1.024,0.514,22.286,8.423,12000.0,0.8200000000000001,334.261,56.607,12000.0,3.56,12000.0,12000.0,12000.0,12000.0,10.274000000000001
instance_67,12000.0,12000.0,12000.0,12000.0,12000.0,12000.0,12000.0,12000.0,12000.0,12000.0,12000.0,12000.0,12000.0,12000.0,12000.0,12000.0,12000.0,12000.0,12000.0,12000.0
instance_71,54.099000000000004,1119.943,90.656,126.932,642.068,70.035,44.163000000000004,12000.0,249.622,12000.0,12000.0,31.393,92.59,12000.0,12000.0,12000.0,62.928000000000004,50.517,203.747,844.465
instance_96,43.035000000000004,495.094,0.587,45.783,68.057,0.073,0.124,0.154,0.083,57.619,0.07,0.157,0.225,12000.0,22.785,0.361,57.935,31.406000000000002,58.444,0.075
instance_72,12000.0,12000.0,12000.0,12000.0,12000.0,245.061,12000.0,12000.0,1003.303,12000.0,446.613,12000.0,12000.0,12000.0,12000.0,12000.0,12000.0,12000.0,12000.0,12000.0
instance_34,416.002,12000.0,17.942,741.254,1078.34,38.858000000000004,5.779,110.028,65.607,12000.0,12000.0,2.982,9.159,12000.0,1.834,2.5180000000000002,416.935,277.434,678.476,12000.0
instance_50,121.794,226.013,1.842,0.633,391.805,0.039,0.047,0.046,0.048,929.1370000000001,0.052000000000000005,0.043000000000000003,249.342,12000.0,706.316,12000.0,12000.0,68.033,681.842,0.041
instance_79,12000.0,0.489,14.337,12000.0,12000.0,4.453,233.689,6.586,25.018,840.0690000000001,3.636,15.085,51.884,12000.0,12000.0,389.457,12000.0,12000.0,12000.0,50.669000000000004
instance_3,12000.0,1.901,8.203,12000.0,12000.0,0.46900000000000003,10.726,0.081,13.58,150.514,0.559,0.271,0.39,381.97,274.64,380.342,12000.0,12000.0,12000.0,17.125
instance_40,12000.0,12000.0,12000.0,12000.0,12000.0,12000.0,12000.0,46.2,12000.0,12000.0,12000.0,12000.0,12000.0,12000.0,12000.0,12000.0,12000.0,12000.0,12000.0,12000.0
instance_74,991.463,12000.0,78.828,12000.0,12000.0,32.061,492.216,12000.0,29.38,12000.0,12000.0,12000.0,12000.0,12000.0,12000.0,12000.0,933.51,520.446,12000.0,405.111
instance_41,937.727,0.6940000000000001,18.154,12000.0,12000.0,1.129,1.561,0.227,15.627,69.287,1.327,0.603,0.20500000000000002,6.162,3.2760000000000002,2.719,423.974,1000.328,12000.0,12.402000000000001
instance_37,127.10900000000001,8.523,31.07,152.887,12000.0,1.416,5.353,0.053,11.539,84.394,1.172,0.335,1.193,52.348,15.933,35.856,142.873,7.299,108.697,6.905
instance_55,31.810000000000002,308.391,6.461,63.121,180.715,4.506,77.19200000000001,33.18,38.446,12000.0,4.049,3.956,15.913,12000.0,12000.0,95.0,594.359,240.53,98.373,183.74
