instance,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19,feature_20,feature_21,feature_22,feature_23,feature_24,feature_25,feature_26,feature_27,feature_28,feature_29,feature_30,feature_31,feature_32,feature_33,feature_34,feature_35,feature_36,feature_37
instance_412,212735.0,2718228.0,0.00698,563.27606,99.85713,1.0,581.0,0.07826,1e-05,4.20931,0.0,0.00066,0.00066,1e-05,2.04452,0.0,0.00272,0.00272,0.75642,0.29066,0.06709,0.98947,0.92239,0.71625,0.34758,0.0,1.0,1.0,0.02796,0.6321,0.99979,0.0,0.0,0.0,0.00021,0.00021,0.40944
instance_432,211596.0,2599607.0,0.0073,563.27606,99.85713,1.0,581.0,0.0814,1e-05,4.18154,0.0,0.00067,0.00067,1e-05,2.10852,0.0,0.00274,0.00273,0.7407,0.29974,0.01961,0.98947,0.96987,0.71908,0.34682,0.0,1.0,1.0,0.03248,0.64466,0.99978,0.0,0.0,0.0,0.00021,0.00021,0.41226
instance_354,17692.0,78538.0,0.00646,27536752.0,34370252.0,140770.0,139754080.0,0.22527,0.00017,2.20323,1e-05,0.00395,0.00393,0.00017,0.4033,6e-05,0.00192,0.00187,0.43659,0.54746,0.0,1.0,1.0,0.45725,0.51063,0.0,1.0,1.0,0.01096,0.43145,0.72398,8e-05,0.0,0.0,0.00237,0.00237,0.63354
instance_328,903884.0,2594511.0,0.003,2.13468,0.62121,2.0,5.0,0.34838,0.0,0.0,0.0,0.00088,0.00088,0.0,0.0,0.0,2e-05,2e-05,0.44336,0.27858,0.0,0.94444,0.94444,0.28007,0.0,0.0,1.0,1.0,0.00923,0.48616,0.67052,0.0,0.0,0.0,0.00088,0.00088,0.96929
instance_407,1169.0,4452.0,0.02403,29507946.0,25378422.0,381768.0,69643504.0,0.26258,0.00237,1.79778,0.00022,0.03819,0.03796,0.00237,0.55216,0.00086,0.02053,0.01967,0.45904,0.24692,0.33333,1.0,0.66667,0.43008,0.57184,0.0,1.0,1.0,0.02628,0.53841,0.8239,0.00121,0.0,0.00022,0.02066,0.02044,0.6606
instance_381,1663.0,6536.0,0.02463,311580480.0,246582992.0,561158.0,693586112.0,0.25444,0.00167,2.22111,0.00015,0.03672,0.03657,0.00167,0.76936,0.0006,0.02285,0.02225,0.45306,0.24998,0.33333,1.0,0.66667,0.42693,0.57788,0.0,1.0,1.0,0.02616,0.57329,0.82298,0.00083,0.0,0.00015,0.01943,0.01928,0.65774
instance_283,10944.0,61308.0,0.00072,52.90909,61.42246,9.0,200.0,0.17851,0.00021,0.85821,5e-05,0.00109,0.00104,0.00021,0.88438,9e-05,0.00429,0.0042,0.4057,0.36596,0.05882,0.96154,0.90271,0.3298,0.85221,0.0,1.0,1.0,0.00882,0.87248,0.95002,0.00016,0.0,0.0,0.00095,0.00095,0.87067
instance_449,73373.0,836627.0,0.00698,321.20547,79.6147,1.0,341.0,0.0877,3e-05,3.39516,0.0,0.0013,0.00129,3e-05,1.59404,1e-05,0.00462,0.00461,0.76879,0.28025,0.0,1.0,1.0,0.70619,0.34218,0.0,1.0,1.0,0.02704,0.55328,0.9996,1e-05,0.0,0.0,0.00041,0.00041,0.38084
instance_427,211564.0,2464414.0,0.0077,563.27606,99.85713,1.0,581.0,0.08585,1e-05,4.26899,0.0,0.00071,0.00071,1e-05,2.15847,0.0,0.00274,0.00273,0.73532,0.30095,0.03659,0.98947,0.95289,0.71836,0.34786,0.0,1.0,1.0,0.03515,0.63996,0.99977,0.0,0.0,0.0,0.00023,0.00023,0.41567
instance_479,69731.0,711924.0,0.00697,317.69354,85.91703,1.0,341.0,0.09795,4e-05,3.96171,0.0,0.00152,0.00152,4e-05,1.69015,1e-05,0.00486,0.00485,0.78084,0.2598,0.0,1.0,1.0,0.70933,0.35367,0.0,1.0,1.0,0.0278,0.52584,0.99953,1e-05,0.0,0.0,0.00048,0.00048,0.38367
instance_106,499399.0,2324878.0,0.01923,25624.97656,5144.0791,20000.0,50000.0,0.21481,1e-05,0.0,0.0,0.00058,0.00058,1e-05,0.0,0.0,2e-05,2e-05,0.46343,0.25135,0.08333,0.5,0.41667,0.48139,0.0,0.0,1.0,1.0,0.01923,0.21154,0.98077,0.0,0.0,0.0,0.00043,0.00043,0.80769
instance_66,438103.0,2037006.0,0.01923,25648.14844,5235.21094,20000.0,50000.0,0.21507,1e-05,0.0,0.0,0.00061,0.00061,1e-05,0.0,0.0,3e-05,2e-05,0.46359,0.25058,0.08333,0.5,0.41667,0.48031,0.0,0.0,1.0,1.0,0.01924,0.21154,0.98077,1e-05,0.0,0.0,0.00046,0.00046,0.80769
instance_32,666.0,7396.0,0.04056,161.61,365.90497,1.0,1000.0,0.09005,0.00307,0.77481,0.00027,0.01176,0.01149,0.00307,0.19383,0.0015,0.00601,0.0045,0.3866,0.98987,0.01639,0.98851,0.97211,0.41315,0.84543,0.0,1.0,1.0,0.04056,0.93091,0.9835,0.00241,0.0,0.00014,0.00811,0.00798,0.80706
