instance,algorithm_1,algorithm_2,algorithm_3,algorithm_4,algorithm_5,algorithm_6,algorithm_7,algorithm_8
instance_1,5082.4,28800.0,6257.88,204.68,4843.36,28800.0,460.36,5874.96
instance_2,7299.96,28800.0,5968.6,250.68,6473.12,28800.0,430.48,6224.76
instance_3,8136.52,28800.0,5462.28,248.96,6692.16,28800.0,186.0,5419.24
instance_4,28800.0,28800.0,15215.2,184.52,16764.8,28800.0,28800.0,28800.0
instance_6,5121.32,28800.0,6241.68,312.16,6484.32,28800.0,417.04,5696.44
instance_7,7.28,28800.0,3.2,81.92,10.4,28800.0,4.16,4.16
instance_8,28.32,28800.0,12.36,2383.56,29.68,28800.0,13511.36,17.84
instance_9,46.64,28800.0,21.6,28800.0,45.2,28800.0,2957.04,32.96
instance_10,39.88,28800.0,7.52,28800.0,33.36,28800.0,1091.68,18.0
instance_11,76.16,28800.0,30.04,28800.0,59.2,28800.0,28800.0,58.32
instance_14,26.2,28800.0,16.6,28800.0,33.04,28800.0,28800.0,18.16
instance_16,39.92,28800.0,14.6,28800.0,32.36,28800.0,28800.0,28.48
instance_21,5586.16,28800.0,2977.12,28800.0,3324.08,28800.0,28800.0,7555.16
instance_22,17768.88,28800.0,3226.88,282.64,4351.92,28800.0,534.72,9642.72
instance_24,3.12,28800.0,0.92,108.76,2.0,28800.0,2.24,2.68
instance_25,16.32,28800.0,8.72,64.84,15.4,28800.0,7.96,16.2
instance_26,20.52,28800.0,10.68,75.32,16.48,28800.0,1017.48,12.08
instance_27,19.04,28800.0,6.56,48.32,17.96,28800.0,3920.72,10.0
instance_28,23.52,28800.0,4.96,48.56,17.04,28800.0,4242.6,10.2
instance_29,24.84,28800.0,5.92,48.8,20.16,28800.0,4245.92,10.4
instance_30,47.68,28800.0,21.32,60.2,37.36,28800.0,8321.04,37.96
instance_33,48.0,28800.0,21.16,27.76,42.6,28800.0,28800.0,23.2
instance_36,982.64,28800.0,834.4,345.28,1292.04,28800.0,28800.0,395.36
instance_37,868.2,28800.0,1017.92,602.44,1362.8,28800.0,28800.0,796.96
instance_39,6849.44,28800.0,3421.08,113.32,3202.08,28800.0,28800.0,9494.32
instance_40,28800.0,28800.0,28800.0,459.16,28800.0,28800.0,28800.0,28800.0
instance_41,16.72,28800.0,8.72,71.36,15.52,28800.0,1469.52,14.08
instance_43,104.64,28800.0,186.84,358.72,120.72,28800.0,5195.16,83.04
instance_45,219.04,28800.0,367.6,1912.8,401.4,28800.0,1850.44,312.96
instance_46,229.24,28800.0,405.84,1882.88,376.16,28800.0,2084.16,247.48
instance_48,749.68,28800.0,2484.0,2063.6,1713.68,28800.0,2557.16,586.12
instance_52,9347.28,28800.0,28800.0,28800.0,28800.0,28800.0,28800.0,5660.0
instance_53,16625.36,28800.0,28800.0,28800.0,28800.0,28800.0,28800.0,12734.8
instance_55,11212.68,28800.0,3492.28,957.12,4016.88,28800.0,28800.0,10220.48
instance_56,153.64,28800.0,204.96,583.8,257.4,28800.0,5905.4,150.32
instance_59,69.76,2217.28,107.68,141.8,86.52,4455.12,6.6,73.52
instance_60,875.44,28800.0,1820.6,173.76,1536.24,28800.0,86.72,1247.48
instance_61,11476.36,28800.0,28800.0,2690.84,28800.0,28800.0,11237.92,20110.76
instance_62,28800.0,28800.0,28800.0,4842.16,28800.0,28800.0,28800.0,28800.0
instance_63,28800.0,28800.0,28800.0,3866.08,28800.0,28800.0,28800.0,28800.0
instance_64,105.12,2054.4,185.8,138.6,193.68,4279.68,905.56,88.44
instance_65,2577.44,28800.0,5505.12,149.8,3812.52,28800.0,747.4,2830.48
instance_66,28800.0,28800.0,28800.0,1057.48,28800.0,28800.0,28800.0,28800.0
instance_70,28800.0,28800.0,28800.0,11167.8,28800.0,28800.0,28800.0,28800.0
instance_71,1135.8,573.36,1126.36,160.64,1219.0,948.76,332.16,991.64
instance_72,28800.0,7849.32,28800.0,342.72,28800.0,28800.0,3956.72,28800.0
instance_73,12.08,559.32,5.48,83.64,8.2,2358.64,1.56,3.84
instance_75,6.96,28800.0,2.28,28800.0,13.16,28800.0,28800.0,3.72
instance_76,53.2,28800.0,92.0,28800.0,136.84,28800.0,28800.0,32.84
instance_78,87.6,28800.0,111.24,28800.0,122.36,28800.0,28800.0,98.44
instance_79,22.32,28800.0,26.88,28800.0,55.44,28800.0,28800.0,12.16
instance_80,58.64,28800.0,60.88,28800.0,81.44,28800.0,28800.0,33.0
instance_83,3.16,28800.0,1.24,565.76,4.96,28800.0,864.0,3.0
instance_84,3.44,28800.0,1.28,588.68,5.0,28800.0,862.88,2.96
instance_86,8.72,40.8,5.84,31.2,8.32,42.76,273.6,7.24
instance_87,89.6,114.44,74.12,42.08,67.36,150.04,11.36,89.52
instance_89,189.6,271.0,299.2,1775.52,296.44,415.08,269.52,196.52
instance_91,12.32,65.72,13.32,58.32,22.4,96.04,274.08,13.76
instance_94,133.32,229.48,291.88,45.2,217.32,349.8,496.64,91.84
instance_95,92.28,17.44,104.08,32.32,154.68,43.24,279.52,72.48
instance_96,182.52,63.04,132.04,1244.12,201.52,98.92,321.4,138.64
instance_97,193.0,82.88,216.64,47.12,227.12,149.88,392.76,198.6
instance_100,615.36,9.76,556.64,84.4,557.48,17.32,289.0,632.84
instance_101,28800.0,49.52,28800.0,92.92,28800.0,83.52,575.68,28800.0
instance_102,28800.0,109.96,28800.0,1961.68,28800.0,202.0,1112.8,28800.0
instance_103,28800.0,144.16,28800.0,132.52,28800.0,258.84,1526.8,28800.0
instance_106,1.36,40.88,0.36,56.88,1.28,59.16,4.12,0.8
instance_107,1.08,140.48,0.68,57.92,2.48,156.92,3.6,0.6
instance_110,3.24,645.64,1.92,76.72,3.24,1138.24,11.32,2.28
instance_111,1.76,68.12,1.44,32.48,3.88,129.0,3.76,1.84
instance_112,2.28,169.4,4.4,69.48,7.04,384.76,4.2,2.24
instance_115,7.16,467.16,5.6,29.28,10.48,1062.56,3.0,4.04
instance_119,1549.48,4244.36,1546.64,2955.8,1792.24,28800.0,1867.64,1185.04
instance_123,28800.0,941.96,28800.0,409.44,28800.0,1399.2,11161.68,28800.0
instance_124,28800.0,5626.68,28800.0,1825.28,28800.0,9228.08,28800.0,28800.0
instance_125,28800.0,23740.52,28800.0,6560.24,28800.0,28800.0,28800.0,28800.0
instance_126,0.88,2233.92,0.48,77.28,1.28,28800.0,1.88,0.84
instance_127,91.88,28800.0,183.28,28800.0,233.72,28800.0,28800.0,104.44
instance_128,395.2,28800.0,483.08,28800.0,577.72,28800.0,28800.0,399.96
instance_131,11223.4,28800.0,1791.92,28800.0,2300.48,28800.0,28800.0,9320.08
instance_132,28800.0,28800.0,23377.08,28800.0,28800.0,28800.0,28800.0,28800.0
instance_134,7.68,28800.0,2.68,28800.0,7.12,28800.0,686.68,2.96
instance_135,83.6,28800.0,66.84,28800.0,108.52,28800.0,28800.0,81.44
instance_136,173.32,28800.0,93.88,28800.0,220.28,28800.0,28800.0,108.36
instance_137,203.92,28800.0,86.4,28800.0,215.72,28800.0,28800.0,127.92
instance_138,177.36,28800.0,148.84,28800.0,196.4,28800.0,28800.0,137.76
instance_139,3271.56,28800.0,250.04,28800.0,286.88,28800.0,28800.0,2520.6
instance_142,5910.32,28800.0,1004.12,28800.0,1364.68,28800.0,28800.0,9750.88
instance_143,3939.6,28800.0,1623.68,28800.0,1633.28,28800.0,28800.0,2472.96
instance_144,60.28,28800.0,73.0,28800.0,76.56,28800.0,28800.0,44.52
instance_147,1943.48,28800.0,3363.48,28800.0,1989.76,28800.0,28800.0,1175.44
instance_151,2278.36,28800.0,2043.56,28800.0,2032.72,28800.0,28800.0,1682.12
instance_152,16348.44,28800.0,8700.52,28800.0,7829.24,28800.0,28800.0,10386.12
instance_153,354.68,28800.0,311.32,28800.0,337.52,28800.0,28800.0,271.28
instance_155,7264.72,28800.0,14347.64,28800.0,14019.04,28800.0,28800.0,4853.12
instance_157,4.56,129.72,0.28,63.8,0.92,156.16,3.96,3.72
instance_159,408.04,379.64,19.28,111.96,22.08,381.12,18.84,380.6
instance_160,2189.88,674.0,128.92,289.68,135.64,801.04,303.2,2111.08
instance_162,5.64,131.96,2.16,6587.64,4.36,184.16,7.12,6.48
instance_163,38.0,249.4,4.56,6473.0,6.16,372.16,7.28,28.64
instance_164,241.04,525.92,20.64,9071.64,28.36,776.52,31.68,235.48
instance_166,3.2,44.6,1.2,52.96,3.24,52.16,2.32,2.6
instance_167,11.68,113.56,7.6,6701.68,16.44,157.72,3.28,9.84
instance_169,40.84,320.48,18.8,7876.2,20.32,442.0,6.24,40.0
instance_170,305.6,132.92,107.12,11954.2,98.72,179.52,58.36,256.04
instance_171,14.4,60.56,24.8,107.56,26.36,57.64,3.44,15.72
instance_174,271.52,329.92,269.48,60.6,272.48,331.0,556.64,331.6
instance_175,292.32,474.8,292.88,76.16,313.12,482.44,591.12,412.36
instance_176,1.6,133.24,0.92,46.48,1.76,211.88,0.64,1.2
instance_178,24987.64,28800.0,14619.32,28800.0,28800.0,28800.0,28800.0,28800.0
instance_179,734.24,28800.0,336.24,28800.0,463.6,28800.0,28759.36,614.84
instance_180,28800.0,28800.0,28800.0,28800.0,28800.0,28800.0,28800.0,21386.6
instance_181,2147.96,28800.0,2122.56,28800.0,1873.28,28800.0,28800.0,2466.44
instance_182,7250.32,28800.0,18087.92,28800.0,15848.76,28800.0,28800.0,6539.08
instance_183,53.24,28800.0,62.96,28800.0,84.48,28800.0,6135.64,42.52
instance_184,110.76,28800.0,220.4,28800.0,211.56,28800.0,367.24,57.16
instance_186,1913.0,28800.0,1599.36,28800.0,1799.76,28800.0,28800.0,1715.4
instance_187,2109.72,28800.0,1998.6,28800.0,2299.56,28800.0,28800.0,1605.24
instance_188,2349.92,28800.0,2612.68,28800.0,2541.08,28800.0,28800.0,2614.72
instance_189,3060.0,28800.0,3776.72,28800.0,3832.04,28800.0,28800.0,3433.36
instance_190,1433.44,28800.0,1070.64,28800.0,942.84,28800.0,28800.0,1023.08
instance_191,28800.0,28800.0,26248.52,28800.0,28800.0,28800.0,28800.0,28800.0
instance_192,4720.8,28800.0,2569.4,28800.0,2607.36,28800.0,1831.32,1772.76
instance_193,5804.48,28800.0,4138.84,28800.0,3200.0,28800.0,2696.08,4446.88
instance_195,28800.0,28800.0,28800.0,28800.0,28800.0,28800.0,2540.92,28800.0
instance_197,7.36,1.92,1.08,24.24,1.84,1.72,2.96,3.6
instance_198,2.48,1.84,1.04,24.28,2.16,1.76,3.08,5.44
instance_199,7.68,5.24,6.64,27.16,16.64,4.96,4.16,17.32
instance_200,18.08,2.88,24.4,26.08,28.16,2.64,3.48,14.76
instance_202,29.92,420.28,25.36,139.76,46.08,390.68,224.92,15.76
instance_204,22.88,28800.0,21.52,255.52,20.16,28800.0,264.64,22.08
instance_205,26.8,28800.0,20.44,247.32,20.36,28800.0,289.12,20.16
instance_207,35.08,225.56,50.2,162.96,31.36,235.12,224.6,43.44
instance_209,45.96,28800.0,20.52,257.84,30.2,28800.0,271.12,33.92
instance_210,35.2,28800.0,26.44,269.64,56.96,28800.0,287.12,32.4
instance_212,130.92,302.56,175.04,161.56,217.96,370.52,257.0,99.92
instance_216,288.48,28800.0,336.48,470.24,383.36,28800.0,705.0,176.96
instance_217,8386.04,28800.0,5118.52,409.48,4943.76,28800.0,343.16,10264.08
instance_218,28800.0,2353.36,28800.0,676.6,28800.0,2339.08,17627.6,28800.0
instance_219,28800.0,28800.0,28800.0,2209.52,28800.0,28800.0,28800.0,28800.0
instance_220,28800.0,28800.0,28800.0,3568.08,28800.0,28800.0,28800.0,28800.0
instance_222,7.04,28800.0,3.04,260.32,4.92,28800.0,3.24,6.64
instance_223,62.72,28800.0,131.0,5639.84,207.48,28800.0,479.88,64.16
instance_224,226.24,28800.0,382.16,1094.24,328.56,28800.0,2062.16,184.32
instance_225,405.52,28800.0,740.6,577.56,607.72,28800.0,7728.8,299.52
instance_226,102.0,28800.0,171.96,28800.0,219.96,28800.0,464.12,75.6
instance_228,1156.8,28800.0,1227.44,28800.0,1762.36,28800.0,27558.12,1059.96
instance_229,466.28,28800.0,369.68,4765.6,474.72,28800.0,3574.92,454.2
instance_230,6085.16,28800.0,4035.32,8439.04,5539.56,28800.0,5747.96,4111.16
instance_231,23248.76,28800.0,6893.16,1089.72,11084.4,28800.0,28800.0,12911.8
instance_234,28800.0,28800.0,28800.0,3226.2,28800.0,28800.0,28800.0,28800.0
instance_235,162.2,1.92,107.08,30.36,89.4,6.16,16.88,394.28
instance_236,14.64,0.16,42.52,11.04,111.6,1.84,3.12,25.48
instance_237,92.76,0.84,56.08,15.8,84.4,3.36,4.32,35.72
instance_238,41.96,0.96,63.24,16.16,62.2,3.44,5.56,58.12
instance_239,142.64,1.24,67.6,20.24,116.48,4.24,8.0,62.56
instance_241,796.4,1.84,335.0,32.24,1174.92,5.84,16.56,390.24
instance_243,221.48,0.48,109.32,13.2,111.44,2.4,4.48,251.2
instance_244,110.0,0.88,157.8,16.24,111.0,3.12,6.4,106.2
instance_245,383.08,1.12,89.72,20.16,261.96,4.0,9.48,605.16
instance_248,339.32,0.16,244.6,12.24,270.56,1.64,3.56,623.6
instance_249,28800.0,0.84,14340.64,19.48,7864.48,3.28,6.72,28800.0
instance_250,28800.0,2.32,28800.0,34.88,28800.0,6.48,15.92,28800.0
instance_251,28800.0,3.36,28800.0,50.48,28800.0,9.08,27.4,28800.0
instance_253,1456.24,0.12,669.4,12.96,437.68,0.96,3.56,1358.36
instance_254,28800.0,1.12,28800.0,29.24,28800.0,4.2,6.92,28800.0
instance_255,28800.0,10.24,28800.0,128.76,28800.0,23.08,63.0,28800.0
instance_256,28800.0,26.96,28800.0,222.52,28800.0,47.04,553.4,28800.0
