instance,nvarsOrig,nclausesOrig,nvars,nclauses,reducedVars,reducedClauses,vars.clauses.ratio,POSNEG.RATIO.CLAUSE.mean,POSNEG.RATIO.CLAUSE.coeff.variation,POSNEG.RATIO.CLAUSE.min,POSNEG.RATIO.CLAUSE.max,POSNEG.RATIO.CLAUSE.entropy,VCG.CLAUSE.mean,VCG.CLAUSE.coeff.variation,VCG.CLAUSE.min,VCG.CLAUSE.max,VCG.CLAUSE.entropy,UNARY,BINARY.,TRINARY.,VCG.VAR.mean,VCG.VAR.coeff.variation,VCG.VAR.min,VCG.VAR.max,VCG.VAR.entropy,POSNEG.RATIO.VAR.mean,POSNEG.RATIO.VAR.stdev,POSNEG.RATIO.VAR.min,POSNEG.RATIO.VAR.max,POSNEG.RATIO.VAR.entropy,HORNY.VAR.mean,HORNY.VAR.coeff.variation,HORNY.VAR.min,HORNY.VAR.max,HORNY.VAR.entropy,horn.clauses.fraction,VG.mean,VG.coeff.variation,VG.min,VG.max,CG.mean,CG.coeff.variation,CG.min,CG.max,CG.entropy,cluster.coeff.mean,cluster.coeff.coeff.variation,cluster.coeff.min,cluster.coeff.max,cluster.coeff.entropy
sat/10-3-13.cnf.bz2,29772.0,922204.0,25844.0,902609.0,0.151988856,0.021709289,0.028632553,0.3591254,0.477360674,0.0,1.0,0.38316621,0.00011339,0.267347292,7.7387e-05,0.001006036,0.328468871,0.0,0.095114274,0.998514307,0.00011339,1.696284972,1.108e-06,0.001651878,2.476046355,0.13996099,0.172669043,0.0,1.0,1.769651174,0.000110294,1.736683245,0.0,0.001641907,2.238015638,0.98181937,0.000136684,2.316128099,6.647e-06,0.002459537,-1.0,0.0,-1.0,0.0,-512.0,-1.0,0.0,-1.0,0.0,0.0
sat/20180321_110704973_p_cnf_320_1120.cnf.bz2,320.0,1120.0,320.0,1120.0,0.0,0.0,0.285714286,0.511309524,0.576785068,0.333333333,1.0,0.580216017,0.009375,0.0,0.009375,0.009375,0.0,0.0,0.0,1.0,0.009375,0.061167774,0.008928571,0.010714286,0.885916109,0.030681818,0.042987001,0.0,0.090909091,0.6393633,0.004729353,0.27129343,0.001785714,0.008035714,1.742100956,0.504464286,0.01875,0.061167774,0.017857143,0.021428571,0.014072066,0.046666511,0.013392857,0.016071429,1.058035797,0.119550945,0.042808721,0.105263158,0.125,0.750891527
sat/20180321_110707239_p_cnf_320_1120.cnf.bz2,320.0,1120.0,320.0,1120.0,0.0,0.0,0.285714286,0.514880952,0.576384929,0.333333333,1.0,0.585554139,0.009375,0.0,0.009375,0.009375,0.0,0.0,0.0,1.0,0.009375,0.058805186,0.008928571,0.010714286,0.868934372,0.033522727,0.043860545,0.0,0.090909091,0.658287057,0.004662388,0.296914502,0.000892857,0.008035714,1.845943735,0.497321429,0.01875,0.058805186,0.017857143,0.021428571,0.014064094,0.047877305,0.013392857,0.016071429,1.072769948,0.119625964,0.043822005,0.105263158,0.125,0.760437579
sat/20180321_140823961_p_cnf_320_1120.cnf.bz2,320.0,1120.0,320.0,1120.0,0.0,0.0,0.285714286,0.49047619,0.576914739,0.333333333,1.0,0.546089317,0.009375,0.0,0.009375,0.009375,0.0,0.0,0.0,1.0,0.009375,0.062087642,0.008928571,0.010714286,0.890916406,0.029545455,0.042579532,0.0,0.090909091,0.630581028,0.0046875,0.301169301,0.000892857,0.008035714,1.859517213,0.5,0.01875,0.062087642,0.017857143,0.021428571,0.014075255,0.047111898,0.013392857,0.016071429,1.066454848,0.119530021,0.043257421,0.105263158,0.125,0.746100818
sat/20180321_140826713_p_cnf_320_1120.cnf.bz2,320.0,1120.0,320.0,1120.0,0.0,0.0,0.285714286,0.507738095,0.577082007,0.333333333,1.0,0.574731235,0.009375,0.0,0.009375,0.009375,0.0,0.0,0.0,1.0,0.009375,0.062542503,0.008928571,0.010714286,0.893042896,0.028977273,0.042362899,0.0,0.090909091,0.62592365,0.004637277,0.274829662,0.000892857,0.008035714,1.763489352,0.494642857,0.01875,0.062542503,0.017857143,0.021428571,0.014076849,0.047521805,0.013392857,0.016071429,1.071860237,0.119520807,0.043545811,0.105263158,0.125,0.758701575
sat/20180322_164223076_p_cnf_320_1120.cnf.bz2,320.0,1120.0,320.0,1120.0,0.0,0.0,0.285714286,0.505952381,0.577190427,0.333333333,1.0,0.571933251,0.009375,0.0,0.009375,0.009375,0.0,0.0,0.0,1.0,0.009375,0.061167774,0.008928571,0.010714286,0.885916109,0.030681818,0.042987001,0.0,0.090909091,0.6393633,0.004737723,0.301307982,0.000892857,0.008928571,1.868276491,0.505357143,0.01875,0.061167774,0.017857143,0.021428571,0.014072066,0.046973595,0.013392857,0.016071429,1.063556319,0.119554209,0.043141724,0.105263158,0.125,0.743450231
sat/20180322_164226378_p_cnf_320_1120.cnf.bz2,320.0,1120.0,320.0,1120.0,0.0,0.0,0.285714286,0.497619048,0.577323834,0.333333333,1.0,0.558377407,0.009375,0.0,0.009375,0.009375,0.0,0.0,0.0,1.0,0.009375,0.058805186,0.008928571,0.010714286,0.868934372,0.033522727,0.043860545,0.0,0.090909091,0.658287057,0.004654018,0.282841493,0.0,0.008035714,1.795769184,0.496428571,0.01875,0.058805186,0.017857143,0.021428571,0.014064094,0.045803023,0.013392857,0.016071429,1.044116702,0.119607306,0.042180838,0.105263158,0.125,0.725165165
sat/20180322_164226661_p_cnf_320_1120.cnf.bz2,320.0,1120.0,320.0,1120.0,0.0,0.0,0.285714286,0.494642857,0.577214812,0.333333333,1.0,0.553333563,0.009375,0.0,0.009375,0.009375,0.0,0.0,0.0,1.0,0.009375,0.063887656,0.008928571,0.010714286,0.897945725,0.027272727,0.041659779,0.0,0.090909091,0.610864302,0.004804687,0.279033436,0.000892857,0.009821429,1.806863625,0.5125,0.01875,0.063887656,0.017857143,0.021428571,0.014081633,0.047610388,0.013392857,0.016071429,1.073375173,0.119484641,0.043828106,0.105263158,0.125,0.730973759
sat/20180322_164238439_p_cnf_320_1120.cnf.bz2,320.0,1120.0,320.0,1120.0,0.0,0.0,0.285714286,0.495833333,0.577268723,0.333333333,1.0,0.555364064,0.009375,0.0,0.009375,0.009375,0.0,0.0,0.0,1.0,0.009375,0.061629424,0.008928571,0.010714286,0.888541462,0.030113636,0.042787524,0.0,0.090909091,0.635060336,0.004654018,0.258181071,0.000892857,0.008035714,1.7096629,0.496428571,0.01875,0.061629424,0.017857143,0.021428571,0.014073661,0.047763143,0.013392857,0.016071429,1.07429764,0.119548527,0.043745168,0.105263158,0.125,0.760502452
sat/20180322_164241329_p_cnf_320_1120.cnf.bz2,320.0,1120.0,320.0,1120.0,0.0,0.0,0.285714286,0.503571429,0.577292186,0.333333333,1.0,0.568144397,0.009375,0.0,0.009375,0.009375,0.0,0.0,0.0,1.0,0.009375,0.062542503,0.008928571,0.010714286,0.893042896,0.028977273,0.042362899,0.0,0.090909091,0.62592365,0.004654018,0.278745389,0.000892857,0.008928571,1.78269964,0.496428571,0.01875,0.062542503,0.017857143,0.021428571,0.014076849,0.047446159,0.013392857,0.016071429,1.071565964,0.119520423,0.043539785,0.105263158,0.125,0.74994695
