instance,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19,feature_20,feature_21,feature_22,feature_23,feature_24,feature_25,feature_26,feature_27,feature_28,feature_29,feature_30,feature_31,feature_32,feature_33,feature_34,feature_35,feature_36,feature_37
instance_218,11156.0,85873.0,0.09622,1.0,0.0,1.0,1.0,0.12991,0.00021,3.43813,1e-05,0.02356,0.02355,0.00021,0.57943,9e-05,0.01587,0.01578,0.3606,0.73073,0.0,1.0,1.0,0.4439,0.639,0.0,1.0,1.0,0.10913,0.72435,0.84053,0.00012,0.0,0.0,0.02263,0.02263,0.72483
instance_87,312597.0,932617.0,0.00359,1.0,0.0,1.0,1.0,0.33518,1e-05,0.0,0.0,0.00058,0.00058,1e-05,0.0,0.0,0.00172,0.00171,0.49884,0.18287,0.00372,1.0,0.99628,0.49716,0.0,0.0,1.0,1.0,0.00359,0.66135,0.98587,1e-05,0.0,0.0,0.00057,0.00057,0.81829
instance_38,110740.0,500735.0,0.01198,1.0,0.0,1.0,1.0,0.22115,2e-05,0.64541,1e-05,6e-05,6e-05,2e-05,0.36644,1e-05,6e-05,5e-05,0.35533,0.28305,0.22222,0.88889,0.66667,0.30952,0.9693,0.0,1.0,1.0,0.03378,0.78193,0.95207,1e-05,0.0,0.0,5e-05,5e-05,0.78193
instance_434,100.0,200.0,0.5,1.0,0.0,1.0,1.0,0.5,0.055,0.27634,0.025,0.09,0.065,0.055,0.81818,0.01,0.1,0.09,0.90112,0.0342,0.8,0.94444,0.14444,0.5,1.0,0.0,1.0,1.0,0.5,0.5,0.5,0.005,0.0,0.005,0.005,0.0,0.5
instance_435,593.0,898.0,0.66036,1.0,0.0,1.0,1.0,0.66036,0.00437,0.28594,0.0,0.00891,0.00891,0.00437,1.09803,0.00169,0.03035,0.02867,0.72428,0.10983,0.0,0.875,0.875,0.33964,1.39437,0.0,1.0,1.0,0.67372,0.70267,0.7461,0.00114,0.0,0.0,0.00223,0.00223,0.67372
instance_327,236178.0,3295484.0,9e-05,1.0,0.0,1.0,1.0,0.07167,2e-05,1.33352,0.0,0.00031,0.00031,2e-05,0.40764,0.0,5e-05,4e-05,0.43713,0.73234,0.0,1.0,1.0,0.37378,0.738,0.0,1.0,1.0,0.00013,0.13681,0.60673,1e-05,0.0,0.0,0.00024,0.00024,0.7723
instance_427,4510.0,14421.0,0.31274,1.0,0.0,1.0,1.0,0.31274,0.00077,2.60378,7e-05,0.05513,0.05506,0.00077,2.44918,0.00022,0.10887,0.10865,0.51589,0.41007,0.0,0.99874,0.99874,0.4498,0.76997,0.0,1.0,1.0,0.33056,0.75563,0.77512,0.00026,0.0,7e-05,0.05499,0.05492,0.7505
instance_365,2578.0,35415.0,0.00277,1.0,0.0,1.0,1.0,0.07279,0.00099,0.86636,3e-05,0.00296,0.00294,0.00099,0.3481,0.00039,0.01939,0.01901,0.49584,0.66605,0.0,0.99048,0.99048,0.72721,0.33371,0.0,1.0,1.0,0.00412,0.4822,0.99743,0.00028,0.0,0.0,0.00152,0.00152,0.30176
instance_533,3973.0,13003.0,0.14658,1.0,0.0,1.0,1.0,0.30554,0.00057,3.84964,0.00015,0.11736,0.1172,0.00057,0.74119,0.00025,0.01586,0.01561,0.31805,0.38835,0.0625,0.94118,0.87868,0.31775,0.72935,0.0,1.0,1.0,0.15481,0.84034,0.86303,0.00053,0.0,8e-05,0.11736,0.11728,0.98623
instance_95,50955.0,155134.0,0.00357,1.0,0.0,1.0,1.0,0.32846,5e-05,1.34615,1e-05,0.00282,0.00282,5e-05,1.32418,2e-05,0.00858,0.00856,0.49837,0.18318,0.00457,1.0,0.99543,0.49217,0.26383,0.0,1.0,1.0,0.00358,0.6685,0.98674,4e-05,0.0,0.0,0.00281,0.00281,0.82253
instance_425,1113.0,1571.0,0.70847,1.0,0.0,1.0,1.0,0.70847,0.00635,0.78948,0.0,0.07702,0.07702,0.00635,1.66106,0.0009,0.04762,0.04672,0.86245,0.07798,0.0,0.99174,0.99174,0.29153,1.55888,0.0,1.0,1.0,0.70847,0.71547,0.72311,0.00064,0.0,0.0,0.00064,0.00064,0.70847
instance_83,50951.0,153406.0,0.00361,1.0,0.0,1.0,1.0,0.33213,5e-05,1.24456,1e-05,0.00286,0.00285,5e-05,0.96132,2e-05,0.00858,0.00856,0.49841,0.18305,0.00457,1.0,0.99543,0.49489,0.25291,0.0,1.0,1.0,0.00362,0.66479,0.98662,4e-05,0.0,0.0,0.00284,0.00284,0.82056
instance_382,6988.0,129090.0,0.00139,1.0,0.0,1.0,1.0,0.05413,0.00036,0.80669,1e-05,0.00119,0.00119,0.00036,0.29159,0.00014,0.00487,0.00472,0.50451,0.59093,0.0,1.0,1.0,0.71697,0.3258,0.0,1.0,1.0,0.00196,0.48613,0.99856,0.00011,0.0,0.0,0.00064,0.00064,0.31368
instance_291,11949.0,31219.0,0.05929,1.0,0.0,1.0,1.0,0.38275,0.0002,1.38765,0.0001,0.00529,0.00519,0.0002,0.31781,8e-05,0.00059,0.0005,0.58085,0.17322,0.25,0.85714,0.60714,0.59801,0.73571,0.0,1.0,1.0,0.07774,0.607,0.94426,0.0001,0.0,0.0,0.00266,0.00266,0.46481
instance_20,129190.0,584210.0,0.01198,1.0,0.0,1.0,1.0,0.22114,2e-05,0.64579,1e-05,5e-05,5e-05,2e-05,0.36952,1e-05,5e-05,5e-05,0.35528,0.2831,0.22222,0.88889,0.66667,0.30961,0.96769,0.0,1.0,1.0,0.03377,0.78191,0.95207,1e-05,0.0,0.0,4e-05,4e-05,0.78191
instance_383,6425.0,109131.0,0.00165,1.0,0.0,1.0,1.0,0.05887,0.00039,0.88462,1e-05,0.00139,0.00138,0.00039,0.28725,0.00016,0.00763,0.00747,0.51051,0.56654,0.0,1.0,1.0,0.72191,0.325,0.0,1.0,1.0,0.00243,0.49318,0.9984,0.00011,0.0,0.0,0.00072,0.00072,0.30661
instance_27,94400.0,429720.0,0.01219,1.0,0.0,1.0,1.0,0.21968,2e-05,0.6475,1e-05,7e-05,7e-05,2e-05,0.37102,1e-05,7e-05,6e-05,0.35219,0.27299,0.22222,0.71429,0.49206,0.30537,0.98381,0.0,1.0,1.0,0.03668,0.78051,0.95122,2e-05,0.0,0.0,6e-05,6e-05,0.78051
instance_60,17427.0,50520.0,0.00936,1.0,0.0,1.0,1.0,0.34495,0.00013,1.14028,2e-05,0.00756,0.00754,0.00013,0.75697,6e-05,0.02186,0.02181,0.49408,0.18111,0.00524,1.0,0.99476,0.49098,0.30447,0.0,1.0,1.0,0.0094,0.68357,0.99982,0.0001,0.0,0.0,0.00754,0.00754,0.83698
instance_554,44805.0,193924.0,0.23104,1.0,0.0,1.0,1.0,0.23104,5e-05,1.18167,2e-05,0.0051,0.00508,5e-05,0.61236,2e-05,0.01009,0.01007,0.45438,0.1601,0.00659,0.77778,0.77118,0.40832,0.71185,0.0,1.0,1.0,0.23105,0.56539,0.97999,3e-05,0.0,1e-05,0.00379,0.00378,0.7242
instance_455,2606.0,9115.0,0.2859,1.0,0.0,1.0,1.0,0.2859,0.00086,1.189,0.00044,0.009,0.00856,0.00086,0.38754,0.00038,0.00115,0.00077,0.69051,0.07752,0.5,0.97561,0.47561,0.57115,0.86655,0.0,1.0,1.0,0.2859,0.46967,1.0,0.00022,0.0,0.00022,0.00022,0.0,0.42885
instance_568,266805.0,986928.0,0.27034,1.0,0.0,1.0,1.0,0.27034,1e-05,0.0,0.0,0.00053,0.00052,1e-05,0.0,0.0,1e-05,1e-05,0.4111,0.17834,0.2,1.0,0.8,0.36616,0.0,0.0,1.0,1.0,0.27034,0.75678,1.0,0.0,0.0,0.0,0.00039,0.00039,0.77657
instance_422,5117.0,6552.0,0.78098,1.0,0.0,1.0,1.0,0.78098,0.00312,0.35559,0.00046,0.00839,0.00794,0.00312,1.95533,0.0002,0.03107,0.03088,0.94355,0.02645,0.66667,0.98182,0.31515,0.21902,1.88835,0.0,1.0,1.0,0.78098,0.78098,0.78114,0.00015,0.0,0.00015,0.00015,0.0,0.78098
instance_89,49693.0,151712.0,0.00365,1.0,0.0,1.0,1.0,0.32755,5e-05,1.3265,1e-05,0.00257,0.00256,5e-05,1.32256,2e-05,0.00783,0.00781,0.49829,0.18304,0.00513,1.0,0.99487,0.49139,0.26766,0.0,1.0,1.0,0.00366,0.66934,0.98643,4e-05,0.0,0.0,0.00256,0.00256,0.82268
instance_512,6789.0,30460.0,0.0021,1.0,0.0,1.0,1.0,0.22288,0.00039,0.50134,7e-05,0.0023,0.00223,0.00039,0.24045,0.00015,0.00471,0.00457,0.44032,0.1559,0.27273,0.89744,0.62471,0.43402,0.46601,0.0,1.0,1.0,0.00519,0.42833,0.93549,0.00025,0.0,3e-05,0.0022,0.00217,0.70053
instance_88,312604.0,936412.0,0.00357,1.0,0.0,1.0,1.0,0.33383,1e-05,0.0,0.0,0.00058,0.00058,1e-05,0.0,0.0,0.00174,0.00174,0.49883,0.18285,0.00366,1.0,0.99634,0.49616,0.0,0.0,1.0,1.0,0.00357,0.66271,0.98592,1e-05,0.0,0.0,0.00058,0.00058,0.81901
instance_448,524.0,1157.0,0.4529,1.0,0.0,1.0,1.0,0.4529,0.01789,1.29347,0.0,0.1573,0.1573,0.01789,1.12496,0.00191,0.14122,0.13931,0.73583,0.30125,0.0,0.99451,0.99451,0.5136,0.91118,0.0,1.0,1.0,0.46845,0.47018,0.47105,0.00089,0.0,0.0,0.00173,0.00173,0.46845
instance_552,14013.0,495775.0,0.02826,1.0,0.0,1.0,1.0,0.02826,0.00014,0.28224,0.0,0.00031,0.0003,0.00014,0.2144,7e-05,0.00064,0.00057,0.01784,1.26536,0.0,1.0,1.0,0.00628,12.57024,0.0,1.0,1.0,0.02827,0.99686,0.99687,0.00014,0.0,0.0,0.00031,0.0003,0.99686
instance_311,341053.0,3803650.0,3e-05,1.0,0.0,1.0,1.0,0.08966,1e-05,0.0,0.0,0.00025,0.00025,1e-05,0.0,0.0,0.00035,0.00035,0.42689,0.23687,0.01639,0.75,0.73361,0.43742,0.0,0.0,1.0,1.0,3e-05,0.09406,0.56804,1e-05,0.0,0.0,0.00012,0.00012,0.56737
instance_258,23868.0,62593.0,0.05854,1.0,0.0,1.0,1.0,0.38132,0.0001,1.37566,5e-05,0.00315,0.0031,0.0001,0.31741,4e-05,0.00029,0.00025,0.58509,0.16685,0.25,0.85714,0.60714,0.60249,0.74023,0.0,1.0,1.0,0.07506,0.60623,0.94308,5e-05,0.0,0.0,0.00157,0.00157,0.45513
instance_483,4250.0,72647.0,0.0585,1.0,0.0,1.0,1.0,0.0585,0.00046,0.91757,4e-05,0.00106,0.00102,0.00046,0.33876,0.00024,0.004,0.00376,0.651,0.48798,0.33333,0.97403,0.64069,0.91225,0.31034,0.0,1.0,1.0,0.0585,0.99828,0.99828,3e-05,0.0,3e-05,3e-05,0.0,0.08775
instance_165,4648.0,16838.0,0.01247,1.0,0.0,1.0,1.0,0.27604,0.00054,1.14261,0.00024,0.0041,0.00386,0.00054,0.31837,0.00022,0.00086,0.00065,0.43777,0.21447,0.25,0.66667,0.41667,0.41112,0.66455,0.0,1.0,1.0,0.01247,0.66593,0.82047,0.00034,0.0,0.00012,0.00202,0.0019,0.74035
instance_584,7794.0,134621.0,0.0579,1.0,0.0,1.0,1.0,0.0579,0.00072,3.39118,3e-05,0.01366,0.01363,0.00072,0.72405,0.00013,0.00706,0.00693,0.35443,0.44173,0.01207,0.99764,0.98557,0.14589,1.80808,0.0,1.0,1.0,0.05804,0.20917,0.33783,0.00062,0.0,2e-05,0.01362,0.01359,0.95126
instance_321,19868.0,123493.0,0.00029,1.0,0.0,1.0,1.0,0.16088,0.00016,2.77619,2e-05,0.00228,0.00226,0.00016,0.28863,5e-05,0.00191,0.00186,0.43204,0.2578,0.05,0.75,0.7,0.43045,0.36841,0.0,1.0,1.0,0.00029,0.17248,0.6222,9e-05,0.0,2e-05,0.00115,0.00113,0.62167
instance_505,774.0,2496.0,0.03285,1.0,0.0,1.0,1.0,0.3101,0.00291,0.30719,0.0008,0.00721,0.00641,0.00291,0.36376,0.00129,0.04134,0.04005,0.42497,0.18415,0.22222,0.71429,0.49206,0.40338,0.54445,0.0,1.0,1.0,0.04848,0.72516,0.99319,0.00234,0.0,0.0004,0.00721,0.00681,0.86058
instance_544,3392.0,10643.0,0.15428,1.0,0.0,1.0,1.0,0.31871,0.00065,2.15249,0.00028,0.03383,0.03354,0.00065,0.76636,0.00029,0.01857,0.01828,0.32691,0.39055,0.04762,0.94118,0.89356,0.31055,0.75384,0.0,1.0,1.0,0.16368,0.83482,0.89937,0.0006,0.0,0.00019,0.03383,0.03364,0.98544
instance_556,118038.0,8898630.0,0.01326,1.0,0.0,1.0,1.0,0.01326,2e-05,9.65421,0.0,0.0086,0.00859,2e-05,3.81432,1e-05,0.00287,0.00286,0.1278,1.37081,0.00585,0.976,0.97015,0.04824,3.12598,0.0,1.0,1.0,0.01326,0.93792,0.98927,2e-05,0.0,0.0,0.0043,0.0043,0.98702
instance_40,60556.0,273683.0,0.01198,1.0,0.0,1.0,1.0,0.22126,4e-05,0.64602,1e-05,0.00012,0.0001,4e-05,0.3657,2e-05,0.00012,0.0001,0.35529,0.2832,0.22222,0.88889,0.66667,0.30911,0.96903,0.0,1.0,1.0,0.03395,0.78193,0.95206,3e-05,0.0,1e-05,0.0001,9e-05,0.78193
instance_557,141856.0,2884458.0,0.04918,1.0,0.0,1.0,1.0,0.04918,2e-05,2.17252,0.0,0.00081,0.00081,2e-05,2.97981,1e-05,0.01354,0.01353,0.26488,0.66387,0.00772,0.98731,0.97959,0.24515,1.09441,0.0,1.0,1.0,0.04934,0.97279,0.97675,1e-05,0.0,0.0,0.00081,0.00081,0.97278
instance_492,2258.0,11104.0,0.00738,1.0,0.0,1.0,1.0,0.20335,0.00122,0.47835,0.00036,0.0054,0.00504,0.00122,0.26651,0.00044,0.01417,0.01373,0.4352,0.16801,0.11111,0.80769,0.69658,0.4335,0.50001,0.0,1.0,1.0,0.01369,0.32448,0.92417,0.00074,0.0,9e-05,0.00486,0.00477,0.65643
instance_510,2192.0,10654.0,0.0077,1.0,0.0,1.0,1.0,0.20574,0.00125,0.48708,0.00038,0.00563,0.00526,0.00125,0.27066,0.00046,0.0146,0.01414,0.43439,0.16507,0.25,0.80769,0.55769,0.43244,0.50112,0.0,1.0,1.0,0.01455,0.3364,0.92698,0.00077,0.0,9e-05,0.00507,0.00497,0.66416
