instance,algorithm_1,algorithm_2,algorithm_3,algorithm_4,algorithm_5
instance_151,2998.0,260.0,1708.0,401.0,840.0
instance_115,1607.0,41.0,1285.0,1.0,2.0
instance_75,72000.0,233.0,72000.0,401.0,224.0
instance_208,72000.0,2289.0,72000.0,52.0,1160.0
instance_129,72000.0,52.0,72000.0,3.0,9.0
instance_97,72000.0,101.0,72000.0,2375.0,496.0
instance_162,2344.0,1268.0,6767.0,138.0,62.0
instance_12,72000.0,660.0,72000.0,1748.0,1022.0
instance_90,72000.0,72000.0,72000.0,159.0,280.0
instance_166,666.0,31.0,20.0,599.0,476.0
instance_45,72000.0,872.0,72000.0,767.0,975.0
instance_96,1260.0,96.0,72000.0,122.0,78.0
instance_40,1.0,1.0,52.0,1.0,1.0
instance_77,72000.0,655.0,1914.0,1187.0,521.0
instance_11,60.0,46.0,383.0,2.0,1.0
instance_16,246.0,67.0,232.0,83.0,92.0
instance_106,399.0,43.0,18.0,4.0,4.0
instance_184,109.0,76.0,293.0,48.0,26.0
instance_38,1.0,1.0,72000.0,1.0,1.0
instance_21,72000.0,2479.0,72000.0,202.0,341.0
instance_217,296.0,62.0,367.0,447.0,370.0
instance_205,1574.0,9.0,72000.0,1.0,4.0
instance_143,72000.0,129.0,765.0,114.0,49.0
instance_180,931.0,116.0,936.0,14.0,39.0
instance_114,334.0,29.0,66.0,8.0,25.0
instance_137,295.0,63.0,242.0,97.0,10.0
instance_88,72000.0,72000.0,72000.0,26.0,76.0
instance_8,266.0,31.0,645.0,34.0,81.0
instance_31,749.0,284.0,838.0,128.0,419.0
instance_190,42.0,29.0,190.0,51.0,120.0
instance_171,72000.0,1.0,485.0,2.0,1.0
instance_206,5.0,2.0,39.0,1.0,1.0
instance_145,72000.0,72000.0,72000.0,276.0,1333.0
instance_27,2744.0,15.0,2201.0,1.0,2.0
instance_33,30.0,73.0,71.0,18.0,1.0
instance_199,81.0,4.0,104.0,11.0,11.0
instance_196,2122.0,1974.0,72000.0,2517.0,2123.0
instance_34,72000.0,1466.0,72000.0,6488.0,72000.0
instance_49,1146.0,715.0,5086.0,581.0,619.0
instance_144,765.0,203.0,1292.0,147.0,89.0
instance_74,72000.0,89.0,72000.0,465.0,143.0
instance_37,1.0,1.0,72000.0,1.0,1.0
instance_209,759.0,57.0,126.0,51.0,38.0
instance_207,50.0,46.0,72000.0,34.0,53.0
instance_134,368.0,122.0,304.0,105.0,29.0
instance_80,72000.0,72000.0,72000.0,2668.0,72000.0
instance_91,6.0,20.0,49.0,12.0,4.0
instance_102,81.0,12.0,119.0,2.0,2.0
instance_98,1579.0,52.0,72000.0,105.0,136.0
instance_132,222.0,55.0,233.0,18.0,15.0
instance_9,20.0,11.0,47.0,4.0,5.0
instance_63,933.0,107.0,1606.0,85.0,95.0
instance_161,89.0,32.0,608.0,20.0,62.0
instance_127,171.0,19.0,250.0,11.0,15.0
instance_87,363.0,20.0,421.0,55.0,19.0
instance_93,72000.0,72000.0,72000.0,42.0,186.0
instance_195,72000.0,63.0,1741.0,29.0,74.0
instance_136,301.0,50.0,213.0,74.0,38.0
instance_2,69.0,22.0,610.0,3.0,3.0
instance_203,605.0,53.0,4847.0,95.0,54.0
instance_86,65.0,17.0,814.0,8.0,6.0
instance_179,72000.0,2.0,72000.0,2.0,72000.0
instance_41,599.0,12.0,72000.0,16.0,20.0
instance_39,1.0,1.0,72000.0,1.0,1.0
instance_64,425.0,103.0,776.0,38.0,39.0
instance_175,72000.0,1.0,2448.0,1.0,134.0
instance_15,72000.0,72000.0,72000.0,1654.0,72000.0
instance_76,197.0,10.0,161.0,10.0,8.0
instance_193,72000.0,72000.0,6231.0,5426.0,2808.0
instance_29,373.0,3497.0,72000.0,222.0,97.0
instance_138,72000.0,340.0,72000.0,366.0,472.0
instance_201,72000.0,1246.0,72000.0,859.0,839.0
instance_173,191.0,20.0,142.0,48.0,6.0
instance_18,11.0,2.0,27.0,1.0,2.0
instance_108,52.0,9.0,32.0,10.0,12.0
instance_57,72000.0,492.0,72000.0,976.0,346.0
instance_95,2236.0,398.0,72000.0,66.0,560.0
instance_13,72000.0,72000.0,72000.0,220.0,66.0
instance_140,1100.0,1195.0,1344.0,207.0,426.0
instance_70,47.0,1.0,38.0,1.0,2.0
instance_14,72000.0,8.0,72000.0,12.0,9.0
instance_213,839.0,23.0,578.0,54.0,77.0
instance_42,70.0,3.0,1900.0,4.0,6.0
instance_78,72000.0,141.0,72000.0,24.0,48.0
instance_52,317.0,17.0,72000.0,22.0,14.0
instance_66,3745.0,2321.0,606.0,4.0,1.0
instance_85,3145.0,219.0,72000.0,5.0,8.0
instance_146,84.0,3.0,91.0,4.0,30.0
instance_54,263.0,14.0,201.0,5.0,4.0
instance_149,139.0,27.0,437.0,163.0,14.0
instance_128,233.0,3.0,4.0,4.0,1.0
instance_100,72000.0,6581.0,72000.0,4.0,1474.0
instance_120,72000.0,72000.0,72000.0,313.0,90.0
instance_154,53.0,10.0,72000.0,4.0,9.0
instance_176,72000.0,1.0,72000.0,1.0,1979.0
instance_24,72000.0,840.0,72000.0,785.0,177.0
instance_36,1.0,1.0,72000.0,1.0,1.0
instance_163,72000.0,72000.0,72000.0,32.0,60.0
instance_79,64.0,123.0,72000.0,11.0,45.0
instance_81,71.0,3.0,103.0,1.0,2.0
instance_65,414.0,38.0,556.0,37.0,28.0
instance_212,72000.0,105.0,72000.0,731.0,90.0
instance_119,11.0,3.0,8.0,1.0,3.0
instance_35,54.0,25.0,201.0,11.0,16.0
instance_103,1552.0,161.0,1010.0,79.0,68.0
instance_3,72000.0,1642.0,72000.0,451.0,1527.0
instance_30,793.0,74.0,72000.0,249.0,275.0
instance_1,106.0,2.0,99.0,2.0,3.0
instance_5,152.0,14.0,185.0,11.0,16.0
instance_165,2081.0,257.0,3612.0,225.0,167.0
instance_125,2266.0,160.0,560.0,226.0,899.0
