instance,algorithm_1,algorithm_2,algorithm_3,algorithm_4,algorithm_5
instance_37,1.0,1.0,72000.0,1.0,1.0
instance_151,2998.0,260.0,1708.0,401.0,840.0
instance_152,72000.0,3538.0,72000.0,72000.0,72000.0
instance_159,719.0,17.0,25.0,17.0,14.0
instance_154,53.0,10.0,72000.0,4.0,9.0
instance_75,72000.0,233.0,72000.0,401.0,224.0
instance_30,793.0,74.0,72000.0,249.0,275.0
instance_84,2.0,1.0,2.0,1.0,1.0
instance_2,69.0,22.0,610.0,3.0,3.0
instance_49,1146.0,715.0,5086.0,581.0,619.0
instance_135,49.0,65.0,707.0,105.0,173.0
instance_191,100.0,11.0,41.0,6.0,6.0
instance_205,1574.0,9.0,72000.0,1.0,4.0
instance_27,2744.0,15.0,2201.0,1.0,2.0
instance_19,259.0,7.0,152.0,11.0,6.0
instance_209,759.0,57.0,126.0,51.0,38.0
instance_206,5.0,2.0,39.0,1.0,1.0
instance_50,237.0,189.0,584.0,104.0,116.0
instance_204,48.0,14.0,17.0,10.0,21.0
instance_185,1012.0,200.0,4340.0,103.0,282.0
instance_192,75.0,15.0,61.0,11.0,10.0
instance_118,49.0,8.0,275.0,4.0,15.0
instance_139,1008.0,46.0,515.0,72.0,37.0
instance_81,71.0,3.0,103.0,1.0,2.0
instance_26,69.0,33.0,172.0,28.0,28.0
instance_55,103.0,2.0,68.0,2.0,3.0
instance_63,933.0,107.0,1606.0,85.0,95.0
instance_163,72000.0,72000.0,72000.0,32.0,60.0
instance_198,4063.0,6934.0,72000.0,2402.0,2720.0
instance_72,49.0,23.0,650.0,91.0,110.0
instance_199,81.0,4.0,104.0,11.0,11.0
instance_147,72000.0,111.0,2293.0,5.0,553.0
instance_25,2079.0,803.0,72000.0,422.0,1080.0
instance_164,1864.0,29.0,72000.0,88.0,19.0
instance_11,60.0,46.0,383.0,2.0,1.0
instance_173,191.0,20.0,142.0,48.0,6.0
instance_17,30.0,9.0,49.0,21.0,8.0
instance_130,72000.0,30.0,481.0,64.0,66.0
instance_162,2344.0,1268.0,6767.0,138.0,62.0
instance_29,373.0,3497.0,72000.0,222.0,97.0
instance_79,64.0,123.0,72000.0,11.0,45.0
instance_103,1552.0,161.0,1010.0,79.0,68.0
instance_51,1192.0,60.0,3980.0,54.0,64.0
instance_20,72000.0,2489.0,72000.0,200.0,289.0
instance_99,445.0,294.0,755.0,215.0,461.0
instance_104,44.0,16.0,33.0,7.0,17.0
instance_148,72000.0,84.0,72000.0,58.0,36.0
instance_202,72000.0,1131.0,72000.0,5973.0,693.0
instance_184,109.0,76.0,293.0,48.0,26.0
instance_132,222.0,55.0,233.0,18.0,15.0
instance_124,90.0,349.0,72000.0,35.0,11.0
instance_71,15.0,10.0,41.0,5.0,4.0
instance_216,2385.0,166.0,903.0,434.0,341.0
instance_127,171.0,19.0,250.0,11.0,15.0
instance_110,77.0,19.0,127.0,9.0,10.0
instance_101,3935.0,1.0,72000.0,1.0,3502.0
instance_189,72000.0,72000.0,72000.0,72000.0,6517.0
instance_90,72000.0,72000.0,72000.0,159.0,280.0
instance_60,72000.0,9.0,3461.0,2.0,18.0
instance_77,72000.0,655.0,1914.0,1187.0,521.0
instance_115,1607.0,41.0,1285.0,1.0,2.0
instance_214,72000.0,72000.0,72000.0,37.0,63.0
instance_210,72000.0,3439.0,6868.0,72000.0,3979.0
instance_106,399.0,43.0,18.0,4.0,4.0
instance_111,72000.0,9.0,67.0,6.0,5.0
instance_88,72000.0,72000.0,72000.0,26.0,76.0
instance_197,148.0,32.0,221.0,22.0,112.0
instance_174,20.0,6.0,6.0,3.0,3.0
instance_44,72000.0,50.0,72000.0,72.0,108.0
instance_212,72000.0,105.0,72000.0,731.0,90.0
instance_13,72000.0,72000.0,72000.0,220.0,66.0
instance_66,3745.0,2321.0,606.0,4.0,1.0
instance_196,2122.0,1974.0,72000.0,2517.0,2123.0
instance_116,72000.0,8.0,72000.0,1.0,1.0
instance_76,197.0,10.0,161.0,10.0,8.0
instance_10,2689.0,48.0,72000.0,19.0,46.0
instance_188,1239.0,54.0,72000.0,72000.0,342.0
instance_113,7.0,19.0,72000.0,18.0,573.0
instance_48,139.0,146.0,1319.0,140.0,212.0
instance_98,1579.0,52.0,72000.0,105.0,136.0
instance_85,3145.0,219.0,72000.0,5.0,8.0
instance_108,52.0,9.0,32.0,10.0,12.0
instance_169,72000.0,2208.0,72000.0,72000.0,2031.0
instance_157,19.0,2.0,72000.0,1.0,1.0
instance_195,72000.0,63.0,1741.0,29.0,74.0
instance_95,2236.0,398.0,72000.0,66.0,560.0
instance_96,1260.0,96.0,72000.0,122.0,78.0
instance_134,368.0,122.0,304.0,105.0,29.0
instance_56,72000.0,320.0,72000.0,324.0,222.0
instance_131,191.0,3.0,11.0,2.0,1.0
instance_117,72000.0,8.0,72000.0,3.0,2.0
instance_160,58.0,18.0,72000.0,5.0,2.0
instance_54,263.0,14.0,201.0,5.0,4.0
instance_121,11.0,2.0,44.0,3.0,2.0
instance_21,72000.0,2479.0,72000.0,202.0,341.0
instance_136,301.0,50.0,213.0,74.0,38.0
instance_125,2266.0,160.0,560.0,226.0,899.0
instance_176,72000.0,1.0,72000.0,1.0,1979.0
instance_150,72000.0,72000.0,72000.0,49.0,79.0
instance_190,42.0,29.0,190.0,51.0,120.0
instance_62,655.0,120.0,1975.0,96.0,124.0
instance_34,72000.0,1466.0,72000.0,6488.0,72000.0
instance_207,50.0,46.0,72000.0,34.0,53.0
instance_3,72000.0,1642.0,72000.0,451.0,1527.0
instance_165,2081.0,257.0,3612.0,225.0,167.0
instance_155,72000.0,72000.0,72000.0,72000.0,1762.0
instance_171,72000.0,1.0,485.0,2.0,1.0
instance_64,425.0,103.0,776.0,38.0,39.0
instance_100,72000.0,6581.0,72000.0,4.0,1474.0
instance_193,72000.0,72000.0,6231.0,5426.0,2808.0
instance_208,72000.0,2289.0,72000.0,52.0,1160.0
instance_53,81.0,7.0,94.0,4.0,2.0
instance_153,14.0,4.0,72000.0,1.0,1.0
instance_45,72000.0,872.0,72000.0,767.0,975.0
instance_119,11.0,3.0,8.0,1.0,3.0
instance_74,72000.0,89.0,72000.0,465.0,143.0
instance_24,72000.0,840.0,72000.0,785.0,177.0
instance_172,72000.0,72000.0,72000.0,210.0,129.0
instance_69,81.0,17.0,264.0,21.0,11.0
instance_114,334.0,29.0,66.0,8.0,25.0
instance_105,72000.0,1005.0,1207.0,534.0,583.0
instance_143,72000.0,129.0,765.0,114.0,49.0
instance_38,1.0,1.0,72000.0,1.0,1.0
instance_120,72000.0,72000.0,72000.0,313.0,90.0
instance_83,72000.0,63.0,91.0,39.0,6.0
instance_15,72000.0,72000.0,72000.0,1654.0,72000.0
instance_7,46.0,9.0,118.0,5.0,11.0
instance_149,139.0,27.0,437.0,163.0,14.0
instance_126,147.0,337.0,1973.0,10.0,6.0
instance_94,72000.0,72000.0,72000.0,509.0,1978.0
instance_177,72000.0,1.0,72000.0,1.0,72000.0
instance_9,20.0,11.0,47.0,4.0,5.0
instance_91,6.0,20.0,49.0,12.0,4.0
instance_129,72000.0,52.0,72000.0,3.0,9.0
