instance,algorithm_1,algorithm_2,algorithm_3,algorithm_4,algorithm_5,algorithm_6,algorithm_7,algorithm_8,algorithm_9,algorithm_10
instance_1155,4.42,2.86,2.9,5.088,0.62,19.204,6.056,7.6,1.444,2.72
instance_904,685.96,175.416,66.232,8.22,59.804,87.072,74.256,76.596,3.104,25.292
instance_958,50000.0,50000.0,50000.0,50000.0,2206.16,50000.0,3066.68,50000.0,50000.0,50000.0
instance_1142,50000.0,366.48,492.292,4415.79,619.128,742.656,509.292,2639.69,247.252,390.348
instance_661,1328.29,576.452,402.976,421.028,166.08,50000.0,98.888,905.096,95.736,475.792
instance_1683,50000.0,1139.58,386.832,3093.54,422.456,713.46,383.492,2685.05,596.372,247.464
instance_417,1383.09,1492.33,166.46,333.864,1214.78,330.668,1069.13,26.504,50000.0,319.58
instance_1603,25.28,36.996,7.036,15.264,11.9,18.872,10.848,9.02,27.552,8.376
instance_259,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0
instance_1223,0.124,0.48,0.048,0.06,0.048,0.096,0.636,0.06,50000.0,0.06
instance_219,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0
instance_861,9.272,7.888,8.792,11.452,7.88,14.136,9.96,12.724,12.064,8.892
instance_20,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0
instance_295,117.332,21.536,803.888,130.56,172.144,339.8,296.588,205.472,1595.52,249.176
instance_1664,21.584,9.068,16.06,21.76,13.924,25.268,51.292,19.616,24.536,21.408
instance_59,417.808,598.948,388.068,694.148,430.628,515.648,373.112,497.256,486.2,304.956
instance_723,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0
instance_1530,0.36,10.528,5.8,6.16,6.68,2.168,30.412,973.612,7.544,7.18
instance_1961,261.3,109.092,41.508,45.6,25.716,50000.0,27.844,79.912,44.788,49.14
instance_281,50000.0,803.208,512.264,1180.58,256.66,1841.33,754.564,615.636,50000.0,462.82
instance_1274,0.004,0.001,0.004,0.004,0.008,0.012,0.04,0.004,0.001,0.004
instance_907,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0
instance_166,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0
instance_774,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0
instance_82,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0
instance_1355,1.46,1.068,0.44,0.4,0.392,2.3,2.652,0.428,0.224,0.448
instance_971,134.832,7.412,23.308,2514.91,10.024,35.02,8.96,2489.69,13.872,20.228
instance_1454,1.112,0.648,7.068,1.04,0.824,4.32,2.796,6.112,6.764,5.952
instance_1176,0.001,0.001,0.001,0.001,0.001,0.004,0.012,0.001,0.001,0.001
instance_1936,1.196,1.456,1.884,1.92,1.904,2.216,2.636,1.768,3.596,1.804
instance_926,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0
instance_1146,599.048,21.384,27.936,38.032,22.408,39.564,25.508,93.52,15.78,11.548
instance_1052,159.984,136.708,42.552,252.112,56.952,151.376,158.476,122.14,95.456,139.452
instance_1197,0.001,0.001,0.001,0.001,0.004,0.008,0.024,0.001,50000.0,0.001
instance_414,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0
instance_609,352.588,258.46,85.064,281.496,144.82,388.08,99.236,64.952,280.46,55.672
instance_636,50000.0,1330.53,219.16,516.296,157.88,50000.0,154.868,1242.91,159.94,461.4
instance_1360,7.192,3.204,1.128,0.92,0.936,2.232,7.948,1.068,0.656,1.132
instance_859,50000.0,952.392,1821.89,50000.0,954.112,1363.21,106.96,3405.47,107.216,2229.11
instance_1446,90.084,26.388,14.068,22.436,16.9,14.172,162.78,47.948,12.824,16.116
instance_237,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0
instance_778,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0
instance_981,27.912,19.056,9.044,14.636,7.648,19.452,5.304,16.22,6.7,9.5
instance_1396,230.344,104.44,77.656,57.712,79.924,70.956,108.848,54.128,103.44,87.256
instance_851,430.332,9.736,37.812,55.096,10.48,19.184,18.028,84.736,15.22,14.288
instance_1930,303.92,228.396,187.064,242.472,57.24,168.044,85.416,51.748,309.596,76.7
instance_1353,215.036,124.664,0.492,0.46,0.464,11.904,3.712,0.464,0.252,0.492
instance_1441,92.936,28.524,18.5,30.312,16.24,33.468,165.924,37.424,12.952,23.196
instance_70,50000.0,4359.34,4508.62,2543.07,4637.97,4266.85,50000.0,2554.12,50000.0,50000.0
instance_1570,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0
instance_1279,0.02,0.012,0.084,0.084,0.096,0.132,0.38,0.084,50000.0,0.084
instance_1306,5.064,5.32,8.66,5.156,4.164,5.088,6.76,3.928,12.756,3.944
instance_1165,575.36,50000.0,3094.49,1495.73,1957.83,1335.1,99.24,1087.73,50000.0,941.428
instance_611,2701.5,699.712,360.22,1115.79,402.736,777.148,275.968,1027.42,536.732,50000.0
instance_988,564.776,566.48,43.248,94.324,69.06,144.028,62.028,90.972,83.468,46.88
instance_1793,50000.0,50000.0,423.34,50000.0,50000.0,50000.0,50000.0,379.78,50000.0,50000.0
instance_1593,148.472,47.268,63.496,106.3,40.364,106.032,144.876,83.8,152.732,70.0
instance_1855,50000.0,843.656,32.292,145.164,256.48,285.368,410.56,97.812,689.3,130.92
instance_1988,20.736,8.596,101.248,41.596,40.76,12.52,29.376,68.148,26.492,69.7
instance_1627,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0
instance_1128,1074.08,138.668,45.58,2533.75,133.74,10.896,108.34,43.172,30.748,41.532
