instance,feature_50,feature_51,feature_52,feature_53,feature_54,feature_55,feature_81,feature_82,feature_83,feature_84,feature_85,feature_86,feature_87,feature_88,feature_89,feature_90,feature_91,feature_92,feature_93,feature_94,feature_30,feature_31,feature_32,feature_33,feature_34,feature_35,feature_36,feature_37,feature_38,feature_39,feature_40,feature_41,feature_42,feature_43,feature_44,feature_45,feature_46,feature_47,feature_48,feature_49,feature_106,feature_107,feature_108,feature_109,feature_110,feature_111,feature_112,feature_113,feature_114,feature_115,feature_58,feature_59,feature_60,feature_61,feature_62,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19,feature_20,feature_21,feature_22,feature_23,feature_24,feature_25,feature_26,feature_27,feature_28,feature_29,feature_63,feature_64,feature_65,feature_66,feature_67,feature_68,feature_69,feature_70,feature_71,feature_72,feature_73,feature_74,feature_75,feature_76,feature_77,feature_78,feature_79,feature_80,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_95,feature_96,feature_97,feature_98,feature_99,feature_100,feature_101,feature_102,feature_103,feature_104,feature_105,feature_56,feature_57
instance_1457,386104.0,1300000.0,200516.0,928000.0,3.702,1.6072,0.864,1.4028,3.0024,0.0,4.0,5.0652,0.0004,1.0256,0.0,0.0012,4.1644,0.0,0.7292,3.106,0.0004,4.7004,0.0,0.0224,9.9688,0.3056,0.3572,0.0,3.5152,8.5412,0.0,5.9504,0.0,0.014,9.068,2.1536,0.0,4.7464,0.0,0.0116,,,,,,,,,,,45.672,0.2876,44.0,56.0,3.188,2758.0,0.5188,2356.0,3128.0,3128.0,2356.0,3128.0,2448.0,3100.0,56.728,0.3664,50.596,64.44,64.44,50.596,64.44,53.748,58.128,0.9672,3.1036,0.0,3.8596,1.9288,0.1732,1.5584,0.3476,0.7172,0.2208,3.2532,0.0,1.2728,0.4648,0.0832,0.254,0.1064,0.1668,17168.0,0.0,41992.0,0.0,41992.0,41992.0,41992.0,5.2588,0.0,3.4928,0.0,17132.0,1.6184,41380.0,0.042,41436.0,40912.0,41564.0,2.59,5.1352,3.4896,0.2944,0.0692,0.3452
instance_119,125272.0,376464.0,53528.0,222480.0,5.3612,2.7684,0.9624,0.7552,6.2148,0.0,4.0,4.5256,0.0008,4.326,0.0004,0.01,3.93,0.0,2.6508,3.758,0.0008,3.2136,0.0004,0.0076,9.8892,0.7332,0.6108,0.0,3.1112,9.486,0.0008,3.778,0.0004,0.0064,7.5048,3.5816,0.0016,3.0288,0.0004,0.0088,0.002,3.6444,0.0004,0.0152,15.2148,0.6876,1.8664,0.0744,2.1112,12.9048,33.7168,0.2612,28.0,40.0,3.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0256,1.3276,0.0004,3.8788,3.7012,1.1504,3.604,3.0204,3.41,0.132,2.248,0.0,0.6844,0.2236,0.0532,0.1696,0.0864,0.1256,2411.52,7.8188,13741.6,1.6176,15562.0,0.0,15824.0,4.2416,4.1704,3.7916,0.8668,3815.52,1.1404,15475.2,0.6332,15868.0,15644.0,16016.0,2.696,2.412,3.7864,0.2464,1.044,2.8376
instance_1480,1400.0,5964.0,1368.0,5928.0,0.0936,0.0244,0.9232,1.982,2.3736,0.0,4.0,2.9936,0.0356,0.2656,0.0352,0.0584,0.6916,0.0,0.0,3.838,0.0356,1.2512,0.0136,0.0756,10.9784,0.964,0.724,0.0,4.0,13.4456,0.0176,1.6564,0.0,0.0432,9.4144,1.984,0.0692,1.2272,0.0268,0.1432,0.0536,1.0648,0.0244,0.1108,12.114,0.4464,1.0448,0.2104,0.9232,9.658,16.0,0.0,16.0,16.0,0.0,16672.0,0.0,16672.0,16672.0,16672.0,16672.0,16672.0,16672.0,16672.0,108.424,0.0,108.424,108.424,108.424,108.424,108.424,108.424,108.424,1.6256,2.3508,0.0016,4.0,2.8704,0.3512,2.408,0.7444,1.6284,0.394,2.5836,0.0236,1.8404,0.7232,0.1184,0.5372,0.2032,0.3392,43.06,1.392,304.872,0.3368,304.0,272.0,340.0,3.9612,0.8336,3.4472,0.1636,36.902,1.236,305.336,0.3292,304.0,272.0,336.0,1.6808,1.5704,3.4148,0.156,1.3676,2.644
instance_383,2028000.0,6400000.0,460000.0,2480000.0,13.704,6.3292,0.7388,1.6412,2.946,0.0,4.0,5.2248,0.0,4.7448,0.0,0.0092,4.4912,0.0,0.7696,3.3652,0.0,4.9768,0.0,0.002,11.6776,0.7084,0.718,0.0,3.5832,10.1608,0.0,5.1396,0.0,0.0008,9.84,2.2432,0.0004,4.8172,0.0,0.0024,,,,,,,,,,,32.0,0.0,32.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.186,3.638,0.0012,4.0,2.9956,0.1284,1.842,0.4024,0.6928,0.4052,3.684,0.0,1.2668,1.008,0.0216,0.7336,0.1332,0.218,169844.0,0.0,0.0,0.0,0.0,0.0,0.0,17.5272,0.0,8.0884,0.0,46840.0,1.1752,124960.0,0.0012,124960.0,124936.0,124936.0,5.832,2.7032,3.8328,0.1952,0.228,0.7424
instance_1569,234240.0,3116000.0,71164.0,1736000.0,9.1664,3.178,0.164,1.9484,3.8544,0.0,4.0,4.3588,0.0004,2.3216,0.0004,0.0108,2.6364,0.0,3.1924,3.6048,0.0004,3.7596,0.0,0.002,6.8012,1.7496,1.6904,0.0,3.7552,6.6216,0.0004,4.128,0.0,0.0012,11.5968,2.7032,0.0004,3.8992,0.0,0.002,,,,,,,,,,,39.7776,0.6356,32.0,48.0,4.9952,756.52,1.3272,280.0,1324.0,1100.0,364.0,892.0,716.0,736.0,215.076,0.766,159.852,349.584,246.412,177.1,234.116,195.508,208.568,1.834,3.7444,0.0,3.9176,3.868,0.0572,3.8648,0.1948,1.3772,0.1048,4.4052,0.0,0.7164,0.1428,0.018,0.1404,0.036,0.1076,3216.0,0.13,22170.8,0.03,22188.0,21996.0,22188.0,21.3752,0.1364,3.9264,0.0024,3005.72,1.2676,22197.6,0.0348,22220.0,21900.0,22364.0,7.3656,4.7028,3.9256,0.01,1.006,1.786
instance_517,3040.0,174596.0,2880.0,171556.0,0.2224,0.0708,0.0672,3.9692,0.1108,3.2728,4.0,1.0796,0.018,5.5352,0.0112,0.1944,1.1296,0.0,3.7036,3.7036,0.018,0.5708,0.0116,0.0248,18.3904,0.7136,0.1812,0.3024,1.2544,11.6156,0.0104,0.54,0.0064,0.0144,16.2596,3.7036,0.0228,0.6436,0.0124,0.032,,,,,,,,,,,12.0,0.0,12.0,12.0,0.0,5797.2,3.9536,580.0,16808.0,16808.0,580.0,9088.0,1336.0,5376.0,250.664,0.6832,197.092,294.18,294.18,197.092,293.508,205.34,290.62,3.1656,0.0868,2.986,3.35,3.2552,3.078,3.2168,3.116,3.164,0.0,22.6148,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.068,0.8156,1296.08,0.1612,1296.0,1232.0,1364.0,97.392,0.4836,3.994,0.002,194.216,41.172,1286.08,0.2676,1288.0,1216.0,1360.0,114.552,0.51,4.0672,1.322,3.2604,3.7008
instance_286,72000.0,302400.0,70248.0,300400.0,0.0996,0.0268,0.9356,1.9828,2.3468,0.0,4.0,2.8232,0.0008,0.2532,0.0008,0.0012,0.6108,0.0,0.0,3.8656,0.0008,1.1608,0.0,0.002,10.8532,0.9104,0.676,0.0,4.0,13.4404,0.0004,1.6008,0.0,0.0012,9.336,1.9776,0.0016,1.1756,0.0004,0.004,0.0012,0.9788,0.0004,0.0028,11.8664,0.4088,0.9752,0.1508,1.3332,8.9996,20.6208,0.2808,20.0,24.0,1.7264,36.4912,1.4476,16.0,88.0,56.0,24.0,44.0,28.0,36.0,264.9,0.8576,145.456,422.0,336.728,191.428,304.332,219.2,264.752,1.5724,2.3104,0.0,4.0,2.8084,0.35,2.2916,0.8156,1.54,0.3684,2.6344,0.0048,3.3292,0.7004,0.1108,0.4968,0.1872,0.3152,2020.8,0.2772,15333.6,0.048,15300.0,15144.0,15452.0,2.3252,0.4076,3.3748,0.0336,2156.0,5.3228,13923.2,1.3272,15288.0,15148.0,15504.0,1.122,9.0152,3.528,0.7972,0.9192,1.0764
instance_1562,5908.0,31236.0,5488.0,25920.0,0.306,0.8204,0.8468,1.2704,3.3512,0.0,4.0,12.0804,0.026,1.7512,0.006,0.0468,10.288,0.0,0.3708,0.4228,0.026,16.8716,0.0008,2.5112,13.0768,2.1004,0.8652,0.0,4.0,11.1928,0.0012,11.5108,0.0,0.0536,5.6884,0.4844,0.0288,6.0536,0.0008,0.7376,,,,,,,,,,,17.03,0.4108,16.0,20.0,2.2816,6050.0,1.7204,224.0,10300.0,10056.0,2700.0,8084.0,4128.0,6296.0,72.744,0.7184,45.5,96.94,90.128,53.96,81.58,65.264,71.368,2.7948,0.9448,0.0,4.0,3.3328,2.114,3.1996,2.6632,2.9968,1.7712,1.4484,0.034,4.0,2.0,0.4592,1.9996,1.9732,1.9984,34.0272,0.924,273.952,0.4008,272.0,240.0,308.0,3.5352,1.62,3.6812,0.0968,61.292,1.4132,274.1,0.4304,272.0,240.0,312.0,0.9228,4.7616,3.8096,0.1412,1.7468,3.3932
instance_1071,1600.0,6816.0,1560.0,6776.0,0.1024,0.0236,0.9208,1.96,2.3372,0.0,4.0,2.8152,0.0312,0.2568,0.0308,0.0512,0.6556,0.0,0.0,3.8488,0.0312,1.1256,0.014,0.0636,10.6632,0.876,0.6644,0.0,2.8572,13.3668,0.0156,1.6216,0.0024,0.0376,9.4048,2.0308,0.0612,1.1076,0.0236,0.1276,0.0472,0.9224,0.0212,0.1064,11.6532,0.43,0.924,0.1932,0.9696,9.0284,16.0,0.0,16.0,16.0,0.0,15666.4,0.0404,15448.0,15856.0,15856.0,15448.0,15840.0,15480.0,15672.0,95.276,0.2152,85.308,101.968,101.968,85.308,100.264,92.404,96.516,1.5464,2.3508,0.01,3.6372,2.838,0.3428,2.2476,0.784,1.496,0.3392,2.5788,0.0268,1.2368,0.6424,0.1056,0.464,0.164,0.2924,62.624,1.3284,344.472,0.316,344.0,312.0,380.0,3.82,0.8308,3.4168,0.1696,50.544,1.488,344.476,0.3224,344.0,312.0,380.0,1.4836,1.5092,3.366,0.1688,1.32,2.2456
instance_1460,11876.0,75068.0,11472.0,66308.0,0.1408,0.5284,0.692,1.236,3.4808,0.0,4.0,10.3888,0.01,1.5132,0.0028,0.018,8.5476,0.0,0.28,0.3564,0.01,5.2676,0.0004,0.0812,13.8332,2.4,0.6336,0.0,4.0,11.3176,0.0008,9.6852,0.0,0.0156,6.7016,0.5056,0.0116,5.786,0.0004,0.0824,,,,,,,,,,,19.5892,0.2852,16.0,24.0,1.7516,7337.6,0.964,2828.0,8932.0,8812.0,3700.0,8696.0,6780.0,8196.0,68.064,0.4408,47.78,81.94,75.96,60.912,72.236,64.824,68.012,2.9396,0.8196,0.0,4.0,3.4184,2.4272,3.3056,2.666,3.0924,1.7952,1.2976,0.0,3.9996,1.9988,0.6044,1.996,1.906,1.9836,168.384,0.7456,534.16,0.288,532.0,488.0,584.0,2.5392,1.9356,3.5272,0.1164,208.804,0.5696,532.12,0.2864,532.0,484.0,584.0,0.2852,1.9072,3.6064,0.1024,0.9248,1.902
