instance,algorithm_1,algorithm_2,algorithm_3,algorithm_4,algorithm_5
instance_181,35.0,6.0,21.0,1.0,9.0
instance_97,72000.0,101.0,72000.0,2375.0,496.0
instance_106,399.0,43.0,18.0,4.0,4.0
instance_149,139.0,27.0,437.0,163.0,14.0
instance_160,58.0,18.0,72000.0,5.0,2.0
instance_206,5.0,2.0,39.0,1.0,1.0
instance_37,1.0,1.0,72000.0,1.0,1.0
instance_61,693.0,152.0,1392.0,89.0,82.0
instance_92,72000.0,72000.0,72000.0,6.0,23.0
instance_125,2266.0,160.0,560.0,226.0,899.0
instance_11,60.0,46.0,383.0,2.0,1.0
instance_197,148.0,32.0,221.0,22.0,112.0
instance_91,6.0,20.0,49.0,12.0,4.0
instance_129,72000.0,52.0,72000.0,3.0,9.0
instance_14,72000.0,8.0,72000.0,12.0,9.0
instance_141,24.0,2.0,25.0,1.0,2.0
instance_29,373.0,3497.0,72000.0,222.0,97.0
instance_60,72000.0,9.0,3461.0,2.0,18.0
instance_134,368.0,122.0,304.0,105.0,29.0
instance_59,5866.0,7.0,72000.0,9.0,72.0
instance_151,2998.0,260.0,1708.0,401.0,840.0
instance_22,137.0,57.0,72000.0,357.0,184.0
instance_27,2744.0,15.0,2201.0,1.0,2.0
instance_76,197.0,10.0,161.0,10.0,8.0
instance_35,54.0,25.0,201.0,11.0,16.0
instance_65,414.0,38.0,556.0,37.0,28.0
instance_167,3300.0,3927.0,72000.0,1376.0,1117.0
instance_99,445.0,294.0,755.0,215.0,461.0
instance_207,50.0,46.0,72000.0,34.0,53.0
instance_130,72000.0,30.0,481.0,64.0,66.0
instance_162,2344.0,1268.0,6767.0,138.0,62.0
instance_33,30.0,73.0,71.0,18.0,1.0
instance_110,77.0,19.0,127.0,9.0,10.0
instance_140,1100.0,1195.0,1344.0,207.0,426.0
instance_217,296.0,62.0,367.0,447.0,370.0
instance_192,75.0,15.0,61.0,11.0,10.0
instance_122,8.0,2.0,51.0,2.0,1.0
instance_175,72000.0,1.0,2448.0,1.0,134.0
