instance,algorithm_1,algorithm_2,algorithm_3,algorithm_4,algorithm_5,algorithm_6,algorithm_7,algorithm_8,algorithm_9,algorithm_10,algorithm_11,algorithm_12,algorithm_13,algorithm_14,algorithm_15,algorithm_16,algorithm_17,algorithm_18,algorithm_19,algorithm_20
instance_57,112.428,45.97,4.667,66.661,576.957,11.771,1.746,0.979,63.574,6.94,6.828,0.34,0.176,12000.0,11.582,6.4750000000000005,42.975,21.365000000000002,59.358000000000004,795.523
instance_85,12000.0,12000.0,12000.0,12000.0,12000.0,12000.0,12000.0,12000.0,12000.0,12000.0,12000.0,12000.0,12000.0,12000.0,12000.0,12000.0,12000.0,12000.0,12000.0,12000.0
instance_22,12000.0,12000.0,69.41,12000.0,12000.0,186.373,56.752,4.003,12000.0,12000.0,255.24800000000002,37.86,5.662,12000.0,12000.0,223.42600000000002,12000.0,12000.0,12000.0,12000.0
instance_38,12000.0,12000.0,12000.0,12000.0,12000.0,27.663,12000.0,13.254,12000.0,12000.0,25.061,12000.0,12000.0,12000.0,12000.0,12000.0,12000.0,12000.0,12000.0,12000.0
instance_76,12000.0,12000.0,12000.0,12000.0,12000.0,12000.0,12000.0,12000.0,12000.0,12000.0,12000.0,12000.0,12000.0,12000.0,12000.0,12000.0,12000.0,12000.0,12000.0,12000.0
instance_33,26.164,4.7250000000000005,10.438,45.27,67.361,75.922,8.026,1.715,71.495,194.769,209.18800000000002,0.272,3.152,12000.0,1.6,6.678,25.516000000000002,12.112,45.339,12000.0
instance_46,12000.0,1088.674,4.766,0.397,12000.0,0.047,0.052000000000000005,0.054,0.053,12000.0,0.044,0.045,825.1610000000001,12000.0,12000.0,12000.0,12000.0,12000.0,12000.0,0.042
instance_95,12000.0,12000.0,64.57000000000001,12000.0,12000.0,7.805000000000001,12000.0,0.525,12000.0,12000.0,48.756,12000.0,12000.0,12000.0,12000.0,12000.0,12000.0,12000.0,12000.0,12000.0
instance_62,930.6990000000001,0.264,1.442,480.26800000000003,12000.0,3.856,1.436,0.08600000000000001,3.891,12000.0,1.692,0.101,0.099,6.164,0.126,0.23600000000000002,79.08,5.523,74.239,441.308
instance_4,12000.0,3.6670000000000003,10.318,12000.0,12000.0,0.433,13.861,0.065,2.203,115.427,0.505,2.0020000000000002,0.319,12000.0,12000.0,12000.0,12000.0,12000.0,12000.0,2.104
instance_68,12000.0,12000.0,12000.0,12000.0,12000.0,120.267,12000.0,0.491,12000.0,12000.0,12000.0,12000.0,12000.0,12000.0,12000.0,12000.0,12000.0,12000.0,12000.0,12000.0
instance_79,12000.0,0.489,14.337,12000.0,12000.0,4.453,233.689,6.586,25.018,840.0690000000001,3.636,15.085,51.884,12000.0,12000.0,389.457,12000.0,12000.0,12000.0,50.669000000000004
instance_9,19.267,12000.0,12000.0,39.376,12000.0,12000.0,23.036,1.316,12000.0,12000.0,12000.0,3.607,0.847,12000.0,12000.0,12000.0,12000.0,12000.0,29.891000000000002,12000.0
instance_75,97.11500000000001,12000.0,103.736,195.774,12000.0,12.396,305.36400000000003,12000.0,14.398,12000.0,26.624000000000002,64.857,153.639,12000.0,12000.0,12000.0,96.244,77.58,170.286,53.591
instance_41,937.727,0.6940000000000001,18.154,12000.0,12000.0,1.129,1.561,0.227,15.627,69.287,1.327,0.603,0.20500000000000002,6.162,3.2760000000000002,2.719,423.974,1000.328,12000.0,12.402000000000001
instance_29,12000.0,254.38500000000002,109.011,12000.0,12000.0,12000.0,161.141,4.3260000000000005,12000.0,12000.0,723.1320000000001,7.165,18.959,12000.0,12000.0,335.363,12000.0,12000.0,12000.0,12000.0
instance_96,43.035000000000004,495.094,0.587,45.783,68.057,0.073,0.124,0.154,0.083,57.619,0.07,0.157,0.225,12000.0,22.785,0.361,57.935,31.406000000000002,58.444,0.075
instance_81,40.695,12000.0,4.766,307.232,12000.0,12000.0,1060.002,22.776,12000.0,1087.199,12000.0,22.886,55.929,19.985,12000.0,315.724,183.601,58.592,160.939,12000.0
instance_2,461.536,0.41600000000000004,10.8,12000.0,520.155,0.529,19.908,0.068,1.351,13.769,0.9480000000000001,0.316,0.28800000000000003,200.979,110.25,754.929,930.361,12000.0,12000.0,12.76
