instance,algorithm_1,algorithm_2,algorithm_3,algorithm_4,algorithm_5,algorithm_6,algorithm_7,algorithm_8
instance_398,356.76,2976.64,297.88,176.32,386.08,3569.48,680.04,218.56
instance_540,888.96,1314.2,1905.36,269.32,1171.32,2727.2,2.36,729.24
instance_405,30.64,521.44,29.8,88.96,51.56,630.92,270.48,25.24
instance_1121,28800.0,28800.0,28800.0,28800.0,28800.0,28800.0,21855.04,28800.0
instance_1027,80.72,28800.0,83.64,28800.0,56.44,28800.0,28800.0,49.48
instance_705,274.72,28800.0,291.8,28800.0,235.16,28800.0,28800.0,253.32
instance_803,352.2,28800.0,367.52,28800.0,354.32,28800.0,28800.0,329.88
instance_225,405.52,28800.0,740.6,577.56,607.72,28800.0,7728.8,299.52
instance_722,10442.72,548.64,4367.28,93.72,4843.84,559.6,1240.92,9359.52
instance_675,33.28,112.24,57.64,51.92,43.4,107.92,5.12,29.8
instance_933,297.8,3316.12,1842.56,1418.56,3335.88,3330.48,358.56,277.68
instance_286,13.36,28800.0,11.92,28800.0,25.72,28800.0,389.76,7.6
instance_1124,14.0,28800.0,13.28,40.72,10.0,28800.0,6.84,10.76
instance_543,28800.0,622.72,28800.0,100.88,28800.0,1093.36,582.04,28800.0
instance_48,749.68,28800.0,2484.0,2063.6,1713.68,28800.0,2557.16,586.12
instance_560,2.56,39.8,1.52,103.68,4.24,38.48,2.08,1.6
instance_78,87.6,28800.0,111.24,28800.0,122.36,28800.0,28800.0,98.44
instance_515,0.04,28800.0,0.0,16.4,0.08,28800.0,1.0,0.08
instance_231,23248.76,28800.0,6893.16,1089.72,11084.4,28800.0,28800.0,12911.8
instance_89,189.6,271.0,299.2,1775.52,296.44,415.08,269.52,196.52
instance_324,5.4,8.2,1.0,239.16,13.6,21.24,3.56,2.24
instance_326,9.04,16.0,1.44,374.64,13.96,26.16,4.08,3.44
instance_941,7601.32,28800.0,3136.44,28800.0,3447.0,28800.0,28800.0,7681.88
instance_342,28800.0,294.08,28800.0,1190.68,28800.0,402.96,9295.4,28800.0
instance_427,309.24,28800.0,812.88,28800.0,769.48,28800.0,28800.0,254.32
instance_256,28800.0,26.96,28800.0,222.52,28800.0,47.04,553.4,28800.0
instance_421,13.2,1.04,48.0,5.2,42.56,0.92,1.48,34.36
instance_552,7705.12,28800.0,8190.2,7054.2,9665.2,28800.0,28800.0,6293.48
instance_535,178.76,1122.72,28.24,5869.92,99.04,2049.2,1.92,176.76
instance_1007,20.28,28800.0,33.36,994.2,39.4,28800.0,3344.64,12.04
instance_667,23912.28,28800.0,16964.24,294.08,15184.88,28800.0,23815.84,20832.4
instance_932,636.08,28800.0,511.88,190.68,498.76,28800.0,15.68,650.96
instance_296,44.56,28800.0,42.24,28800.0,63.76,28800.0,21636.76,25.56
instance_931,59.48,28800.0,107.48,3138.44,131.32,28800.0,287.8,71.28
instance_146,412.08,28800.0,287.68,28800.0,310.04,28800.0,28800.0,316.2
instance_1115,94.84,28800.0,15.6,28800.0,30.44,28800.0,149.48,254.96
instance_388,37.08,1798.52,25.44,2560.48,42.08,2189.16,352.48,28.56
instance_125,28800.0,23740.52,28800.0,6560.24,28800.0,28800.0,28800.0,28800.0
instance_303,172.36,28800.0,50.4,28800.0,94.04,28800.0,17721.64,73.52
instance_885,1890.64,28800.0,1497.88,28800.0,1435.24,28800.0,28800.0,1764.68
instance_1112,754.6,28800.0,8.12,28800.0,6.56,28800.0,15.6,1842.44
instance_1114,35.12,28800.0,9.68,268.64,20.48,28800.0,74.48,74.36
instance_397,388.48,2714.68,206.04,785.36,429.96,3206.6,621.28,211.32
instance_165,1348.84,1933.92,245.08,16736.08,310.92,2418.64,289.0,1363.92
instance_563,38.8,31.4,31.56,112.4,42.96,30.56,14.56,21.2
instance_1108,17.76,28800.0,1.36,179.48,2.52,28800.0,7.56,8.8
instance_377,52.24,1251.48,39.72,78.0,47.24,1376.64,327.12,30.0
instance_843,12.04,19.68,6.16,2764.92,8.2,18.76,3.48,4.96
instance_733,0.96,28800.0,0.08,6.96,0.56,28800.0,0.84,0.6
instance_572,28800.0,284.8,28800.0,507.84,28800.0,287.92,503.4,28800.0
instance_246,462.64,2.32,139.32,27.12,147.64,5.48,11.84,176.2
instance_1004,1140.12,28800.0,1000.68,28800.0,932.88,28800.0,13395.36,1084.84
instance_1017,223.92,28800.0,256.04,28800.0,469.8,28800.0,28800.0,132.36
instance_1077,19.8,0.2,34.32,4.48,44.8,0.2,0.92,20.64
instance_100,615.36,9.76,556.64,84.4,557.48,17.32,289.0,632.84
instance_179,734.24,28800.0,336.24,28800.0,463.6,28800.0,28759.36,614.84
instance_764,263.52,28800.0,361.04,28800.0,361.8,28800.0,28800.0,214.04
instance_569,16370.04,47.04,7351.96,163.0,7472.88,46.12,111.12,17379.4
instance_691,87.2,28800.0,199.0,28800.0,230.6,28800.0,23811.6,101.6
instance_312,28800.0,28800.0,2070.44,28800.0,2022.72,28800.0,28800.0,9705.0
instance_492,28800.0,96.2,28800.0,14817.16,28800.0,105.6,514.72,28800.0
instance_983,113.44,28800.0,70.68,129.2,66.56,28800.0,57.84,68.84
instance_825,73.0,28800.0,58.6,3374.28,78.56,28800.0,1430.96,79.64
instance_375,21.36,456.28,16.6,63.2,24.04,538.4,270.48,13.2
instance_1052,307.8,52.48,350.36,65.04,411.4,47.32,16.76,253.2
instance_242,47.76,0.28,64.76,13.88,204.6,2.56,3.6,44.92
instance_42,19.52,28800.0,9.36,70.96,20.24,28800.0,1457.96,12.68
instance_110,3.24,645.64,1.92,76.72,3.24,1138.24,11.32,2.28
instance_799,444.44,28800.0,696.04,28800.0,1419.88,28800.0,7714.4,382.64
instance_339,208.52,1.24,238.0,167.32,261.28,10.24,4.4,186.76
instance_1126,28.2,28800.0,4.44,11.76,12.4,28800.0,87.16,13.24
instance_786,61.36,28800.0,74.28,1355.6,133.8,28800.0,145.36,28.92
instance_767,302.96,28800.0,206.64,28800.0,588.76,28800.0,28800.0,194.2
instance_15,44.28,28800.0,12.32,28800.0,36.36,28800.0,28800.0,21.4
instance_20,7118.24,28800.0,3013.68,28800.0,3658.96,28800.0,28800.0,4310.76
instance_978,7411.4,28800.0,3748.36,28800.0,3814.8,28800.0,28800.0,16421.68
instance_694,63.32,28800.0,80.2,8299.4,105.68,28800.0,1127.04,111.48
instance_835,2083.84,2094.08,2774.8,148.84,2576.8,2263.0,2831.36,2752.44
instance_1174,28800.0,9.2,28800.0,56.2,28800.0,9.12,34.16,28800.0
instance_1136,96.8,28800.0,30.8,28800.0,67.36,28800.0,465.56,304.44
instance_553,28800.0,28800.0,28800.0,28800.0,28800.0,28800.0,3177.16,28800.0
instance_77,69.52,28800.0,103.88,28800.0,124.76,28800.0,28800.0,53.28
instance_830,4848.64,38.72,4271.08,221.12,5473.92,37.76,32.96,8317.24
instance_897,48.76,28800.0,43.48,28800.0,65.12,28800.0,8135.88,45.8
instance_31,45.72,28800.0,23.12,93.48,32.88,28800.0,2949.64,20.2
instance_265,9.72,768.8,10.4,22.92,23.24,2576.76,4.0,7.0
instance_840,24886.16,27.76,28800.0,69.2,28800.0,27.28,86.96,17752.68
instance_913,49.56,28800.0,75.28,74.48,99.84,28800.0,11.88,44.48
instance_502,28800.0,2.0,28800.0,490.88,28800.0,1.96,31.84,28800.0
instance_823,29.0,24.12,15.16,53.56,32.56,22.6,3.72,19.8
instance_844,63.48,28800.0,136.0,28800.0,152.08,28800.0,28800.0,143.48
instance_137,203.92,28800.0,86.4,28800.0,215.72,28800.0,28800.0,127.92
instance_791,17.12,28800.0,73.36,2752.48,72.16,28800.0,3338.64,7.92
instance_989,55.16,28800.0,85.32,28800.0,56.48,28800.0,3934.4,56.56
instance_979,80.4,28800.0,110.4,28800.0,129.56,28800.0,21609.04,86.08
instance_765,11637.0,28800.0,8321.84,28800.0,10400.36,28800.0,28800.0,8443.04
instance_457,20244.4,10492.36,7135.96,2393.28,13857.88,28800.0,28800.0,13395.4
instance_11,76.16,28800.0,30.04,28800.0,59.2,28800.0,28800.0,58.32
instance_506,18.4,28800.0,7.44,28800.0,8.64,28800.0,48.12,11.84
instance_926,1215.84,28800.0,646.6,28800.0,885.08,28800.0,28800.0,916.04
instance_922,2368.24,149.84,13493.84,129.68,10210.96,150.16,134.44,1742.12
instance_518,0.08,28800.0,0.08,19.12,0.08,28800.0,1.04,0.08
instance_732,32.16,2597.32,3.76,80.24,12.12,2646.56,218.8,16.28
instance_920,2458.48,28800.0,1457.04,28800.0,1683.72,28800.0,28800.0,2568.6
instance_307,994.2,28800.0,360.56,28800.0,342.68,28800.0,28800.0,558.32
instance_217,8386.04,28800.0,5118.52,409.48,4943.76,28800.0,343.16,10264.08
instance_729,49.16,28800.0,47.6,28800.0,78.44,28800.0,8410.6,29.6
instance_687,61.16,526.36,189.44,141.44,170.8,442.56,12.6,61.28
instance_1094,3925.84,28800.0,667.2,28800.0,612.12,28800.0,36.08,5923.2
instance_623,0.4,28800.0,0.12,28.8,0.32,28800.0,1.84,0.2
instance_891,632.88,28800.0,431.8,28800.0,683.6,28800.0,19853.52,601.2
instance_747,180.76,28800.0,289.6,28800.0,325.6,28800.0,28800.0,152.4
instance_968,35.6,8.4,67.88,13.84,69.28,8.6,3.8,40.68
instance_251,28800.0,3.36,28800.0,50.48,28800.0,9.08,27.4,28800.0
instance_738,664.8,95.08,574.48,66.28,700.8,91.44,19.28,728.16
instance_834,38.76,25.08,21.76,253.96,34.88,24.4,1.28,29.28
instance_796,9.32,28800.0,0.8,142.96,4.32,28800.0,17132.12,3.88
instance_1009,1.64,30.88,0.24,411.52,1.84,29.36,0.96,0.88
instance_1130,1167.88,28800.0,11.48,28800.0,31.48,28800.0,146.08,1396.0
instance_586,178.16,28800.0,433.56,28800.0,786.88,28800.0,28800.0,163.56
instance_798,28800.0,23760.84,28800.0,13474.12,28800.0,23274.6,28800.0,28800.0
instance_1073,8126.76,5.28,9813.68,75.2,10662.56,28800.0,501.16,7485.12
instance_189,3060.0,28800.0,3776.72,28800.0,3832.04,28800.0,28800.0,3433.36
instance_833,5556.8,28800.0,12824.0,9308.8,6665.12,28800.0,1366.16,4843.88
instance_139,3271.56,28800.0,250.04,28800.0,286.88,28800.0,28800.0,2520.6
instance_852,36.64,28800.0,32.68,748.48,41.4,28800.0,409.24,43.44
instance_528,253.6,1120.08,84.96,6044.72,91.68,2232.8,1.8,87.52
instance_886,93.2,28800.0,127.6,28800.0,177.96,28800.0,28800.0,84.04
instance_220,28800.0,28800.0,28800.0,3568.08,28800.0,28800.0,28800.0,28800.0
instance_1129,16.72,28800.0,9.84,46.96,18.24,28800.0,7.4,139.12
instance_111,1.76,68.12,1.44,32.48,3.88,129.0,3.76,1.84
instance_175,292.32,474.8,292.88,76.16,313.12,482.44,591.12,412.36
instance_892,24.4,28800.0,11.28,28800.0,31.48,28800.0,28800.0,19.68
instance_92,69.16,126.96,93.88,34.76,88.52,189.64,323.28,85.16
instance_203,25.12,2533.56,14.4,185.88,14.48,2948.12,233.16,19.32
instance_1155,9.12,28800.0,6.2,28800.0,8.64,28800.0,26.36,6.48
instance_893,20.56,28800.0,79.0,1891.8,85.92,28800.0,441.72,18.08
instance_810,1385.24,1296.36,4158.16,1330.8,4144.48,1339.6,160.32,1595.84
instance_91,12.32,65.72,13.32,58.32,22.4,96.04,274.08,13.76
instance_320,28800.0,4.6,28800.0,44.88,28800.0,5.2,18.6,28800.0
instance_439,0.96,836.32,0.44,6.64,0.72,28800.0,1.0,0.88
instance_754,18.84,28800.0,44.8,3058.12,80.56,28800.0,4049.0,13.32
instance_782,210.84,28800.0,376.28,1402.44,415.84,28800.0,6495.88,185.32
instance_924,4.08,28800.0,2.92,342.48,12.0,28800.0,105.6,5.0
instance_109,1.6,697.68,0.2,30.44,2.0,959.52,4.32,1.04
instance_857,415.72,28800.0,538.92,2412.08,573.32,28800.0,7660.04,516.4
instance_293,14.32,28800.0,4.76,28800.0,30.0,28800.0,284.16,9.32
instance_598,28800.0,28800.0,28800.0,10959.76,28800.0,28800.0,28800.0,28800.0
instance_290,20.24,28800.0,46.84,28800.0,43.52,28800.0,124.56,14.04
instance_639,12136.76,28800.0,10504.8,28800.0,10963.08,28800.0,28800.0,12782.04
instance_1040,42.88,28800.0,39.76,384.2,48.56,28800.0,848.84,17.92
instance_668,361.2,28800.0,611.44,28800.0,580.32,28800.0,28800.0,469.08
instance_132,28800.0,28800.0,23377.08,28800.0,28800.0,28800.0,28800.0,28800.0
instance_382,28800.0,2738.8,28800.0,601.2,28800.0,3061.4,1658.24,28800.0
instance_467,5.6,28800.0,4.84,458.6,7.84,28800.0,131.64,4.6
instance_49,1138.0,28800.0,2440.76,2227.4,2794.6,28800.0,5562.2,847.92
instance_986,185.24,2903.84,279.2,8631.52,311.92,3149.44,299.36,203.72
instance_816,233.52,28800.0,332.88,979.84,398.2,28800.0,543.08,172.68
instance_493,28800.0,163.92,28800.0,19457.32,28800.0,176.32,807.6,28800.0
instance_1170,493.8,0.32,429.56,5.76,419.96,0.32,1.16,603.64
instance_878,67.2,28800.0,151.2,28800.0,171.48,28800.0,28800.0,92.92
instance_564,41.48,33.92,56.12,124.0,83.96,34.12,35.84,32.64
instance_55,11212.68,28800.0,3492.28,957.12,4016.88,28800.0,28800.0,10220.48
instance_1065,1500.4,28800.0,1396.76,28800.0,1321.72,28800.0,28800.0,1642.28
instance_34,47.96,28800.0,17.84,26.08,44.32,28800.0,28800.0,31.68
instance_347,2.8,109.36,1.72,55.2,3.12,157.0,2.24,2.04
instance_856,69.76,28800.0,172.04,28800.0,97.0,28800.0,383.32,57.48
instance_147,1943.48,28800.0,3363.48,28800.0,1989.76,28800.0,28800.0,1175.44
instance_574,9.72,33.08,9.64,140.92,19.76,32.12,5.04,6.12
instance_613,3.6,28800.0,2.24,4.32,5.16,28800.0,1.08,7.76
instance_982,157.64,28800.0,35.24,28800.0,177.4,28800.0,28800.0,142.68
instance_847,20.72,28800.0,2.24,28800.0,13.76,28800.0,28800.0,7.76
instance_884,14608.76,28800.0,9214.28,28800.0,11136.8,28800.0,28800.0,5356.72
instance_36,982.64,28800.0,834.4,345.28,1292.04,28800.0,28800.0,395.36
instance_956,676.68,28800.0,716.92,28800.0,1194.28,28800.0,28800.0,673.48
instance_544,28800.0,2701.84,28800.0,14942.2,28800.0,5975.4,2674.52,28800.0
instance_731,117.32,11.72,165.12,31.6,201.56,12.96,34.56,129.92
instance_1068,20.2,28800.0,19.68,28800.0,23.36,28800.0,23.56,16.0
instance_665,76.4,28800.0,45.36,116.96,82.68,28800.0,271.04,70.24
instance_719,1155.72,28800.0,1743.12,28800.0,3014.44,28800.0,28800.0,605.56
instance_157,4.56,129.72,0.28,63.8,0.92,156.16,3.96,3.72
instance_579,11.24,28800.0,3.08,28800.0,6.0,28800.0,18.84,9.4
instance_533,149.6,1046.8,35.36,1497.72,86.24,1860.04,1.84,78.76
instance_1127,21.04,28800.0,8.04,1846.04,10.92,28800.0,100.68,21.8
instance_1058,28800.0,27.32,8585.8,196.6,9269.2,34.48,35.68,28800.0
instance_1116,474.32,28800.0,34.24,28800.0,201.84,28800.0,206.28,301.12
instance_136,173.32,28800.0,93.88,28800.0,220.28,28800.0,28800.0,108.36
instance_683,273.08,3017.0,291.84,6291.76,226.36,3456.84,376.28,159.0
instance_1042,158.44,34.52,224.96,52.56,213.92,32.32,256.96,168.44
instance_184,110.76,28800.0,220.4,28800.0,211.56,28800.0,367.24,57.16
instance_423,30.84,0.04,20.24,4.2,16.6,0.08,0.96,14.56
instance_181,2147.96,28800.0,2122.56,28800.0,1873.28,28800.0,28800.0,2466.44
instance_536,432.28,1308.28,601.52,21.6,515.04,3059.64,2.12,382.8
instance_394,79.28,2437.44,49.88,1814.68,91.64,2781.4,386.16,62.32
instance_436,953.84,1.28,2106.4,13.8,2088.6,1.96,4.4,1013.6
instance_244,110.0,0.88,157.8,16.24,111.0,3.12,6.4,106.2
instance_712,128.72,28800.0,209.64,9818.96,204.48,28800.0,1044.2,70.16
instance_490,28800.0,4.84,28800.0,751.12,28800.0,5.12,45.04,28800.0
instance_832,20.28,818.56,65.44,173.12,43.92,680.64,53.6,19.44
instance_554,5040.4,2071.56,4630.28,152.68,4723.68,28800.0,468.36,6465.28
instance_644,38.4,28800.0,63.48,28800.0,50.4,28800.0,4161.84,54.16
instance_583,20.92,28800.0,6.88,28800.0,39.32,28800.0,523.12,5.68
instance_1039,582.88,28800.0,379.64,10978.6,338.32,28800.0,334.08,374.96
instance_406,44.48,1262.24,27.68,68.92,42.24,1589.72,296.12,24.4
