instance,algorithm_1,algorithm_2,algorithm_3,algorithm_4,algorithm_5,algorithm_6,algorithm_7,algorithm_8,algorithm_9,algorithm_10,algorithm_11,algorithm_12,algorithm_13,algorithm_14,algorithm_15,algorithm_16,algorithm_17,algorithm_18,algorithm_19
instance_42,18000.0,187.56,18000.0,18000.0,192.4,84.86,232.19,18000.0,18000.0,788.08,1221.24,18000.0,170.99,18000.0,18000.0,18000.0,301.3,1292.21,102.77
instance_250,18000.0,68.39,18000.0,18000.0,54.32,46.55,35.0,18000.0,18000.0,352.19,18000.0,18000.0,5.03,11.6,18000.0,214.37,23.18,381.69,16.52
instance_125,18000.0,4.2,18000.0,18000.0,2.83,1.27,0.83,18000.0,18000.0,1.45,4.67,18000.0,1.49,0.48,18000.0,24.64,0.74,1.56,0.46
instance_422,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0
instance_198,18000.0,19.98,18000.0,18000.0,16.18,4.54,12.87,3.35,18000.0,5.5,115.82,18000.0,1.77,0.57,18000.0,1.84,0.65,6.02,2.1
instance_180,34.94,0.58,18000.0,35.33,0.62,0.39,0.25,0.59,18000.0,0.28,1.43,15.3,0.23,0.27,15.78,0.94,0.28,0.24,0.12
instance_37,18000.0,45.47,18000.0,18000.0,44.26,50.41,20.37,620.83,18000.0,44.18,130.43,18000.0,61.49,35.57,18000.0,49.97,54.0,41.66,27.98
instance_308,18000.0,795.94,18000.0,18000.0,18000.0,18000.0,18000.0,614.74,18000.0,18000.0,1661.84,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0
instance_429,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,0.26,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,0.69,18000.0,18000.0,18000.0
instance_361,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,1434.38,18000.0,18000.0,1757.37,18000.0,18000.0,18000.0,18000.0,18000.0
instance_315,18000.0,37.27,18000.0,18000.0,20.58,25.64,24.66,68.92,18000.0,33.66,43.41,18000.0,24.37,20.91,18000.0,46.57,21.08,27.54,16.46
instance_149,18000.0,28.12,18000.0,18000.0,23.95,80.09,43.72,13.19,18000.0,54.17,204.03,18000.0,18.13,8.17,18000.0,25.55,16.54,92.58,50.01
instance_50,18000.0,96.33,18000.0,18000.0,126.4,147.67,78.15,18000.0,18000.0,274.83,554.98,18000.0,60.59,525.6,18000.0,211.68,203.86,139.35,654.51
instance_254,18000.0,5.42,18000.0,18000.0,7.51,3.84,4.02,710.85,18000.0,118.45,18000.0,18000.0,1.09,2.6,18000.0,57.21,5.06,150.7,1.72
instance_294,18000.0,3.72,18000.0,18000.0,3.82,0.3,0.2,0.85,18000.0,0.3,1.04,18000.0,0.29,0.22,18000.0,0.48,0.23,0.41,0.26
instance_157,18000.0,69.03,18000.0,18000.0,115.61,25.76,541.37,44.72,18000.0,71.69,167.25,1211.07,32.37,61.32,1627.28,113.06,48.3,54.87,40.68
instance_484,18000.0,4.62,18000.0,18000.0,9.66,18000.0,18000.0,347.11,18000.0,18000.0,18000.0,39.65,18000.0,13.88,38.77,55.7,17.61,18000.0,1452.58
instance_402,18000.0,2.39,18000.0,18000.0,2.2,0.21,0.11,3.81,18000.0,0.19,1.55,18000.0,0.19,0.24,18000.0,1.3,0.3,0.19,0.19
instance_357,18000.0,548.89,18000.0,18000.0,514.72,853.81,549.32,679.66,18000.0,554.6,136.64,18000.0,934.44,132.48,18000.0,145.5,139.28,679.67,560.52
instance_96,18000.0,10.65,18000.0,18000.0,8.43,6.28,11.33,171.91,18000.0,21.9,13.31,18000.0,2.85,1.85,18000.0,22.39,2.27,17.24,8.12
instance_176,18000.0,4.27,18000.0,18000.0,3.72,4.47,9.34,3.72,18000.0,8.69,21.59,18000.0,1.83,2.59,18000.0,2.56,5.03,6.22,3.35
instance_535,18000.0,23.53,18000.0,18000.0,6.03,4.01,2.37,18000.0,18000.0,5.19,19.32,18000.0,1.52,5.7,18000.0,18000.0,26.19,3.45,4.48
instance_148,359.55,1.45,18000.0,361.92,1.1,1.34,1.4,1.06,18000.0,1.04,4.06,18000.0,0.33,0.58,18000.0,3.62,1.04,1.23,1.04
instance_477,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0
instance_447,17.85,28.69,7.71,17.49,153.44,39.64,7.42,2.3,7.49,104.18,230.36,26.77,114.38,34.56,27.38,0.27,18.34,76.46,51.05
instance_397,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0
instance_506,674.0,0.89,18000.0,667.12,0.74,0.51,0.26,7.35,18000.0,0.48,1.03,18000.0,0.4,0.3,18000.0,0.72,0.26,0.38,0.25
instance_48,18000.0,27.58,18000.0,18000.0,29.95,32.17,9.3,18000.0,18000.0,12.19,42.9,18000.0,25.61,19.64,18000.0,119.57,64.62,12.24,13.08
instance_199,18000.0,14.61,18000.0,18000.0,11.15,4.95,7.35,8.74,18000.0,4.27,96.21,870.14,1.59,0.61,1068.64,5.83,0.73,3.64,1.4
instance_540,18000.0,0.32,18000.0,18000.0,0.28,0.33,0.05,0.55,18000.0,49.94,87.77,18000.0,0.05,0.07,18000.0,23.64,0.05,41.37,0.07
instance_212,18000.0,37.48,18000.0,18000.0,47.67,3.44,38.36,1.56,18000.0,2.41,32.03,585.21,1.47,0.36,608.7,0.98,0.4,2.65,2.9
instance_103,18000.0,57.24,18000.0,18000.0,180.68,7.88,238.09,433.73,18000.0,400.73,1506.2,18000.0,159.73,15.65,18000.0,31.47,45.71,439.88,23.41
instance_565,18000.0,252.96,18000.0,18000.0,502.2,19.35,505.56,1273.45,18000.0,94.45,1209.97,18000.0,28.91,184.69,18000.0,1011.31,458.77,68.24,80.19
instance_360,18000.0,99.01,18000.0,18000.0,67.73,105.98,62.84,46.64,18000.0,102.83,28.79,18000.0,102.62,9.21,18000.0,12.47,9.26,75.94,76.11
instance_562,18000.0,18000.0,18000.0,18000.0,18000.0,425.22,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,336.68,419.45,18000.0,18000.0,606.45,18000.0,593.23
instance_72,18000.0,6.33,18000.0,18000.0,5.64,1.05,3.62,16.05,18000.0,33.04,516.78,18000.0,2.67,0.69,18000.0,3.53,1.09,33.95,1.6
instance_351,18000.0,444.07,18000.0,18000.0,388.8,557.07,496.63,215.54,18000.0,640.84,150.32,18000.0,541.43,98.1,18000.0,51.89,94.96,219.55,413.72
instance_344,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0
instance_305,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0
instance_438,0.09,0.0,0.35,0.09,0.0,0.0,0.0,0.01,0.3,0.01,0.01,0.02,0.0,0.0,0.01,0.01,0.0,0.01,0.0
instance_295,18000.0,18000.0,18000.0,18000.0,391.87,1448.38,278.92,377.09,18000.0,610.08,1332.05,18000.0,1434.62,1774.91,18000.0,594.04,1590.6,18000.0,245.04
instance_378,18000.0,5.96,18000.0,18000.0,5.57,0.49,0.75,8.77,18000.0,1.09,6.21,18000.0,0.68,1.12,18000.0,6.68,0.81,1.32,0.93
