instance,algorithm_1,algorithm_2,algorithm_3,algorithm_4,algorithm_5,algorithm_6,algorithm_7,algorithm_8,algorithm_9,algorithm_10,algorithm_11,algorithm_12,algorithm_13,algorithm_14,algorithm_15,algorithm_16,algorithm_17,algorithm_18,algorithm_19
instance_429,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,0.26,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,0.69,18000.0,18000.0,18000.0
instance_387,18000.0,949.92,18000.0,18000.0,198.34,81.87,482.09,18000.0,18000.0,110.02,605.03,18000.0,118.65,18000.0,18000.0,18000.0,148.37,102.83,701.76
instance_242,18000.0,137.34,18000.0,18000.0,144.27,44.52,98.69,18000.0,18000.0,58.42,476.5,18000.0,32.37,214.98,18000.0,18000.0,98.86,46.98,58.4
instance_362,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0
instance_405,18000.0,2.73,18000.0,18000.0,3.04,0.3,0.31,12.53,18000.0,1.0,2.34,18000.0,0.39,0.62,18000.0,2.79,0.47,0.65,0.43
instance_531,18000.0,37.72,18000.0,18000.0,12.75,1.23,1.34,4.82,18000.0,18000.0,18000.0,18000.0,1.08,2.06,18000.0,65.01,1.01,18000.0,2.54
instance_431,64.39,976.54,64.34,63.07,1689.46,344.58,281.46,0.44,62.8,18000.0,18000.0,30.59,18000.0,18000.0,26.84,3.23,18000.0,18000.0,1241.85
instance_370,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,1777.17,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,1263.66
instance_47,18000.0,110.66,18000.0,18000.0,130.62,134.23,209.06,18000.0,18000.0,194.03,346.26,18000.0,65.64,18000.0,18000.0,1001.12,417.92,240.37,175.14
instance_558,18000.0,72.93,18000.0,18000.0,78.99,200.57,27.16,585.44,18000.0,215.12,18000.0,18000.0,15.79,35.0,18000.0,564.54,51.89,143.63,43.69
instance_367,18000.0,0.99,18000.0,18000.0,0.81,0.49,0.21,16.21,18000.0,0.23,0.69,18000.0,0.24,0.24,18000.0,4.05,0.24,0.26,0.2
instance_392,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,1199.78
instance_427,18000.0,5.88,18000.0,18000.0,18000.0,8.85,18000.0,3.72,18000.0,18000.0,18000.0,18000.0,2.27,1.0,18000.0,16.78,1.43,18000.0,4.75
instance_565,18000.0,252.96,18000.0,18000.0,502.2,19.35,505.56,1273.45,18000.0,94.45,1209.97,18000.0,28.91,184.69,18000.0,1011.31,458.77,68.24,80.19
instance_102,18000.0,491.37,18000.0,18000.0,377.57,332.8,717.57,18000.0,18000.0,563.52,306.08,18000.0,629.88,503.06,18000.0,319.31,283.54,319.27,318.26
instance_528,18000.0,110.14,18000.0,18000.0,4.99,3.54,1.64,18000.0,18000.0,4.22,42.74,18000.0,0.5,30.85,18000.0,171.83,40.54,2.67,0.55
instance_327,18000.0,1345.95,18000.0,18000.0,1184.71,1637.71,931.61,984.09,18000.0,1458.18,1001.36,18000.0,1627.96,197.36,18000.0,153.51,200.22,1121.63,822.46
instance_315,18000.0,37.27,18000.0,18000.0,20.58,25.64,24.66,68.92,18000.0,33.66,43.41,18000.0,24.37,20.91,18000.0,46.57,21.08,27.54,16.46
instance_300,18000.0,19.72,18000.0,18000.0,18.93,1.1,0.61,24.22,18000.0,0.57,15.04,18000.0,1.07,2.86,18000.0,8.76,3.15,0.6,0.87
instance_557,18000.0,51.54,663.53,18000.0,33.66,89.55,60.19,18000.0,18000.0,205.01,18000.0,18000.0,81.33,91.12,18000.0,144.07,92.64,1.69,38.25
instance_146,18000.0,16.21,18000.0,18000.0,14.81,55.99,63.19,24.06,18000.0,57.86,153.2,18000.0,8.54,21.7,18000.0,37.38,46.82,58.28,301.97
instance_288,18000.0,121.12,18000.0,18000.0,60.7,91.33,98.09,18000.0,18000.0,18000.0,18000.0,18000.0,325.21,18000.0,18000.0,1625.09,78.23,18000.0,201.47
instance_218,18000.0,79.07,18000.0,18000.0,82.94,7.04,77.59,4.36,18000.0,14.35,71.94,18000.0,2.94,1.14,18000.0,1.59,1.16,11.47,5.42
instance_32,18000.0,51.41,18000.0,18000.0,49.76,42.34,23.76,425.65,18000.0,35.78,88.72,18000.0,51.09,20.41,18000.0,49.2,67.11,32.22,29.98
instance_25,18000.0,83.18,18000.0,18000.0,81.75,161.13,42.03,741.13,18000.0,54.38,128.2,18000.0,93.87,83.76,18000.0,234.91,128.26,73.44,58.89
instance_145,122.38,0.87,18000.0,127.32,0.82,0.85,0.59,0.96,18000.0,0.48,2.11,19.61,0.45,0.4,25.22,1.3,0.56,1.0,1.11
instance_295,18000.0,18000.0,18000.0,18000.0,391.87,1448.38,278.92,377.09,18000.0,610.08,1332.05,18000.0,1434.62,1774.91,18000.0,594.04,1590.6,18000.0,245.04
