instance,algorithm_1,algorithm_2,algorithm_3,algorithm_4,algorithm_5,algorithm_6,algorithm_7,algorithm_8,algorithm_9,algorithm_10,algorithm_11,algorithm_12,algorithm_13,algorithm_14,algorithm_15,algorithm_16,algorithm_17,algorithm_18,algorithm_19,algorithm_20,algorithm_21,algorithm_22,algorithm_23,algorithm_24,algorithm_25,algorithm_26,algorithm_27,algorithm_28,algorithm_29,algorithm_30,algorithm_31
instance_19,4800.0,4800.0,4800.0,4800.0,4800.0,4800.0,4800.0,4800.0,4800.0,4800.0,2519.16,4800.0,4800.0,4800.0,4800.0,4800.0,4800.0,4800.0,4800.0,4800.0,4800.0,4800.0,4800.0,4800.0,4800.0,4800.0,4800.0,4800.0,4800.0,4800.0,4800.0
instance_799,4800.0,0.16,4800.0,4800.0,4800.0,4800.0,4800.0,4800.0,4800.0,4800.0,3762.24,0.68,4.16,4800.0,4800.0,4800.0,0.56,4800.0,0.2,4800.0,0.56,4800.0,4800.0,4800.0,0.52,4800.0,4.32,0.68,4800.0,3.56,4800.0
instance_329,4800.0,4800.0,4800.0,4800.0,4800.0,4800.0,4800.0,4800.0,4800.0,4800.0,4800.0,4800.0,4800.0,4800.0,4800.0,4800.0,4800.0,4800.0,4800.0,4800.0,4800.0,4800.0,4800.0,4800.0,2316.64,4800.0,4800.0,4800.0,4800.0,4800.0,4800.0
instance_91,4800.0,324.64,4800.0,4800.0,4800.0,4800.0,4800.0,4800.0,4800.0,4800.0,4800.0,905.16,4800.0,4800.0,4800.0,4800.0,1633.8,4800.0,4800.0,4800.0,4800.0,4800.0,4800.0,4800.0,2108.84,4800.0,4800.0,606.88,4800.0,4800.0,4800.0
instance_158,8.48,4800.0,7.88,5.84,4.48,20.32,17.56,25.72,4.08,9.52,2249.72,4800.0,22.72,8.72,16.92,8.4,4800.0,12.32,4800.0,8.72,4800.0,107.28,15.0,18.92,4800.0,5.08,19.92,4800.0,11.36,8.12,8.28
instance_354,4800.0,17.6,4800.0,4800.0,4800.0,4800.0,4800.0,4800.0,4800.0,4800.0,4800.0,4.0,7.0,4800.0,4800.0,4800.0,20.56,4800.0,6.0,4800.0,5.28,4800.0,4800.0,4800.0,6.24,4800.0,7.32,4.16,4800.0,7.64,4800.0
instance_1405,4800.0,4800.0,4800.0,7.0,7.48,4800.0,110.52,4800.0,30.32,6.2,4800.0,4800.0,24.32,4804.0,4800.0,4804.0,4800.0,8.4,4800.0,4800.0,4800.0,4800.0,7.28,6.36,4800.0,6.8,22.92,4800.0,4800.0,4804.0,4800.0
instance_519,69.48,247.68,136.24,60.68,28.48,869.36,13.84,21.64,51.76,641.0,4800.0,62.08,23.0,72.84,114.68,4800.0,14.28,56.8,4800.0,52.68,1117.52,812.68,2003.64,361.88,84.84,745.44,15.64,86.0,125.68,67.28,62.52
instance_396,224.28,4800.0,4804.0,564.44,1428.4,131.68,69.96,192.68,1053.68,27.08,4800.0,4800.0,499.4,831.16,80.92,234.52,4800.0,74.6,4800.0,553.84,4800.0,1676.36,1531.52,56.24,4800.0,1882.32,501.2,4800.0,4804.0,1428.8,427.04
instance_64,4800.0,4800.0,3110.72,4800.0,3141.64,4800.0,4800.0,4800.0,3018.08,4800.0,4800.0,4800.0,4800.0,2211.16,4800.0,4800.0,4800.0,4800.0,4800.0,4800.0,4800.0,4800.0,1648.68,4800.0,4800.0,4368.8,4800.0,4800.0,3103.84,3786.12,4800.0
instance_86,4744.8,108.36,209.92,509.92,1467.6,440.88,1459.4,4800.0,369.52,181.2,103.4,14.0,272.16,749.24,206.08,472.72,6.84,4.2,4800.0,201.76,4800.0,121.72,528.16,325.8,7.04,155.48,297.24,9.36,454.84,718.64,294.28
instance_1386,4800.0,4800.0,4800.0,4800.0,4800.0,4800.0,4800.0,4800.0,1166.76,4800.0,4800.0,4800.0,4800.0,4800.0,4800.0,4800.0,4800.0,4800.0,4800.0,4022.4,4800.0,4800.0,4800.0,4800.0,4800.0,4800.0,4800.0,4800.0,4800.0,4800.0,4800.0
instance_1397,4800.0,4800.0,4800.0,4800.0,4800.0,4800.0,4800.0,4800.0,4800.0,4800.0,1226.32,4800.0,4800.0,4800.0,4800.0,4800.0,4800.0,4800.0,4800.0,4800.0,4800.0,4800.0,4800.0,4800.0,4800.0,4800.0,4800.0,4800.0,4800.0,4800.0,4800.0
instance_680,4800.0,4800.0,4800.0,4800.0,4800.0,4800.0,4800.0,4800.0,4800.0,4800.0,4800.0,4800.0,128.56,4800.0,4800.0,4800.0,4800.0,4800.0,4800.0,4800.0,4800.0,4800.0,4800.0,4800.0,4800.0,4800.0,128.08,4800.0,4800.0,42.0,4800.0
instance_808,109.92,3333.2,509.36,1059.96,696.28,269.24,0.08,4800.0,144.0,28.44,4800.0,469.68,110.08,4044.0,286.76,183.56,3992.36,654.4,4800.0,2878.16,4800.0,622.48,2378.72,67.2,350.28,340.28,111.16,4716.4,78.36,307.48,720.8
instance_725,6.76,4800.0,33.4,8.64,20.72,22.2,6.04,17.8,15.2,67.4,4800.0,4800.0,14.96,17.6,7.04,2.6,4800.0,7.76,4800.0,3.04,4800.0,25.04,54.92,50.08,4800.0,25.2,15.08,4800.0,37.72,10.88,4.88
instance_112,3828.96,4800.0,2261.48,4800.0,4800.0,4800.0,1321.64,4800.0,4800.0,1634.96,4800.0,4800.0,1922.44,4800.0,4800.0,2959.52,4800.0,1312.2,4800.0,4800.0,4800.0,4800.0,4800.0,2146.92,4800.0,4800.0,1931.08,4800.0,2528.48,2913.6,4800.0
instance_528,4800.0,0.04,4800.0,4800.0,4800.0,4800.0,1172.4,4800.0,4800.0,4800.0,66.12,0.28,4.4,4800.0,4800.0,4800.0,8.04,4800.0,0.64,4800.0,1.12,4800.0,4800.0,4800.0,0.92,4800.0,4.08,0.08,4800.0,3.68,4800.0
instance_18,4800.0,4800.0,4800.0,4800.0,4800.0,4800.0,4800.0,4800.0,4800.0,4800.0,4800.0,4800.0,2053.08,1710.0,4800.0,4800.0,4800.0,4800.0,4800.0,4800.0,4800.0,4800.0,4800.0,4800.0,4800.0,4800.0,2020.32,4800.0,4800.0,854.76,4800.0
instance_1363,4800.0,282.24,4800.0,4800.0,4800.0,4800.0,4800.0,4800.0,4800.0,4800.0,4800.0,4800.0,4800.0,4800.0,4800.0,4800.0,4800.0,4800.0,206.4,4800.0,4490.0,4800.0,4800.0,4800.0,1717.08,4800.0,4800.0,4200.4,4800.0,4800.0,4800.0
instance_744,4800.0,167.96,4800.0,4800.0,4800.0,4800.0,4800.0,4800.0,4800.0,4800.0,4800.0,4800.0,4800.0,4800.0,4800.0,4800.0,4800.0,4800.0,288.44,4800.0,4800.0,4800.0,4800.0,4800.0,2466.04,4800.0,4800.0,3744.8,4800.0,4800.0,4800.0
