instance,algorithm_1,algorithm_2,algorithm_3,algorithm_4,algorithm_5,algorithm_6,algorithm_7,algorithm_8,algorithm_9,algorithm_10
instance_340,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0
instance_1225,0.044,0.024,50000.0,0.048,0.052,0.052,0.276,0.064,50000.0,0.06
instance_1021,1361.04,127.984,113.304,1031.42,75.408,112.572,35.452,2547.05,24.984,64.468
instance_1837,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,4032.31,50000.0
instance_815,99.848,18.308,27.384,84.224,32.552,49.404,35.308,122.592,48.844,39.692
instance_836,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0
instance_13,50000.0,2514.43,3552.5,3590.35,3631.34,4895.58,50000.0,2897.94,50000.0,3405.72
instance_1981,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0
instance_548,389.972,184.776,88.62,114.6,55.504,336.928,114.98,74.74,134.916,162.112
instance_1430,166.356,119.8,28.268,71.044,24.08,111.124,163.212,69.156,41.792,36.748
instance_246,1.6,2.324,1.876,1.86,0.488,2.328,2.384,2.204,5.56,2.192
instance_1967,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0
instance_1753,4951.44,50000.0,799.896,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0
instance_970,1936.58,83.572,71.608,2862.58,75.148,114.62,61.916,1673.56,35.552,176.636
instance_1586,750.504,50000.0,4855.1,237.46,50000.0,686.588,50000.0,605.26,50000.0,983.188
instance_318,50000.0,832.296,417.056,3769.78,457.608,2615.05,402.84,2829.76,436.28,376.388
instance_1501,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0
instance_540,55.324,15.396,9.964,39.22,5.928,40.004,52.632,14.184,7.196,34.936
instance_546,50000.0,769.456,197.636,2685.9,157.276,176.832,350.528,567.976,130.248,221.728
instance_1887,2138.82,722.104,132.304,174.448,80.816,266.144,76.032,415.212,119.176,179.204
instance_1300,0.02,0.016,0.088,0.088,0.104,0.084,0.42,0.096,0.016,0.088
instance_155,50000.0,763.632,1261.95,2731.9,377.152,1959.59,325.044,3252.17,50000.0,411.244
instance_1334,13.556,16.552,6.116,2.672,10.856,13.604,5.072,7.736,16.644,5.608
instance_812,427.06,393.22,34.528,103.32,46.748,149.208,113.904,48.12,68.008,38.416
instance_635,17.02,16.208,8.764,9.136,5.756,50000.0,10.368,11.372,14.136,11.292
instance_610,3221.01,700.536,399.832,1189.72,376.788,874.78,336.428,1536.14,656.492,344.564
instance_65,9.184,3.86,33.256,11.792,5.188,11.408,55.524,31.164,26.16,31.684
instance_472,0.104,0.096,0.088,0.12,0.116,0.28,0.364,0.092,0.268,0.084
instance_502,18.272,3.256,2.964,7.272,2.228,20.684,2.84,4.432,13.432,4.748
instance_1467,0.46,0.548,0.844,1.296,0.576,5.72,1.484,0.672,3.052,1.18
instance_1017,370.448,146.356,69.84,112.064,53.272,89.46,58.952,139.6,54.052,86.36
instance_1416,317.128,193.208,157.116,109.184,59.176,86.472,44.5,329.032,56.58,221.72
instance_935,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0
instance_598,855.804,1116.6,47.908,419.9,95.812,150.992,123.748,377.348,172.14,210.264
instance_1558,4.076,1.456,8.132,6.264,2.588,19.76,9.264,8.592,6.552,8.632
instance_643,50000.0,726.084,141.064,276.172,85.404,50000.0,92.632,1249.67,118.64,246.572
instance_1561,27.44,38.948,15.052,34.08,17.672,59.856,20.836,28.9,45.408,20.452
instance_1342,70.58,49.328,17.416,79.336,11.52,14.484,27.548,20.684,48.984,12.876
instance_1713,1565.17,444.64,546.44,600.72,473.72,1022.7,1030.53,512.052,2646.49,739.332
instance_1922,140.028,143.472,93.016,135.328,53.432,118.024,44.436,236.708,72.152,134.256
instance_1405,50000.0,50000.0,50000.0,1710.68,2690.77,50000.0,50000.0,1640.38,50000.0,3623.91
instance_1869,50000.0,50000.0,63.2,204.26,119.6,4440.79,150.796,61.928,32.968,59.416
instance_533,50000.0,50000.0,222.504,2004.47,2929.76,3668.42,3751.74,172.768,50000.0,406.94
instance_1368,2.64,1.36,2.308,2.02,1.456,3.532,4.376,2.212,0.296,2.316
instance_1113,32.724,123.424,328.112,99.292,152.564,112.364,145.484,2588.34,294.136,142.324
instance_1032,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0
instance_1404,53.116,39.52,253.916,92.104,22.108,205.484,44.432,0.952,1834.7,108.924
instance_1780,50000.0,50000.0,3481.27,50000.0,50000.0,50000.0,50000.0,1738.8,50000.0,3081.71
instance_809,517.64,242.688,68.128,207.52,98.648,170.404,65.472,94.164,130.064,78.292
instance_1786,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,3549.24,50000.0,50000.0
instance_1758,76.228,50000.0,557.34,50000.0,50000.0,1087.8,50000.0,50000.0,50000.0,3611.77
instance_1625,782.864,3.068,1.424,1.368,1.64,50000.0,10.06,1.54,0.828,1.396
instance_319,50000.0,951.216,445.56,3366.32,439.88,2030.61,671.692,2702.37,476.064,423.664
instance_571,11.768,1.86,14.436,5.68,4.488,18.912,8.872,8.524,0.872,8.504
instance_1581,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0
instance_1,50000.0,1067.66,652.292,3563.37,50000.0,722.632,645.868,2736.14,264.144,468.88
instance_1257,0.036,0.02,0.02,0.04,0.044,0.096,0.228,0.02,50000.0,0.024
instance_210,50000.0,50000.0,2809.62,3587.95,3852.26,50000.0,50000.0,3103.62,50000.0,3282.18
instance_1333,50000.0,50000.0,50000.0,50000.0,50000.0,4828.38,50000.0,50000.0,50000.0,50000.0
instance_1076,921.392,50000.0,1678.21,445.704,3884.66,1159.67,50000.0,425.712,50000.0,1396.7
instance_1813,24.556,211.988,75.844,46.204,22.084,110.772,221.88,100.62,182.164,62.252
instance_1991,36.596,6.832,380.824,372.648,367.14,13.0,33.256,382.352,30.64,378.112
instance_763,0.052,0.16,0.116,0.232,0.14,0.304,0.16,0.1,0.116,0.1
instance_283,457.084,379.22,156.144,189.004,227.364,737.404,596.364,589.848,216.996,55.792
instance_1617,1.668,0.52,2.424,1.344,1.532,2.152,4.652,2.492,0.372,2.308
instance_1367,1.464,4.432,0.8,0.692,0.704,2.52,12.58,0.768,0.54,0.796
instance_725,4179.14,196.28,84.408,114.96,85.572,227.592,118.976,201.816,60.912,68.104
instance_1942,900.704,953.46,886.704,868.688,728.78,1254.16,910.344,752.828,910.836,846.26
instance_601,88.448,71.272,76.028,202.448,187.268,438.376,1041.81,223.176,524.268,86.124
instance_687,5.804,5.04,0.672,0.732,0.648,1.624,1.772,0.648,2.672,0.844
instance_523,0.048,0.092,0.192,0.104,0.136,0.26,0.428,0.12,0.028,0.108
instance_1360,7.192,3.204,1.128,0.92,0.936,2.232,7.948,1.068,0.656,1.132
instance_917,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0
instance_1730,1026.75,490.88,473.164,470.568,402.388,548.808,767.916,467.264,2713.76,602.84
instance_716,168.86,217.02,29.072,168.464,116.284,183.568,132.38,17.552,197.444,58.088
instance_351,1628.89,1030.72,804.572,1054.2,776.128,737.78,826.812,249.316,421.092,229.184
instance_1834,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0
instance_1495,17.088,39.8,21.004,13.948,21.48,24.18,1.164,21.396,19.464,22.032
instance_526,89.06,18.812,34.852,20.424,18.416,34.1,34.556,14.816,60.084,26.24
instance_221,48.08,8.536,16.832,18.312,17.032,14.596,22.704,17.008,14.212,17.636
instance_106,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0
instance_1756,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,1124.38,50000.0,50000.0
instance_878,163.968,37.284,27.688,112.532,37.46,58.392,45.484,265.448,32.588,26.028
instance_1962,10.004,7.38,23.688,3.288,2.332,50000.0,4.108,6.412,9.404,4.708
instance_1098,4572.18,50000.0,2073.96,368.476,3622.92,1005.94,50000.0,345.076,50000.0,1237.32
instance_254,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0
instance_1976,1290.57,932.948,744.844,913.216,763.544,879.964,1397.72,494.06,601.804,447.32
instance_1744,1047.42,50000.0,11.596,50000.0,50000.0,50000.0,50000.0,630.508,50000.0,1310.56
instance_1795,1939.58,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,376.38,50000.0,3372.38
instance_1903,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0
instance_256,953.588,589.648,394.092,1211.81,265.064,679.744,563.472,78.696,1830.0,632.484
instance_520,20.608,20.392,10.332,9.212,9.272,20.816,11.18,16.468,36.516,11.396
