instance,algorithm_1,algorithm_2,algorithm_3,algorithm_4,algorithm_5,algorithm_6,algorithm_7,algorithm_8,algorithm_9,algorithm_10,algorithm_11,algorithm_12,algorithm_13,algorithm_14,algorithm_15,algorithm_16,algorithm_17,algorithm_18,algorithm_19,algorithm_20,algorithm_21,algorithm_22,algorithm_23,algorithm_24,algorithm_25,algorithm_26,algorithm_27,algorithm_28,algorithm_29,algorithm_30,algorithm_31
instance_856,193.92,4800.0,159.24,83.64,86.8,106.88,81.24,228.92,381.92,213.8,4800.0,4800.0,152.96,187.48,208.08,93.88,4800.0,130.16,4800.0,100.48,4800.0,238.48,73.96,114.6,4800.0,92.84,144.32,4800.0,181.08,254.76,171.56
instance_289,4800.0,9.92,4800.0,4800.0,4800.0,4800.0,4800.0,4800.0,4800.0,4800.0,4800.0,4.56,4.16,4800.0,4800.0,4800.0,1.76,4800.0,1.08,4800.0,2.48,4800.0,4800.0,4800.0,1.36,4800.0,4.12,1.2,4800.0,3.28,4800.0
instance_1271,4800.0,4800.0,661.72,4800.0,4800.0,4800.0,4800.0,4800.0,4800.0,4800.0,4800.0,4800.0,4800.0,4800.0,4800.0,2631.04,4800.0,4800.0,4800.0,4800.0,4800.0,4800.0,4800.0,4800.0,4800.0,4800.0,4800.0,4800.0,849.44,4800.0,4800.0
instance_971,4800.0,4800.0,4800.0,4800.0,4800.0,4800.0,4800.0,4800.0,4800.0,776.8,4800.0,4800.0,903.68,4800.0,4800.0,4800.0,4800.0,4800.0,4800.0,4800.0,4800.0,4800.0,4800.0,1020.12,4800.0,3616.04,927.48,4800.0,4800.0,740.68,4800.0
instance_923,4800.0,4800.0,4800.0,4800.0,4800.0,4800.0,4800.0,4800.0,4800.0,4800.0,4800.0,4800.0,4800.0,4800.0,4800.0,4800.0,4800.0,4800.0,4800.0,4800.0,4800.0,4800.0,4800.0,4800.0,1836.28,4800.0,4800.0,4800.0,4800.0,4800.0,4800.0
instance_1423,875.24,4800.0,28.84,17.6,14.24,38.2,96.12,133.84,29.24,49.72,4800.0,4800.0,40.0,31.76,18.08,13.96,4800.0,27.4,4800.0,17.16,4800.0,521.68,17.88,45.68,4800.0,19.12,40.12,4800.0,58.12,44.56,23.96
instance_395,4800.0,437.28,4800.0,4800.0,4800.0,4800.0,4800.0,4800.0,4800.0,4800.0,4800.0,181.64,1775.12,4800.0,4800.0,4800.0,1116.28,4800.0,294.0,4800.0,2027.88,4800.0,4800.0,4800.0,2684.76,4800.0,408.72,457.84,4800.0,450.4,4800.0
instance_467,4800.0,3573.76,4800.0,4800.0,4800.0,4800.0,4800.0,4800.0,4800.0,4800.0,4800.0,2174.56,4800.0,4800.0,4800.0,4800.0,4800.0,4800.0,350.4,4800.0,4800.0,4800.0,4800.0,4800.0,4800.0,4800.0,4800.0,4800.0,4800.0,4800.0,4800.0
instance_1341,30.16,4800.0,47.92,17.24,11.88,61.24,46.32,204.84,47.32,8.76,4800.0,4800.0,47.8,20.68,24.64,37.12,4800.0,43.8,4800.0,20.52,4800.0,129.88,15.28,16.72,4800.0,230.68,49.4,4800.0,55.2,33.56,43.44
instance_862,4800.0,1.6,4800.0,4240.0,4800.0,4800.0,4800.0,4800.0,4800.0,4800.0,69.12,3.36,3.32,4800.0,4800.0,4800.0,4.32,27.72,0.08,4800.0,0.56,4800.0,4800.0,4800.0,3.28,4800.0,3.6,3.16,4800.0,4.2,4800.0
instance_128,4800.0,473.48,4800.0,4800.0,4800.0,4800.0,4800.0,4800.0,4800.0,4800.0,4800.0,324.96,3531.68,4800.0,4800.0,4800.0,549.92,4800.0,4800.0,4800.0,1110.44,182.8,4800.0,4800.0,371.64,4800.0,3474.32,91.88,4800.0,4800.0,4800.0
instance_123,2048.68,4800.0,1184.44,4800.0,2933.16,4800.0,4800.0,4800.0,4270.4,477.68,4681.6,4800.0,4024.4,4800.0,3233.8,1276.48,4800.0,2120.12,4800.0,2140.92,4800.0,1242.88,4800.0,591.12,4800.0,4800.0,4011.2,4800.0,1147.16,3650.72,2240.36
instance_1245,4800.0,4800.0,2.0,0.36,0.36,0.4,0.28,209.52,0.96,0.24,4800.0,4800.0,8.76,2.12,4.4,1.0,4800.0,0.48,4800.0,0.88,4800.0,12.24,0.36,0.28,4800.0,0.36,8.76,4800.0,1.2,12.12,0.92
instance_675,4800.0,67.08,4800.0,4800.0,4800.0,4800.0,4800.0,4800.0,4800.0,4800.0,4800.0,560.28,113.4,4800.0,4800.0,4800.0,4800.0,4800.0,4.36,4800.0,15.12,4800.0,4800.0,4800.0,26.2,4800.0,116.24,24.48,4800.0,53.12,4800.0
instance_246,4800.0,4800.0,4800.0,4800.0,4800.0,4800.0,4800.0,4800.0,4800.0,4800.0,1487.56,4800.0,1717.48,4800.0,4800.0,4800.0,4800.0,4800.0,4800.0,4800.0,4800.0,4800.0,4800.0,4800.0,4800.0,4800.0,4800.0,4800.0,4800.0,4800.0,4800.0
instance_263,4800.0,16.92,4800.0,4800.0,4800.0,4800.0,4800.0,4800.0,4800.0,4800.0,4800.0,44.0,4.8,4800.0,4800.0,4800.0,4800.0,4800.0,136.0,4800.0,243.8,4800.0,4800.0,4800.0,67.84,4800.0,4.84,53.72,4800.0,3.88,4800.0
instance_1,4800.0,7.04,4800.0,4800.0,4800.0,4800.0,4800.0,4800.0,4800.0,4800.0,4800.0,4800.0,842.6,4800.0,4800.0,4800.0,4800.0,4800.0,27.88,4800.0,1128.6,4800.0,4800.0,4800.0,391.72,4800.0,846.16,192.24,4800.0,511.44,4800.0
instance_817,4800.0,2.4,4800.0,4800.0,4800.0,4800.0,4800.0,4800.0,4800.0,4800.0,1385.2,12.64,4.16,4800.0,4800.0,4800.0,10.76,4800.0,0.72,4800.0,1.32,4800.0,4800.0,4800.0,2.84,4800.0,3.96,7.08,4800.0,4.84,4800.0
instance_1062,38.8,4800.0,38.68,10.36,17.2,20.76,39.68,59.28,38.76,47.16,4800.0,4800.0,33.04,46.48,21.52,18.72,4800.0,19.4,4800.0,18.8,4800.0,212.44,9.52,56.24,4800.0,12.16,21.64,4800.0,7.36,39.36,8.6
