instance,algorithm_1,algorithm_2,algorithm_3,algorithm_4,algorithm_5,algorithm_6,algorithm_7,algorithm_8,algorithm_9,algorithm_10,algorithm_11,algorithm_12,algorithm_13,algorithm_14,algorithm_15,algorithm_16,algorithm_17,algorithm_18,algorithm_19,algorithm_20,algorithm_21,algorithm_22,algorithm_23,algorithm_24,algorithm_25,algorithm_26,algorithm_27,algorithm_28,algorithm_29,algorithm_30,algorithm_31
instance_1,4800.0,7.04,4800.0,4800.0,4800.0,4800.0,4800.0,4800.0,4800.0,4800.0,4800.0,4800.0,842.6,4800.0,4800.0,4800.0,4800.0,4800.0,27.88,4800.0,1128.6,4800.0,4800.0,4800.0,391.72,4800.0,846.16,192.24,4800.0,511.44,4800.0
instance_2,4800.0,4800.0,243.08,188.8,166.76,394.44,835.08,4804.0,310.4,3054.88,4800.0,4800.0,373.16,204.52,138.72,96.4,4800.0,334.72,4800.0,122.96,4800.0,4800.0,198.48,1088.4,4800.0,283.36,372.12,4800.0,513.08,219.84,191.24
instance_3,4800.0,0.88,4800.0,4800.0,4800.0,4800.0,4800.0,4800.0,4800.0,4800.0,1261.48,0.24,3.48,4800.0,4800.0,4800.0,0.24,4800.0,0.12,4800.0,0.52,4800.0,4800.0,4800.0,0.12,4800.0,2.92,0.36,4800.0,2.64,4800.0
instance_4,4800.0,4800.0,1452.92,4804.0,725.64,3258.76,4800.0,4800.0,1873.44,4800.0,4800.0,4800.0,3886.12,1441.24,2982.12,541.32,4800.0,4800.0,4800.0,4804.0,4800.0,4800.0,377.52,609.36,4800.0,2977.28,3317.36,4800.0,1764.4,4800.0,4800.0
instance_5,4800.0,33.84,4800.0,4800.0,4800.0,4800.0,4800.0,4800.0,4800.0,4800.0,4800.0,4800.0,756.16,4800.0,4800.0,4800.0,4800.0,4800.0,37.32,4800.0,2015.92,4800.0,4800.0,4800.0,530.4,4800.0,716.0,98.68,4800.0,456.48,4800.0
instance_7,4800.0,82.12,4800.0,4800.0,4800.0,4800.0,4800.0,4800.0,4800.0,4800.0,4800.0,4800.0,758.2,4800.0,4800.0,4800.0,4800.0,4800.0,124.96,4800.0,1305.0,4800.0,4800.0,4800.0,978.96,4800.0,783.24,248.52,4800.0,622.48,4800.0
instance_8,4800.0,4800.0,498.92,4800.0,4800.0,4800.0,4800.0,4800.0,4800.0,4800.0,4800.0,4800.0,4800.0,4800.0,4800.0,4800.0,4800.0,4800.0,4800.0,4800.0,4800.0,4800.0,4800.0,4800.0,4800.0,4800.0,4800.0,4800.0,426.84,4800.0,4800.0
instance_11,359.16,4800.0,68.96,36.6,47.72,172.56,885.56,208.76,55.24,201.88,4800.0,4800.0,71.64,92.6,27.96,20.72,4800.0,76.92,4800.0,28.28,4800.0,1977.88,55.96,179.68,4800.0,76.44,64.04,4800.0,264.2,42.44,40.92
instance_12,4800.0,4800.0,1326.36,4800.0,1100.96,4800.0,4800.0,4800.0,893.92,4800.0,4800.0,4800.0,2045.0,520.28,3560.04,1412.2,4800.0,4800.0,4800.0,2262.76,4800.0,4800.0,4800.0,4800.0,4800.0,2155.64,2004.92,4800.0,4800.0,2363.56,4800.0
instance_13,14.96,2384.08,73.04,13.32,27.72,41.8,28.72,37.36,58.76,15.56,4800.0,68.12,55.68,70.72,68.72,73.28,82.64,38.0,4800.0,77.52,4800.0,1729.44,273.84,357.72,68.64,44.96,55.96,85.52,46.96,17.4,65.36
