instance,algorithm_1,algorithm_2,algorithm_3,algorithm_4,algorithm_5,algorithm_6,algorithm_7,algorithm_8,algorithm_9,algorithm_10,algorithm_11,algorithm_12,algorithm_13,algorithm_14,algorithm_15,algorithm_16,algorithm_17,algorithm_18,algorithm_19
instance_94,18000.0,17.23,18000.0,18000.0,13.36,6.61,11.66,100.07,18000.0,6.68,100.34,18000.0,3.44,2.63,18000.0,30.3,3.06,10.41,20.92
instance_489,11.11,0.1,180.82,11.14,0.3,18000.0,18000.0,1.93,812.92,18000.0,18000.0,0.94,18000.0,1.76,1.47,14.2,0.95,18000.0,108.94
instance_301,18000.0,28.65,18000.0,18000.0,28.44,19.02,141.88,9.67,18000.0,16.74,18.74,18000.0,20.0,9.4,18000.0,16.7,9.7,15.77,19.39
instance_398,18000.0,240.69,18000.0,18000.0,413.4,41.23,18000.0,18000.0,18000.0,271.67,1550.45,18000.0,341.48,18000.0,18000.0,18000.0,18000.0,250.58,1268.44
instance_418,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,3.94,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,4.13,18000.0,18000.0,18000.0
instance_391,18000.0,5.01,18000.0,18000.0,4.81,0.24,0.11,3.28,18000.0,0.32,2.09,18000.0,0.19,0.32,18000.0,2.28,0.34,0.52,0.28
instance_187,18000.0,6.12,18000.0,18000.0,5.51,11.31,9.62,4.95,18000.0,8.35,28.04,18000.0,1.92,2.76,18000.0,4.47,4.9,9.11,4.5
instance_66,18000.0,31.42,18000.0,18000.0,24.26,1.24,54.35,18.84,18000.0,42.31,225.3,18000.0,7.22,6.13,18000.0,4.72,2.15,65.42,6.26
instance_79,18000.0,88.63,18000.0,18000.0,241.59,11.37,190.94,297.75,18000.0,290.12,964.76,18000.0,43.0,8.8,18000.0,28.15,6.9,324.32,35.29
instance_429,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,0.26,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,0.69,18000.0,18000.0,18000.0
instance_582,18000.0,184.66,18000.0,18000.0,18000.0,18000.0,12.24,18000.0,18000.0,107.8,371.38,18000.0,24.91,27.98,18000.0,842.39,74.67,174.46,30.02
instance_396,18000.0,18000.0,18000.0,18000.0,302.47,951.79,18000.0,18000.0,18000.0,546.62,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,465.07,792.32
instance_156,408.65,4.7,18000.0,421.39,5.44,3.55,10.72,3.38,18000.0,8.36,12.44,18000.0,1.37,3.77,18000.0,7.7,3.72,7.99,8.29
instance_565,18000.0,252.96,18000.0,18000.0,502.2,19.35,505.56,1273.45,18000.0,94.45,1209.97,18000.0,28.91,184.69,18000.0,1011.31,458.77,68.24,80.19
instance_137,7.59,0.07,3.85,7.63,0.05,0.05,0.02,0.11,18000.0,0.05,0.73,6.49,0.02,0.01,6.79,0.07,0.01,0.04,0.03
instance_67,18000.0,5.04,18000.0,18000.0,8.91,0.98,9.55,11.99,18000.0,18.77,130.24,18000.0,0.6,0.36,18000.0,1.83,0.5,18.83,1.59
instance_246,18000.0,85.44,18000.0,18000.0,8.21,33.72,6.31,18000.0,18000.0,7.01,25.49,18000.0,10.84,4.22,18000.0,18000.0,4.15,2.42,4.55
instance_581,18000.0,295.36,635.67,18000.0,77.99,66.16,80.84,368.62,464.82,18000.0,18000.0,18000.0,42.89,46.11,18000.0,16.12,53.81,1.18,62.52
instance_333,18000.0,28.0,18000.0,18000.0,25.08,22.57,17.8,25.3,18000.0,24.72,23.95,18000.0,23.04,4.66,18000.0,10.69,4.82,9.02,17.66
instance_523,18000.0,25.59,18000.0,18000.0,6.7,6.84,6.29,18000.0,18000.0,19.54,83.3,18000.0,6.97,1440.56,18000.0,1305.04,154.24,20.0,13.31
instance_451,20.96,10.82,18000.0,20.74,12.49,18000.0,18000.0,213.32,18000.0,18000.0,18000.0,59.55,18000.0,19.98,69.73,27.82,27.05,18000.0,18000.0
instance_21,18000.0,158.79,18000.0,18000.0,417.25,346.34,359.91,18000.0,18000.0,669.61,18000.0,18000.0,117.23,18000.0,18000.0,1436.69,589.24,378.57,124.98
instance_95,18000.0,12.17,18000.0,18000.0,11.11,6.36,8.65,183.08,18000.0,10.4,33.13,18000.0,2.66,2.02,18000.0,23.17,2.57,9.93,19.91
instance_223,18000.0,23.65,18000.0,18000.0,29.91,6.53,24.23,5.29,18000.0,4.41,84.73,18000.0,2.5,0.57,18000.0,2.24,0.55,5.34,2.8
instance_600,18000.0,132.6,218.63,18000.0,48.21,51.52,69.22,383.05,40.77,63.57,18000.0,18000.0,48.41,61.53,18000.0,33.09,61.23,0.72,51.88
instance_173,1593.11,4.45,18000.0,1377.05,3.76,1.35,2.41,2.5,18000.0,3.26,12.31,304.42,0.63,1.22,374.54,3.06,1.48,2.23,1.16
instance_336,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0
instance_24,18000.0,378.27,18000.0,18000.0,769.43,1602.29,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,1211.18,519.62,18000.0,329.25
instance_438,0.09,0.0,0.35,0.09,0.0,0.0,0.0,0.01,0.3,0.01,0.01,0.02,0.0,0.0,0.01,0.01,0.0,0.01,0.0
instance_415,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,4.64,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,7.67,18000.0,18000.0,18000.0
instance_285,18000.0,3.62,18000.0,18000.0,1.26,3.41,0.28,158.75,18000.0,44.86,18000.0,18000.0,0.4,0.72,18000.0,13.61,1.81,45.35,0.26
instance_286,18000.0,3.38,18000.0,18000.0,3.3,2.19,0.36,99.13,18000.0,281.98,18000.0,1523.47,0.25,0.52,1614.17,15.67,2.92,195.68,0.36
instance_310,18000.0,13.54,18000.0,18000.0,13.37,0.17,0.07,1.61,18000.0,0.1,1.76,18000.0,0.17,0.27,18000.0,0.84,0.28,0.09,0.12
instance_59,18000.0,16.24,18000.0,18000.0,25.93,1.2,17.05,13.74,18000.0,41.03,132.82,18000.0,3.6,2.37,18000.0,10.74,0.98,48.43,4.38
instance_420,18000.0,921.95,18000.0,18000.0,500.51,18000.0,1149.64,18000.0,18000.0,18000.0,18000.0,18000.0,1249.35,18000.0,18000.0,90.15,18000.0,18000.0,1795.92
instance_132,18000.0,3.21,18000.0,18000.0,2.73,0.79,0.89,17.88,18000.0,0.95,3.84,18000.0,1.43,2.16,18000.0,6.88,1.83,1.27,1.27
instance_195,18000.0,5.09,18000.0,18000.0,3.12,2.58,3.15,3.27,18000.0,1.89,47.38,998.63,1.06,0.5,1041.57,0.87,0.5,1.63,0.9
instance_120,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,534.12,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,228.91,18000.0,18000.0,18000.0
instance_465,18000.0,1.71,18000.0,18000.0,3.59,18000.0,18000.0,324.17,18000.0,18000.0,18000.0,15.5,18000.0,9.49,14.8,100.97,0.8,18000.0,18000.0
instance_488,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0
instance_443,40.71,7.67,18.62,39.98,50.63,33.07,1.49,0.17,18.5,63.62,18.06,10.37,24.09,8.05,10.51,0.33,9.75,9.87,2.08
instance_549,18000.0,12.15,18000.0,18000.0,1.91,2.24,1.17,846.74,18000.0,4.83,17.14,18000.0,2.52,22.97,18000.0,185.35,26.52,6.78,1.89
instance_344,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0
instance_406,18000.0,5.54,18000.0,18000.0,2.23,0.3,1.73,6.36,18000.0,1.34,5.52,18000.0,0.21,1.53,18000.0,2.65,0.74,1.42,0.87
instance_146,18000.0,16.21,18000.0,18000.0,14.81,55.99,63.19,24.06,18000.0,57.86,153.2,18000.0,8.54,21.7,18000.0,37.38,46.82,58.28,301.97
instance_89,18000.0,230.75,18000.0,18000.0,116.06,7.92,195.92,367.25,18000.0,407.12,1649.1,18000.0,75.72,43.54,18000.0,48.56,26.75,392.68,17.91
instance_473,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0
instance_196,18000.0,33.8,18000.0,18000.0,52.65,8.15,42.81,4.78,18000.0,8.51,97.55,18000.0,3.08,0.64,18000.0,1.92,0.64,8.63,3.67
instance_378,18000.0,5.96,18000.0,18000.0,5.57,0.49,0.75,8.77,18000.0,1.09,6.21,18000.0,0.68,1.12,18000.0,6.68,0.81,1.32,0.93
instance_197,18000.0,8.43,18000.0,18000.0,20.05,4.18,21.15,22.17,18000.0,3.51,29.69,18000.0,3.81,2.8,18000.0,6.16,4.03,3.03,10.96
instance_215,18000.0,29.52,18000.0,18000.0,28.67,5.95,31.16,8.23,18000.0,20.61,101.26,1737.23,2.27,0.7,1476.29,2.17,0.81,23.3,2.62
instance_537,472.53,1.36,18000.0,466.32,0.38,0.34,0.1,19.99,18000.0,0.26,3.61,111.0,0.05,0.1,73.02,10.08,0.28,0.22,0.08
instance_126,2.93,0.07,3.64,2.92,0.1,0.05,0.01,0.24,18000.0,0.03,0.4,17.4,0.01,0.0,14.43,0.05,0.0,0.07,0.01
instance_305,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0
instance_135,18000.0,1.08,221.93,18000.0,1.34,0.19,0.21,35.98,18000.0,0.32,1.68,18000.0,0.14,0.04,18000.0,1.13,0.05,0.43,0.08
instance_499,18000.0,0.77,18000.0,18000.0,0.8,0.76,0.2,17.36,18000.0,0.27,0.96,18000.0,0.3,0.85,18000.0,5.49,0.67,0.51,0.24
instance_361,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,1434.38,18000.0,18000.0,1757.37,18000.0,18000.0,18000.0,18000.0,18000.0
instance_99,18000.0,253.39,18000.0,18000.0,258.25,7.64,467.87,217.83,18000.0,382.31,890.86,18000.0,42.28,36.38,18000.0,39.54,35.01,414.9,131.84
instance_535,18000.0,23.53,18000.0,18000.0,6.03,4.01,2.37,18000.0,18000.0,5.19,19.32,18000.0,1.52,5.7,18000.0,18000.0,26.19,3.45,4.48
instance_485,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0
instance_111,18000.0,229.73,18000.0,18000.0,325.14,668.3,1415.71,18000.0,18000.0,323.77,430.16,18000.0,421.59,200.4,18000.0,307.1,245.96,268.89,210.98
instance_595,18000.0,47.52,18000.0,18000.0,29.79,117.94,20.07,18000.0,18000.0,762.85,18000.0,18000.0,73.61,82.45,18000.0,18000.0,148.17,517.98,88.55
instance_113,18000.0,3.94,18000.0,18000.0,2.73,11.32,2.87,22.81,18000.0,11.07,94.86,18000.0,1.95,3.28,18000.0,19.69,4.53,8.89,0.61
instance_186,18000.0,4.25,18000.0,18000.0,4.05,7.57,5.38,2.86,18000.0,6.17,23.34,565.22,1.36,1.3,598.2,2.18,2.14,5.95,4.02
instance_583,18000.0,402.7,18000.0,18000.0,376.26,20.92,49.41,1625.3,54.02,188.36,18000.0,0.45,16.95,7.35,317.83,24.76,6.91,13.37,0.6
instance_328,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0
instance_164,414.96,11.65,18000.0,436.86,16.15,8.45,62.6,5.64,18000.0,16.25,32.1,310.76,6.21,11.7,222.52,15.16,7.13,14.17,9.51
instance_480,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0
instance_601,18000.0,58.14,18000.0,18000.0,62.11,30.77,141.23,18000.0,18000.0,95.65,346.32,18000.0,48.37,68.86,18000.0,963.17,138.69,136.12,127.39
instance_474,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0
instance_341,18000.0,34.17,18000.0,18000.0,31.11,32.65,28.52,26.3,18000.0,28.97,24.16,18000.0,32.77,6.59,18000.0,11.16,7.82,18.23,24.98
instance_497,18000.0,0.15,18000.0,18000.0,0.13,0.07,0.04,4.6,18000.0,0.07,0.25,21.03,0.03,0.07,20.67,0.1,0.07,0.07,0.03
instance_85,18000.0,51.51,18000.0,18000.0,56.57,76.52,97.03,918.75,18000.0,46.69,64.65,18000.0,32.6,20.41,18000.0,190.48,25.32,51.02,34.52
instance_599,18000.0,275.43,18000.0,18000.0,292.06,42.69,293.8,569.44,18000.0,38.22,86.51,18000.0,30.68,176.06,18000.0,873.38,140.26,60.83,19.43
instance_244,18000.0,102.2,18000.0,18000.0,86.42,94.46,72.62,18000.0,18000.0,61.65,36.34,18000.0,82.22,52.97,18000.0,271.56,38.39,72.77,97.73
instance_434,163.67,18000.0,175.07,160.67,18000.0,18000.0,18000.0,4.19,169.84,18000.0,18000.0,421.8,18000.0,18000.0,473.69,5.36,18000.0,18000.0,18000.0
instance_129,1.05,0.07,3.94,1.06,0.05,0.05,0.03,0.1,18000.0,0.02,0.74,7.28,0.03,0.03,7.87,0.04,0.05,0.03,0.02
instance_33,18000.0,41.55,18000.0,18000.0,41.95,41.46,17.24,166.03,18000.0,21.14,64.88,18000.0,36.96,28.14,18000.0,29.87,33.63,23.77,32.62
instance_555,18000.0,96.97,18000.0,18000.0,46.78,80.83,24.04,18000.0,18000.0,571.09,18000.0,18000.0,42.75,110.91,18000.0,1046.89,116.5,77.29,47.48
