instance,algorithm_1,algorithm_2,algorithm_3,algorithm_4,algorithm_5,algorithm_6,algorithm_7,algorithm_8
instance_858,48.84,28800.0,237.28,28800.0,279.6,28800.0,28800.0,56.96
instance_434,270.64,0.4,358.0,10.88,334.0,0.48,2.8,247.56
instance_677,90.72,28800.0,288.16,28800.0,345.8,28800.0,835.44,90.32
instance_605,14.2,28800.0,9.56,263.92,14.12,28800.0,125.28,17.08
instance_1078,2902.56,0.8,3772.96,9.92,3881.8,0.8,1.64,2852.04
instance_740,154.24,28800.0,198.12,28800.0,224.72,28800.0,28800.0,144.6
instance_272,402.48,19.2,371.28,88.04,377.32,1263.4,5.32,469.96
instance_860,7.4,28800.0,3.84,28800.0,11.88,28800.0,1916.0,3.96
instance_400,139.84,502.04,97.8,80.96,103.0,605.4,311.64,139.12
instance_209,45.96,28800.0,20.52,257.84,30.2,28800.0,271.12,33.92
instance_516,106.0,28800.0,264.2,28800.0,308.28,28800.0,7526.2,108.56
instance_168,10.44,45.28,9.2,6887.76,13.44,55.84,3.44,11.96
instance_679,27.48,7.6,40.56,26.72,29.64,6.36,3.92,26.0
instance_689,88.04,28800.0,62.68,28800.0,130.48,28800.0,4940.28,88.36
instance_458,0.08,28800.0,0.12,5.0,0.12,28800.0,0.52,0.08
instance_291,30.52,28800.0,64.52,28800.0,56.56,28800.0,115.28,17.24
instance_77,69.52,28800.0,103.88,28800.0,124.76,28800.0,28800.0,53.28
instance_57,260.52,28800.0,282.32,996.68,244.32,28800.0,20895.76,327.36
instance_289,4.2,28800.0,0.32,83.48,1.56,28800.0,4.68,2.8
instance_783,94.72,28800.0,26.32,28800.0,83.36,28800.0,28800.0,31.8
instance_31,45.72,28800.0,23.12,93.48,32.88,28800.0,2949.64,20.2
instance_301,28800.0,28800.0,28800.0,28800.0,28800.0,28800.0,28800.0,7294.32
instance_864,353.12,28800.0,220.24,28800.0,407.44,28800.0,28800.0,303.4
instance_292,32.44,28800.0,12.76,28800.0,55.64,28800.0,115.04,13.16
instance_1021,462.04,28800.0,287.44,28800.0,299.08,28800.0,8505.32,449.0
instance_651,7316.92,28800.0,7938.16,28800.0,5583.84,28800.0,28800.0,6743.24
instance_616,3.36,575.12,3.16,50.08,6.44,28800.0,2.52,2.56
instance_62,28800.0,28800.0,28800.0,4842.16,28800.0,28800.0,28800.0,28800.0
instance_139,3271.56,28800.0,250.04,28800.0,286.88,28800.0,28800.0,2520.6
instance_1043,28800.0,221.56,3282.44,159.56,3635.24,216.36,92.0,28800.0
instance_124,28800.0,5626.68,28800.0,1825.28,28800.0,9228.08,28800.0,28800.0
instance_48,749.68,28800.0,2484.0,2063.6,1713.68,28800.0,2557.16,586.12
instance_1115,94.84,28800.0,15.6,28800.0,30.44,28800.0,149.48,254.96
instance_464,4.68,28800.0,0.64,143.84,1.76,28800.0,7.36,2.12
instance_68,28800.0,28800.0,28800.0,3886.6,28800.0,28800.0,28800.0,28800.0
instance_876,146.92,28800.0,250.04,28800.0,249.88,28800.0,28800.0,130.76
instance_704,183.48,28800.0,329.08,28800.0,392.44,28800.0,28800.0,162.72
instance_841,1.8,28800.0,0.4,6.12,0.84,28800.0,3.0,1.16
instance_782,210.84,28800.0,376.28,1402.44,415.84,28800.0,6495.88,185.32
instance_1142,28800.0,28800.0,28800.0,28800.0,28800.0,28800.0,6254.48,28800.0
instance_385,6.72,315.52,1.96,35.4,6.28,361.84,244.36,4.68
instance_81,87.92,28800.0,66.28,28800.0,72.08,28800.0,28800.0,43.44
instance_821,204.76,28800.0,203.4,28800.0,253.64,28800.0,28800.0,155.28
instance_371,7.04,488.0,1.08,67.28,5.8,537.56,252.76,3.24
instance_706,28800.0,8120.44,28800.0,8315.28,28800.0,7058.84,2509.84,28800.0
instance_948,70.88,28800.0,43.28,31.56,58.48,28800.0,132.28,45.88
instance_1054,28800.0,63.36,28800.0,155.24,28800.0,87.08,582.12,28800.0
instance_342,28800.0,294.08,28800.0,1190.68,28800.0,402.96,9295.4,28800.0
instance_270,43.24,791.28,59.16,10.88,51.6,3543.12,46.8,49.76
instance_562,12.4,33.56,14.2,118.56,19.96,32.48,1.32,5.64
instance_1080,1592.04,0.56,1904.32,8.52,2193.36,0.56,1.28,1344.12
instance_237,92.76,0.84,56.08,15.8,84.4,3.36,4.32,35.72
instance_644,38.4,28800.0,63.48,28800.0,50.4,28800.0,4161.84,54.16
instance_388,37.08,1798.52,25.44,2560.48,42.08,2189.16,352.48,28.56
instance_280,3.2,28800.0,0.12,13.4,0.96,28800.0,1.12,0.6
instance_1023,36.88,28800.0,24.8,28800.0,24.64,28800.0,2314.32,34.08
instance_158,50.12,363.48,2.4,77.6,3.04,554.16,6.2,48.24
instance_127,91.88,28800.0,183.28,28800.0,233.72,28800.0,28800.0,104.44
instance_58,241.44,28800.0,242.84,1003.84,304.88,28800.0,22306.32,241.8
instance_360,33.24,477.4,24.48,7.96,40.64,618.44,284.72,20.64
instance_566,35.52,31.92,28.48,136.2,38.28,31.12,24.8,20.92
instance_1106,12.52,28800.0,1.48,260.48,3.32,28800.0,10.56,18.16
instance_807,14.56,28800.0,4.84,28800.0,17.68,28800.0,28800.0,6.52
instance_675,33.28,112.24,57.64,51.92,43.4,107.92,5.12,29.8
instance_762,96.96,28800.0,96.48,28800.0,242.92,28800.0,28800.0,83.44
instance_1000,596.32,28800.0,640.0,28800.0,613.12,28800.0,347.92,674.16
instance_113,3.92,208.16,2.08,30.56,4.76,517.4,2.4,3.08
instance_915,64.32,8.2,89.36,15.68,78.48,8.92,4.24,32.16
instance_666,31.04,5.48,21.92,4433.52,37.84,7.2,3.76,31.4
instance_2,7299.96,28800.0,5968.6,250.68,6473.12,28800.0,430.48,6224.76
instance_169,40.84,320.48,18.8,7876.2,20.32,442.0,6.24,40.0
instance_164,241.04,525.92,20.64,9071.64,28.36,776.52,31.68,235.48
instance_235,162.2,1.92,107.08,30.36,89.4,6.16,16.88,394.28
instance_775,95.2,28800.0,101.76,28800.0,128.68,28800.0,1143.0,62.6
instance_914,28800.0,28800.0,28800.0,28800.0,28800.0,28800.0,28800.0,23917.92
instance_687,61.16,526.36,189.44,141.44,170.8,442.56,12.6,61.28
instance_629,50.08,1330.16,63.0,561.2,80.88,28800.0,961.08,31.36
instance_989,55.16,28800.0,85.32,28800.0,56.48,28800.0,3934.4,56.56
instance_146,412.08,28800.0,287.68,28800.0,310.04,28800.0,28800.0,316.2
