instance,algorithm_1,algorithm_2,algorithm_3,algorithm_4,algorithm_5,algorithm_6,algorithm_7,algorithm_8,algorithm_9,algorithm_10,algorithm_11,algorithm_12,algorithm_13,algorithm_14,algorithm_15,algorithm_16,algorithm_17,algorithm_18
instance_394,18000.0,18000.0,18000.0,44.49,18000.0,874.44,44.46,194.79,18000.0,18000.0,18000.0,18000.0,18000.0,26.67,18000.0,18000.0,18000.0,58.7
instance_522,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0
instance_574,18000.0,18000.0,18000.0,18000.0,2.37,2.85,18000.0,1.56,18000.0,70.06,18000.0,18000.0,18000.0,1.51,3.03,5.76,7.46,2.2
instance_529,18000.0,18000.0,18000.0,992.87,18000.0,18000.0,980.59,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0
instance_169,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,214.14,18000.0,18000.0,18000.0,1037.52
instance_425,18000.0,18000.0,18000.0,18000.0,26.81,50.8,18000.0,476.26,18000.0,12.02,18000.0,18000.0,18000.0,18000.0,13.72,55.63,38.15,18000.0
instance_6,18000.0,0.52,18000.0,0.42,0.01,0.01,0.43,0.01,18000.0,0.05,18000.0,18000.0,18000.0,0.4,0.01,0.02,0.02,0.16
instance_2,18000.0,31.61,18000.0,9.31,0.14,3.91,7.88,0.43,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,0.12,14.12,0.22,18000.0
instance_412,18000.0,18000.0,18000.0,562.71,12.62,6.22,438.0,65.32,18000.0,4.64,18000.0,18000.0,18000.0,1568.5,6.7,13.22,25.65,262.64
instance_186,18000.0,18000.0,18000.0,18.95,1.04,1.67,20.24,0.99,18000.0,18000.0,18000.0,18000.0,18000.0,1.7,0.9,2.8,1.01,1.92
instance_114,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,384.36,18000.0,18000.0,18000.0,18000.0
instance_512,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,1206.51,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0
instance_534,10.68,18000.0,18.87,2.03,0.04,0.04,2.3,0.03,38.23,0.36,56.06,10.3,38.15,0.06,0.03,0.14,0.12,0.09
instance_197,18000.0,18000.0,18000.0,18000.0,0.99,2.17,18000.0,0.93,18000.0,18000.0,18000.0,18000.0,18000.0,1.71,0.9,3.82,1.36,2.06
instance_448,18000.0,5.08,18000.0,2.27,1.07,0.76,1.23,1.97,18000.0,0.64,18000.0,18000.0,18000.0,526.54,1.09,0.86,1.6,39.83
instance_438,18000.0,4.63,18000.0,0.29,0.38,0.2,0.34,0.38,18000.0,0.25,18000.0,18000.0,18000.0,3.58,0.48,0.35,0.77,1.35
instance_507,18000.0,18000.0,18000.0,101.58,3.27,6.01,112.57,79.66,18000.0,2.35,18000.0,18000.0,18000.0,18000.0,2.54,4.62,10.06,287.33
instance_571,18000.0,18000.0,18000.0,616.95,1.66,2.06,641.01,1.01,18000.0,49.65,18000.0,18000.0,18000.0,1.2,2.0,3.67,4.57,1.28
instance_364,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0
instance_564,18000.0,18000.0,18000.0,105.56,0.64,0.72,104.91,0.39,18000.0,15.65,18000.0,18000.0,18000.0,0.28,0.59,2.02,1.28,0.22
instance_583,18000.0,18000.0,18000.0,74.7,0.44,0.66,61.41,0.28,18000.0,11.57,18000.0,18000.0,18000.0,0.29,0.41,1.83,0.96,0.33
instance_543,18000.0,18000.0,18000.0,18000.0,6.31,8.94,18000.0,3.67,18000.0,221.96,18000.0,18000.0,18000.0,2.26,9.07,23.09,21.21,2.63
instance_110,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,269.17,18000.0,18000.0,18000.0,312.69
instance_416,18000.0,6.1,18000.0,0.35,0.76,0.31,0.35,0.73,18000.0,0.37,18000.0,18000.0,18000.0,5.64,0.77,0.5,0.87,1.89
instance_80,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,197.62,18000.0,18000.0,18000.0,308.46
instance_375,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0
instance_1,0.29,0.1,1.88,0.13,0.0,0.0,0.11,0.01,0.09,0.2,1.76,0.06,0.09,0.95,0.0,0.02,0.01,0.37
instance_607,18000.0,18000.0,18000.0,1532.83,4.2,5.72,1122.21,2.27,18000.0,134.94,18000.0,18000.0,18000.0,6.07,3.43,6.73,13.11,0.74
instance_313,18000.0,18000.0,18000.0,220.5,45.01,10.92,1396.58,34.78,18000.0,124.65,18000.0,18000.0,18000.0,86.68,27.98,698.34,23.03,148.45
