instance,algorithm_1,algorithm_2,algorithm_3,algorithm_4,algorithm_5,algorithm_6,algorithm_7,algorithm_8,algorithm_9,algorithm_10,algorithm_11,algorithm_12,algorithm_13,algorithm_14,algorithm_15,algorithm_16,algorithm_17,algorithm_18,algorithm_19,algorithm_20,algorithm_21,algorithm_22,algorithm_23,algorithm_24,algorithm_25,algorithm_26,algorithm_27,algorithm_28,algorithm_29,algorithm_30,algorithm_31
instance_1486,4800.0,4800.0,688.2,3704.96,674.4,4800.0,4800.0,4800.0,1255.0,4800.0,4800.0,4800.0,1412.16,733.48,1484.24,821.6,4800.0,3371.04,4800.0,1251.4,4800.0,4800.0,425.96,4800.0,4800.0,2833.04,1348.44,4800.0,1417.36,1042.08,2524.56
instance_728,4800.0,4800.0,4800.0,4800.0,1411.84,4800.0,4800.0,4800.0,4800.0,4800.0,4800.0,4800.0,4800.0,4800.0,2522.84,2026.6,4800.0,4800.0,4800.0,4800.0,4800.0,4800.0,3906.76,4800.0,4800.0,2914.08,4800.0,4800.0,4800.0,4800.0,4800.0
instance_1156,4800.0,4800.0,1451.04,4800.0,4800.0,4800.0,4800.0,4800.0,4800.0,4800.0,4800.0,4800.0,4800.0,4800.0,4800.0,4800.0,4800.0,4800.0,4800.0,4800.0,4800.0,4800.0,4800.0,4800.0,4800.0,4800.0,4800.0,4800.0,2352.08,4800.0,4800.0
instance_794,1219.84,4800.0,284.28,526.52,472.76,366.52,1085.16,1253.68,541.04,1070.96,4800.0,4800.0,871.8,267.88,270.12,520.24,4800.0,461.96,4800.0,456.72,4800.0,2014.96,368.6,3794.64,4800.0,614.2,931.32,4800.0,826.12,319.24,413.0
instance_1457,267.8,4800.0,238.96,81.84,86.8,135.64,146.0,396.36,354.24,267.32,4800.0,4800.0,215.2,196.04,101.04,70.52,4800.0,84.88,4800.0,106.8,4800.0,1306.04,95.08,195.12,4800.0,107.28,214.48,4800.0,336.0,192.36,109.88
instance_707,4800.0,1574.96,4800.0,4800.0,4800.0,4800.0,4800.0,4800.0,4800.0,4800.0,4800.0,4061.2,23.6,4800.0,4800.0,4800.0,631.84,4800.0,3592.8,4800.0,225.12,4800.0,4800.0,4800.0,115.64,4800.0,23.72,352.08,4800.0,21.52,4800.0
instance_1436,20.6,4800.0,83.52,14.16,18.48,17.76,14.96,20.0,16.36,8.72,4800.0,4800.0,12.48,32.36,14.24,6.96,4800.0,11.4,4800.0,8.88,4800.0,91.16,14.64,12.4,4800.0,13.64,12.52,4800.0,14.04,25.44,9.52
instance_1590,195.52,657.92,221.08,86.28,150.12,229.92,407.64,4800.0,59.32,187.24,4800.0,720.76,71.2,413.64,54.8,84.32,229.52,289.0,4800.0,201.48,4800.0,34.36,121.36,66.88,339.56,71.24,70.68,107.68,87.4,398.76,18.32
instance_1034,21.64,4800.0,17.84,4.4,4.08,7.72,5.92,23.4,8.8,3.56,2.88,4800.0,10.48,13.56,6.28,5.12,4800.0,6.2,4800.0,4.76,4800.0,8.52,11.0,4.08,4800.0,4.36,10.68,4800.0,27.4,7.56,5.88
instance_1087,487.88,4800.0,310.2,558.16,1167.8,364.28,625.96,748.92,455.48,371.84,4800.0,4800.0,357.68,290.76,673.64,489.12,4800.0,475.8,4800.0,418.8,4800.0,1595.44,719.0,975.8,4800.0,391.8,368.84,4800.0,575.4,429.52,599.24
