instance,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19,feature_20,feature_21,feature_22,feature_23,feature_24,feature_25,feature_26,feature_27,feature_28,feature_29,feature_30,feature_31,feature_32,feature_33,feature_34,feature_35,feature_36,feature_37,feature_38,feature_39,feature_40,feature_41,feature_42,feature_43,feature_44,feature_45,feature_46,feature_47,feature_48,feature_49,feature_50,feature_51,feature_52,feature_53,feature_54,feature_55,feature_56,feature_57,feature_58,feature_59,feature_60,feature_61,feature_62,feature_63,feature_64,feature_65,feature_66,feature_67,feature_68,feature_69,feature_70,feature_71,feature_72,feature_73,feature_74,feature_75,feature_76,feature_77,feature_78,feature_79,feature_80,feature_81,feature_82,feature_83,feature_84,feature_85,feature_86,feature_87,feature_88,feature_89,feature_90,feature_91,feature_92,feature_93,feature_94,feature_95
instance_53,2.82348,6.99339,2.20169,0.0,0.0,0.0,1.71188,2.80266,0.580135,32.0,0.424993,1.7745,1.37799,2836.87,5083.12,33.0,326.811,9.90335,2.0,2.0,1.0,2521.0,0.0,1.02563,6446.0,17630.3,5550.46,126.0,63.0,1243.0,0.0,0.0,1277.0,1215.0,0.0499802,0.0249901,0.505696,0.0,0.0,0.506545,0.494304,0.0122967,0.0,31.0,0.0,0.0,0.0,,0.0,1.0,0.345322,0.000396668,-0.357847,192.0,11.2019,192.0,1.53392,0.0,0.0,3.0,5.0,0.0,0.0,5.0,5.0,0.0,5.0,0.0,2.89585,17.14,8.13662,1.82949,6.65085,7.01556,2364.0,0.399467,0.534068,0.405426,3451.0,2767.47,3389.36,37.0,1010.0,505.0,0.0,2.0,0.5,1152.0,1124.0,2458.0,0.925956,0.97501,7118.0,42130.0,19999.8
instance_96,2.74359,8.69044,3.07143,0.0,0.0,0.0,0.276452,0.455993,0.399221,0.0,0.996694,3.32839,1.8379,110.418,223.1,8.0,14.5601,6.04439,2.0,2.0,1.0,78.0,0.0,0.438202,224.0,677.854,239.572,0.0,8.0,16.0,0.0,0.0,69.0,162.0,0.0,0.102564,0.0898876,0.0,0.0,0.884615,0.910112,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0128205,1.0,0.831776,0.0128205,-0.139393,66.0,7.42604,66.0,4.26291,0.0,0.0,2.0,0.0,5.0,5.0,5.0,5.0,0.0,0.0,0.0,1.20225,8.88764,4.27512,1.20684,1.50743,1.87317,69.0,4.6498,2.58123,5.75536,264.0,103.406,296.712,7.0,66.0,66.0,0.0,1.0,0.857143,176.0,89.0,178.0,1.48876,2.28205,214.0,1582.0,760.971
instance_55,2.80363,6.8064,2.17015,0.0,0.0,0.0,1.57996,2.59449,0.579017,28.0,0.461561,1.83747,1.4069,2246.87,3985.0,29.0,286.364,9.87461,2.0,2.0,1.0,1981.0,0.0,1.02856,5078.0,13483.5,4299.06,110.0,55.0,975.0,0.0,0.0,1005.0,951.0,0.0555275,0.0277638,0.506231,0.0,0.0,0.50732,0.493769,0.0136295,0.0,27.0,0.0,0.0,0.0,,0.0,1.0,0.346777,0.000504796,-0.383003,136.0,7.31869,136.0,0.977289,0.0,0.0,3.0,5.0,0.0,0.0,5.0,5.0,0.0,5.0,0.0,2.8837,18.5826,8.86668,1.70553,6.46553,6.78209,1844.0,0.436553,0.579357,0.442607,2683.0,2186.43,2714.3,33.0,1009.0,504.5,0.0,2.0,0.5,896.0,872.0,1926.0,0.917965,0.972236,5554.0,35790.0,17077.2
instance_21,3.66019,8.46704,1.66655,0.0,0.0,0.0,2.05026,3.01851,0.493594,0.0,0.802975,3.87507,1.55543,2589.61,3850.5,70.0,186.105,8.34078,1.0,1.0,1.0,2160.0,0.0,1.5265,5859.0,18288.8,3599.74,131.0,608.0,1061.0,0.0,0.0,1395.0,354.0,0.0606481,0.281481,0.749823,0.0,0.0,0.645833,0.250177,0.0,0.0,0.0,0.0,3.0,26.0,0.115385,0.012037,1.0,0.178978,0.000462963,-0.469244,9835.0,972.3,9835.0,37.5974,0.0,5.0,2.0,0.0,5.0,0.0,5.0,5.0,0.0,0.0,0.0,5.58728,10.1152,7.92434,1.74967,25.8343,32.9795,1128.0,1.73563,0.915132,0.720199,1814.0,2247.45,1799.31,60.0,9835.0,9835.0,0.0,2.0,0.0526316,452.0,191.0,1415.0,0.454417,0.655093,7906.0,14313.0,11212.9
instance_99,2.60112,5.28293,1.76094,0.0,0.0,0.0,1.23544,1.73065,0.691108,0.0,1.10187,2.7167,1.50401,852.336,1250.61,74.0,91.8696,5.49185,2.0,2.0,1.0,712.0,0.0,1.03488,1884.0,3761.45,1253.79,141.0,267.0,339.0,0.0,0.0,303.0,349.0,0.198034,0.375,0.492733,0.0,0.0,0.425562,0.507267,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.00140449,1.0,0.37149,0.00140449,-0.458822,45.0,5.32325,45.0,2.38818,0.0,0.0,2.0,0.0,5.0,5.0,5.0,5.0,0.0,0.0,0.0,2.69186,8.45349,3.5157,1.36983,1.81027,1.98548,342.0,2.60296,1.57898,2.70995,1151.0,767.62,1106.24,35.0,45.0,45.0,0.0,1.0,0.0571429,722.0,214.0,688.0,1.36047,0.966292,1852.0,5816.0,2418.8
instance_23,4.69807,14.3726,2.14145,0.0,0.0,0.0,2.43983,3.53365,0.529154,0.0,0.825818,5.39997,2.03694,4339.23,7455.15,108.0,362.208,10.0852,1.0,1.0,1.0,3471.0,0.0,1.81538,9619.0,49887.3,7432.98,211.0,775.0,1533.0,0.0,0.0,2432.0,379.0,0.0607894,0.223279,0.801778,0.0,0.0,0.700663,0.198222,0.0,0.0,0.0,0.0,3.0,53.0,0.0566038,0.0152694,1.0,0.11725,0.000288101,-0.444183,48255.0,1570.34,48255.0,43.7106,0.0,5.0,2.0,0.0,5.0,0.0,5.0,5.0,0.0,0.0,0.0,8.52877,30.7291,26.5228,1.98736,35.9029,41.5968,1617.0,1.58988,1.02597,0.707567,2224.0,3232.64,2685.54,107.0,48255.0,48255.0,0.0,2.0,0.0350877,539.0,157.0,1912.0,0.364017,0.55085,16307.0,58754.0,50711.7
instance_4,2.78519,10.0202,3.61782,0.0,0.0,0.0,1.87401,0.843925,0.639246,0.0,1.02867,3.63654,1.77733,349.165,733.536,88.0,93.4594,6.55459,2.0,2.0,1.0,270.0,0.0,0.756303,723.0,2705.45,976.81,0.0,0.0,87.0,0.0,0.0,183.0,270.0,0.0,0.0,0.243697,0.0,0.0,0.677778,0.756303,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,1.0,0.474734,0.0037037,-1.28191,88.0,2.13991,88.0,1.07334,5.0,0.0,3.0,5.0,0.0,5.0,0.0,5.0,0.0,0.0,0.0,2.10644,41.1232,19.6261,0.409751,1.06202,1.07732,207.0,1.68418,2.10792,2.65545,357.0,339.135,1229.76,7.0,94.0,88.0,0.0,2.0,0.666667,199.0,89.0,357.0,0.806723,1.32222,752.0,14681.0,7006.5
instance_27,5.9292,10.6932,2.18721,0.0,0.0,0.0,2.78177,2.0701,0.785012,0.0,1.92693,3.27533,1.60582,1407.3,2092.24,92.0,315.625,7.97154,1.0,1.0,1.0,904.0,0.0,1.07747,2660.0,9666.64,1977.23,276.0,96.0,504.0,0.0,0.0,410.0,335.0,0.30531,0.106195,0.600715,0.0,0.0,0.45354,0.399285,0.0,0.0,0.0,0.0,1.0,2.0,0.5,0.00221239,4.0,0.626119,0.00442478,-0.250182,241.0,19.8157,60.25,4.75085,0.0,0.0,2.0,0.0,5.0,0.0,5.0,5.0,0.0,5.0,0.0,6.38856,12.1621,2.20636,1.49443,3.96048,4.51309,679.0,1.70674,0.870229,1.34032,808.0,1447.32,1131.28,36.0,251.0,125.5,0.0,1.0,0.0645161,345.0,506.0,839.0,1.0143,0.928097,5360.0,10204.0,1851.13
instance_32,2.84052,6.60212,2.51199,0.0,0.0,0.0,0.764866,0.907869,0.606708,13.0,1.35743,3.03073,1.78463,303.941,566.049,12.0,55.2309,9.34873,2.0,2.0,1.0,232.0,0.0,1.04977,660.0,1531.69,582.783,46.0,12.0,178.0,0.0,0.0,172.0,43.0,0.198276,0.0517241,0.80543,0.0,0.0,0.741379,0.19457,0.0,0.0,0.0,0.0,1.0,2.0,0.5,0.00862069,1.0,0.335357,0.00431034,-0.569137,652.0,24.3358,652.0,7.34619,0.0,5.0,2.0,0.0,5.0,0.0,5.0,5.0,0.0,0.0,0.0,2.9819,26.7919,14.5776,1.16781,3.17658,3.89189,207.0,0.788973,1.13574,0.94526,219.0,271.997,437.547,24.0,652.0,652.0,0.0,2.0,0.285714,24.0,210.0,221.0,1.05882,0.952586,659.0,5921.0,3221.65
instance_34,2.84052,7.32346,2.73057,0.0,0.0,0.0,0.764866,1.31886,0.818779,13.0,1.35743,3.03073,1.84366,303.941,574.676,12.0,95.798,14.4308,2.0,2.0,1.0,232.0,0.0,1.04977,660.0,1699.04,633.492,46.0,12.0,178.0,0.0,0.0,172.0,43.0,0.198276,0.0517241,0.80543,0.0,0.0,0.741379,0.19457,0.0,0.0,0.0,0.0,1.0,2.0,0.5,0.00862069,1.0,0.335357,0.00431034,-0.569137,22086.0,43.16,22086.0,8.15877,0.0,5.0,2.0,0.0,5.0,0.0,5.0,5.0,0.0,0.0,0.0,2.9819,511.724,305.537,1.16781,5.16744,6.01328,207.0,0.788973,1.13574,0.94526,219.0,271.997,523.763,24.0,22086.0,22086.0,0.0,2.0,0.285714,24.0,210.0,221.0,1.05882,0.952586,659.0,113091.0,67523.6
