instance,algorithm_1,algorithm_2,algorithm_3,algorithm_4,algorithm_5,algorithm_6,algorithm_7,algorithm_8,algorithm_9,algorithm_10,algorithm_11,algorithm_12,algorithm_13,algorithm_14,algorithm_15,algorithm_16,algorithm_17,algorithm_18,algorithm_19,algorithm_20
instance_68,12000.0,12000.0,12000.0,12000.0,12000.0,120.267,12000.0,0.491,12000.0,12000.0,12000.0,12000.0,12000.0,12000.0,12000.0,12000.0,12000.0,12000.0,12000.0,12000.0
instance_25,12000.0,3.642,9.125,12000.0,12000.0,3.436,2.2,0.484,105.303,12000.0,5.904,1.095,0.518,12000.0,4.474,4.761,12000.0,12000.0,12000.0,64.306
instance_94,12000.0,12000.0,12000.0,12000.0,12000.0,132.972,12000.0,12000.0,12000.0,12000.0,12000.0,12000.0,12000.0,12000.0,12000.0,12000.0,12000.0,12000.0,12000.0,12000.0
instance_99,12000.0,0.589,0.882,12000.0,12000.0,0.34,0.11,0.162,2.712,39.845,0.324,0.17300000000000001,0.10200000000000001,4.955,0.187,1.4060000000000001,12000.0,516.482,12000.0,6.649
instance_37,127.10900000000001,8.523,31.07,152.887,12000.0,1.416,5.353,0.053,11.539,84.394,1.172,0.335,1.193,52.348,15.933,35.856,142.873,7.299,108.697,6.905
instance_20,12000.0,0.404,27.559,1.847,12000.0,0.388,0.384,26.108,11.438,0.649,0.47000000000000003,1.135,0.523,6.408,0.554,20.133,12000.0,12000.0,12000.0,8.318
instance_16,12000.0,8.88,11.931000000000001,0.355,12000.0,0.188,0.091,3.583,0.41400000000000003,0.127,0.158,0.492,0.126,4.07,0.126,20.513,12000.0,7.824,12000.0,0.996
instance_57,112.428,45.97,4.667,66.661,576.957,11.771,1.746,0.979,63.574,6.94,6.828,0.34,0.176,12000.0,11.582,6.4750000000000005,42.975,21.365000000000002,59.358000000000004,795.523
instance_46,12000.0,1088.674,4.766,0.397,12000.0,0.047,0.052000000000000005,0.054,0.053,12000.0,0.044,0.045,825.1610000000001,12000.0,12000.0,12000.0,12000.0,12000.0,12000.0,0.042
instance_6,92.399,12000.0,12000.0,127.789,12000.0,12000.0,130.135,4.946,12000.0,12000.0,12000.0,4.807,4.93,12000.0,12000.0,12000.0,12000.0,115.95100000000001,113.354,12000.0
instance_12,102.637,12000.0,2.935,157.763,285.196,1.682,2.962,1.331,8.172,380.343,1.951,1.336,3.733,12000.0,326.17400000000004,93.018,29.643,68.657,152.416,2.439
instance_38,12000.0,12000.0,12000.0,12000.0,12000.0,27.663,12000.0,13.254,12000.0,12000.0,25.061,12000.0,12000.0,12000.0,12000.0,12000.0,12000.0,12000.0,12000.0,12000.0
instance_65,12000.0,12000.0,12000.0,0.298,12000.0,12000.0,12000.0,12000.0,12000.0,12000.0,12000.0,12000.0,12000.0,12000.0,12000.0,12000.0,0.061,0.552,12000.0,12000.0
