instance,algorithm_1,algorithm_2,algorithm_3,algorithm_4,algorithm_5,algorithm_6,algorithm_7,algorithm_8
instance_671,514.2,28800.0,343.2,734.72,368.04,28800.0,23.56,256.88
instance_163,38.0,249.4,4.56,6473.0,6.16,372.16,7.28,28.64
instance_109,1.6,697.68,0.2,30.44,2.0,959.52,4.32,1.04
instance_694,63.32,28800.0,80.2,8299.4,105.68,28800.0,1127.04,111.48
instance_666,31.04,5.48,21.92,4433.52,37.84,7.2,3.76,31.4
instance_620,353.44,672.6,291.16,48.84,323.08,28800.0,71.8,405.12
instance_1092,19.88,28800.0,41.96,106.4,55.72,28800.0,1.04,20.6
instance_228,1156.8,28800.0,1227.44,28800.0,1762.36,28800.0,27558.12,1059.96
instance_146,412.08,28800.0,287.68,28800.0,310.04,28800.0,28800.0,316.2
instance_1168,28800.0,1.08,20183.24,8.48,12704.88,1.04,1.84,25438.0
instance_148,6503.36,28800.0,15471.44,28800.0,16538.8,28800.0,28800.0,7081.4
instance_517,0.04,28800.0,0.08,16.16,0.04,28800.0,0.92,0.08
instance_359,30.72,483.96,23.24,264.8,39.52,628.56,298.44,22.28
instance_614,16.16,28800.0,3.84,31.92,6.76,28800.0,3.8,3.88
instance_660,47.36,28800.0,62.6,28800.0,51.6,28800.0,28800.0,58.8
instance_731,117.32,11.72,165.12,31.6,201.56,12.96,34.56,129.92
instance_1062,3.88,468.68,3.72,105.72,4.16,436.96,3.24,3.56
instance_638,87.28,28800.0,165.04,28800.0,230.6,28800.0,28800.0,77.72
instance_1031,13587.36,1372.36,11906.2,136.04,13481.32,1274.6,1874.04,18755.84
instance_823,29.0,24.12,15.16,53.56,32.56,22.6,3.72,19.8
instance_1070,106.56,1.56,643.4,39.32,710.56,28800.0,21.92,101.04
instance_322,11.52,16.88,1.12,377.4,8.96,27.88,3.84,3.64
instance_907,9.24,58.28,0.48,366.32,2.72,55.52,3.28,1.4
instance_797,60.6,28800.0,33.28,28800.0,125.76,28800.0,26193.32,29.2
instance_188,2349.92,28800.0,2612.68,28800.0,2541.08,28800.0,28800.0,2614.72
instance_348,3.76,99.92,1.88,32.0,3.92,151.68,123.84,2.76
instance_580,11.6,28800.0,3.28,28800.0,5.64,28800.0,18.44,9.04
instance_274,28800.0,1176.4,28800.0,37.92,28800.0,4516.24,1101.04,28800.0
instance_986,185.24,2903.84,279.2,8631.52,311.92,3149.44,299.36,203.72
instance_922,2368.24,149.84,13493.84,129.68,10210.96,150.16,134.44,1742.12
instance_1098,28800.0,28800.0,28800.0,656.92,28800.0,28800.0,38.28,28800.0
instance_585,150.48,28800.0,449.8,28800.0,416.84,28800.0,28800.0,133.28
instance_253,1456.24,0.12,669.4,12.96,437.68,0.96,3.56,1358.36
instance_962,149.0,28800.0,359.52,28800.0,621.12,28800.0,28800.0,180.2
instance_557,11.4,28800.0,8.36,74.24,10.28,28800.0,238.12,10.88
instance_764,263.52,28800.0,361.04,28800.0,361.8,28800.0,28800.0,214.04
instance_1113,22.28,28800.0,22.64,252.28,11.36,28800.0,11.8,7.44
instance_171,14.4,60.56,24.8,107.56,26.36,57.64,3.44,15.72
instance_304,177.64,28800.0,145.56,28800.0,167.32,28800.0,18076.76,201.8
instance_458,0.08,28800.0,0.12,5.0,0.12,28800.0,0.52,0.08
instance_286,13.36,28800.0,11.92,28800.0,25.72,28800.0,389.76,7.6
instance_680,77.08,113.76,77.4,64.68,63.0,109.28,8.4,59.92
instance_945,327.76,28800.0,385.08,1189.72,347.52,28800.0,38.24,188.44
instance_224,226.24,28800.0,382.16,1094.24,328.56,28800.0,2062.16,184.32
instance_699,28800.0,28800.0,28800.0,28800.0,28800.0,28800.0,3434.64,28800.0
instance_230,6085.16,28800.0,4035.32,8439.04,5539.56,28800.0,5747.96,4111.16
instance_1176,4583.6,0.4,2522.0,8.64,3122.32,0.44,1.56,2872.64
instance_576,3.72,28800.0,1.44,28800.0,3.84,28800.0,35.4,3.72
instance_7,7.28,28800.0,3.2,81.92,10.4,28800.0,4.16,4.16
instance_1065,1500.4,28800.0,1396.76,28800.0,1321.72,28800.0,28800.0,1642.28
instance_882,14.76,28800.0,1.28,80.8,13.2,28800.0,21.76,8.4
instance_33,48.0,28800.0,21.16,27.76,42.6,28800.0,28800.0,23.2
instance_909,1622.36,28800.0,1072.76,28800.0,1130.0,28800.0,28800.0,1071.72
instance_1059,28800.0,196.6,28800.0,359.88,28800.0,358.52,6332.36,28800.0
instance_245,383.08,1.12,89.72,20.16,261.96,4.0,9.48,605.16
instance_677,90.72,28800.0,288.16,28800.0,345.8,28800.0,835.44,90.32
instance_655,6540.56,28800.0,18335.36,28800.0,20418.56,28800.0,28800.0,6806.6
instance_571,28800.0,249.4,28800.0,455.24,28800.0,253.04,523.2,28800.0
instance_110,3.24,645.64,1.92,76.72,3.24,1138.24,11.32,2.28
instance_613,3.6,28800.0,2.24,4.32,5.16,28800.0,1.08,7.76
instance_874,143.48,28800.0,163.88,28800.0,183.64,28800.0,458.12,156.52
instance_132,28800.0,28800.0,23377.08,28800.0,28800.0,28800.0,28800.0,28800.0
instance_239,142.64,1.24,67.6,20.24,116.48,4.24,8.0,62.56
instance_194,22930.08,28800.0,10034.16,28800.0,12509.36,28800.0,11211.32,28800.0
