instance,algorithm_1,algorithm_2,algorithm_3,algorithm_4,algorithm_5,algorithm_6,algorithm_7,algorithm_8
instance_1015,18.28,1469.48,14.08,260.36,23.16,1402.08,296.32,30.72
instance_712,128.72,28800.0,209.64,9818.96,204.48,28800.0,1044.2,70.16
instance_272,402.48,19.2,371.28,88.04,377.32,1263.4,5.32,469.96
instance_431,6.04,28800.0,4.76,28800.0,6.64,28800.0,8.12,5.52
instance_800,28800.0,28800.0,28800.0,28800.0,28800.0,28800.0,9847.52,28800.0
instance_118,913.32,2541.72,1055.24,3776.92,1382.44,28800.0,483.48,821.36
instance_330,19.88,16.28,1.64,475.6,23.88,31.76,4.64,9.4
instance_1133,10415.8,28800.0,272.4,28800.0,104.96,28800.0,266.64,9485.0
instance_236,14.64,0.16,42.52,11.04,111.6,1.84,3.12,25.48
instance_852,36.64,28800.0,32.68,748.48,41.4,28800.0,409.24,43.44
instance_222,7.04,28800.0,3.04,260.32,4.92,28800.0,3.24,6.64
instance_894,1385.52,28800.0,1193.0,28800.0,1469.48,28800.0,28800.0,971.92
instance_1088,13.84,28800.0,0.72,68.12,1.28,28800.0,0.92,3.08
instance_586,178.16,28800.0,433.56,28800.0,786.88,28800.0,28800.0,163.56
instance_684,113.68,854.4,124.16,109.72,108.24,862.0,236.08,99.56
instance_558,2.64,41.48,1.84,108.4,4.44,40.68,2.08,1.64
instance_856,69.76,28800.0,172.04,28800.0,97.0,28800.0,383.32,57.48
instance_747,180.76,28800.0,289.6,28800.0,325.6,28800.0,28800.0,152.4
instance_264,10.68,545.52,12.08,22.44,20.44,2915.56,3.96,7.96
instance_426,3491.8,28800.0,2886.36,28800.0,3409.84,28800.0,28800.0,3750.44
instance_679,27.48,7.6,40.56,26.72,29.64,6.36,3.92,26.0
instance_683,273.08,3017.0,291.84,6291.76,226.36,3456.84,376.28,159.0
instance_55,11212.68,28800.0,3492.28,957.12,4016.88,28800.0,28800.0,10220.48
instance_670,5228.6,28800.0,6090.96,28800.0,6667.32,28800.0,28800.0,6175.8
instance_1153,1943.32,28800.0,1095.44,28800.0,1804.6,28800.0,28800.0,1444.48
instance_691,87.2,28800.0,199.0,28800.0,230.6,28800.0,23811.6,101.6
instance_1038,370.08,1744.44,567.68,28800.0,577.96,1625.92,568.84,534.12
instance_440,13.24,2539.24,18.72,82.08,18.2,28800.0,2.88,8.16
