instance,algorithm_1,algorithm_2,algorithm_3,algorithm_4,algorithm_5,algorithm_6,algorithm_7,algorithm_8,algorithm_9,algorithm_10,algorithm_11,algorithm_12,algorithm_13,algorithm_14,algorithm_15,algorithm_16,algorithm_17,algorithm_18
instance_326,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0
instance_323,18000.0,18000.0,18000.0,18000.0,1038.32,81.29,18000.0,1020.67,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,215.2,225.89,327.37,18000.0
instance_365,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,1780.39,18000.0,18000.0,18000.0,18000.0
instance_82,18000.0,18000.0,18000.0,18000.0,131.12,130.54,18000.0,53.31,18000.0,18000.0,18000.0,18000.0,18000.0,171.22,18000.0,18000.0,43.69,20.68
instance_137,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,317.67,18000.0,18000.0,18000.0,654.89
instance_6,18000.0,0.52,18000.0,0.42,0.01,0.01,0.43,0.01,18000.0,0.05,18000.0,18000.0,18000.0,0.4,0.01,0.02,0.02,0.16
instance_29,1.16,0.13,0.42,0.11,0.0,0.01,0.12,0.0,0.04,0.07,0.44,0.04,0.04,1.19,0.0,0.02,0.01,0.12
instance_615,28.64,18000.0,1175.07,4.75,0.13,0.08,4.91,0.09,18000.0,0.62,18000.0,27.37,18000.0,0.12,0.08,0.26,0.26,0.34
instance_78,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,288.34,18000.0,18000.0,18000.0,431.51
instance_379,18000.0,18000.0,18000.0,202.46,18000.0,18000.0,214.43,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,619.76,18000.0,18000.0,18000.0,357.11
