instance,algorithm_1,algorithm_2,algorithm_3,algorithm_4,algorithm_5,algorithm_6,algorithm_7,algorithm_8,algorithm_9,algorithm_10,algorithm_11,algorithm_12,algorithm_13,algorithm_14,algorithm_15,algorithm_16,algorithm_17,algorithm_18,algorithm_19,algorithm_20
instance_1,242.45000000000002,0.603,2.141,12000.0,164.806,0.153,4.8340000000000005,0.055,2.8890000000000002,5.182,0.137,0.113,0.084,17.887,7.45,9.832,441.721,12000.0,12000.0,0.863
instance_3,12000.0,1.901,8.203,12000.0,12000.0,0.46900000000000003,10.726,0.081,13.58,150.514,0.559,0.271,0.39,381.97,274.64,380.342,12000.0,12000.0,12000.0,17.125
instance_4,12000.0,3.6670000000000003,10.318,12000.0,12000.0,0.433,13.861,0.065,2.203,115.427,0.505,2.0020000000000002,0.319,12000.0,12000.0,12000.0,12000.0,12000.0,12000.0,2.104
instance_5,653.831,0.47100000000000003,2.815,12000.0,12000.0,0.14400000000000002,3.1550000000000002,0.06,1.441,4.492,0.28700000000000003,0.176,0.093,34.026,6.075,4.743,12000.0,12000.0,12000.0,0.988
instance_6,92.399,12000.0,12000.0,127.789,12000.0,12000.0,130.135,4.946,12000.0,12000.0,12000.0,4.807,4.93,12000.0,12000.0,12000.0,12000.0,115.95100000000001,113.354,12000.0
instance_7,103.486,12000.0,12000.0,136.887,12000.0,12000.0,43.910000000000004,3.702,12000.0,12000.0,12000.0,5.045,1.223,12000.0,12000.0,12000.0,12000.0,111.09700000000001,118.053,12000.0
instance_8,397.92400000000004,12000.0,12000.0,220.376,12000.0,12000.0,49.627,1.219,12000.0,12000.0,12000.0,7.582,1.569,12000.0,12000.0,12000.0,12000.0,110.745,160.044,12000.0
instance_12,102.637,12000.0,2.935,157.763,285.196,1.682,2.962,1.331,8.172,380.343,1.951,1.336,3.733,12000.0,326.17400000000004,93.018,29.643,68.657,152.416,2.439
instance_13,12000.0,12000.0,12000.0,12000.0,12000.0,12000.0,12000.0,12000.0,12000.0,12000.0,12000.0,12000.0,12000.0,12000.0,12000.0,12000.0,12000.0,12000.0,12000.0,12000.0
instance_14,12000.0,12000.0,12000.0,12000.0,12000.0,12000.0,12000.0,12000.0,12000.0,12000.0,12000.0,12000.0,12000.0,12000.0,12000.0,12000.0,12000.0,12000.0,12000.0,12000.0
