instance,algorithm_1,algorithm_2,algorithm_3,algorithm_4,algorithm_5,algorithm_6,algorithm_7,algorithm_8
instance_1071,204.24,1.44,821.32,39.52,914.44,28800.0,23.52,252.24
instance_700,15489.16,28800.0,10870.72,28800.0,10738.52,28800.0,28800.0,19326.0
instance_1049,28800.0,61.92,1475.32,152.36,2167.2,64.44,296.72,28800.0
instance_1137,284.56,28800.0,22.48,28800.0,81.96,28800.0,618.24,236.76
instance_412,939.0,28800.0,1088.08,82.8,1133.2,28800.0,2142.72,888.72
instance_713,1800.52,28800.0,2183.4,544.84,2138.28,28800.0,2344.48,2080.76
instance_160,2189.88,674.0,128.92,289.68,135.64,801.04,303.2,2111.08
instance_592,373.04,28800.0,654.2,28800.0,549.04,28800.0,28800.0,274.96
instance_641,142.76,28800.0,148.6,28800.0,166.52,28800.0,28800.0,94.24
instance_1140,24732.68,28800.0,3386.56,28800.0,3840.36,28800.0,462.52,12054.08
instance_517,0.04,28800.0,0.08,16.16,0.04,28800.0,0.92,0.08
instance_202,29.92,420.28,25.36,139.76,46.08,390.68,224.92,15.76
instance_1081,3663.64,0.8,3671.64,9.92,3926.0,0.8,1.6,3224.72
instance_1029,284.24,28800.0,401.96,28800.0,368.72,28800.0,28800.0,230.08
instance_1037,942.28,160.4,1153.16,65.76,962.56,151.0,430.28,863.68
instance_309,866.4,28800.0,361.2,28800.0,328.48,28800.0,28800.0,673.6
instance_456,2379.28,3763.48,2241.32,281.12,4070.84,6791.52,262.6,2133.88
instance_762,96.96,28800.0,96.48,28800.0,242.92,28800.0,28800.0,83.44
instance_728,20960.68,28800.0,12915.52,28800.0,10700.96,28800.0,28800.0,26343.36
instance_807,14.56,28800.0,4.84,28800.0,17.68,28800.0,28800.0,6.52
instance_733,0.96,28800.0,0.08,6.96,0.56,28800.0,0.84,0.6
instance_652,505.72,28800.0,585.4,1436.72,587.48,28800.0,2486.72,526.44
instance_1165,167.0,0.44,141.16,5.08,169.04,0.4,1.04,131.04
instance_479,538.4,0.4,326.96,335.8,353.52,0.48,18.8,533.92
instance_773,64.64,271.88,94.28,88.24,108.36,577.52,4.84,74.76
instance_79,22.32,28800.0,26.88,28800.0,55.44,28800.0,28800.0,12.16
instance_929,28800.0,28800.0,28800.0,2476.52,28800.0,28800.0,2494.96,28800.0
instance_308,577.96,28800.0,369.08,28800.0,341.36,28800.0,28800.0,603.0
instance_313,50.72,0.64,57.44,13.08,69.04,1.8,3.92,33.68
instance_1015,18.28,1469.48,14.08,260.36,23.16,1402.08,296.32,30.72
instance_194,22930.08,28800.0,10034.16,28800.0,12509.36,28800.0,11211.32,28800.0
instance_37,868.2,28800.0,1017.92,602.44,1362.8,28800.0,28800.0,796.96
instance_722,10442.72,548.64,4367.28,93.72,4843.84,559.6,1240.92,9359.52
instance_851,25.6,28800.0,8.88,28800.0,41.76,28800.0,28800.0,25.96
instance_1042,158.44,34.52,224.96,52.56,213.92,32.32,256.96,168.44
instance_810,1385.24,1296.36,4158.16,1330.8,4144.48,1339.6,160.32,1595.84
instance_747,180.76,28800.0,289.6,28800.0,325.6,28800.0,28800.0,152.4
instance_806,116.4,28800.0,126.4,28800.0,215.88,28800.0,28800.0,121.28
instance_1063,786.28,28800.0,701.36,28800.0,858.16,28800.0,6486.96,656.4
instance_149,471.84,28800.0,378.28,28800.0,442.68,28800.0,28800.0,301.52
instance_460,5.48,28800.0,0.2,390.88,0.8,28800.0,1.04,2.64
instance_253,1456.24,0.12,669.4,12.96,437.68,0.96,3.56,1358.36
instance_686,117.92,28800.0,271.04,28800.0,217.24,28800.0,28800.0,104.44
instance_87,89.6,114.44,74.12,42.08,67.36,150.04,11.36,89.52
instance_761,10.2,871.84,2.52,1206.0,5.76,846.76,3.4,3.76
instance_174,271.52,329.92,269.48,60.6,272.48,331.0,556.64,331.6
instance_370,8.92,460.48,1.36,67.96,6.64,549.56,254.08,3.28
instance_291,30.52,28800.0,64.52,28800.0,56.56,28800.0,115.28,17.24
instance_102,28800.0,109.96,28800.0,1961.68,28800.0,202.0,1112.8,28800.0
instance_114,6.6,358.12,9.2,29.0,8.76,997.48,2.76,3.32
instance_826,22.24,294.2,19.0,182.04,56.96,283.16,3.8,20.04
instance_1002,43.88,28800.0,86.4,286.12,81.96,28800.0,880.04,82.84
instance_748,114.56,3226.88,557.6,384.0,489.84,3060.56,347.08,114.44
instance_1013,21.32,28800.0,17.56,2657.68,32.72,28800.0,82.52,15.52
instance_477,42.88,3096.16,25.4,28800.0,46.72,28800.0,3794.4,37.04
instance_1117,340.84,28800.0,95.2,28800.0,33.64,28800.0,206.36,487.08
instance_895,122.96,28800.0,57.96,28800.0,82.56,28800.0,28800.0,102.32
instance_343,28800.0,730.8,28800.0,1851.84,28800.0,916.84,28800.0,28800.0
instance_113,3.92,208.16,2.08,30.56,4.76,517.4,2.4,3.08
instance_1072,1915.08,1.44,1860.4,39.8,1621.44,28800.0,28.08,1573.6
instance_463,5.8,28800.0,0.64,164.88,0.96,28800.0,8.04,3.84
instance_62,28800.0,28800.0,28800.0,4842.16,28800.0,28800.0,28800.0,28800.0
instance_281,300.28,28800.0,281.72,28800.0,383.72,28800.0,28800.0,279.76
instance_1178,28800.0,4.96,28800.0,38.0,28800.0,4.84,9.24,28800.0
instance_1066,28692.88,28800.0,13958.0,28800.0,20564.84,28800.0,28800.0,28800.0
instance_389,46.2,2098.88,27.88,2854.44,47.56,2273.4,350.76,20.64
instance_1179,28800.0,7.72,28800.0,52.16,28800.0,8.16,20.4,28800.0
instance_655,6540.56,28800.0,18335.36,28800.0,20418.56,28800.0,28800.0,6806.6
instance_1106,12.52,28800.0,1.48,260.48,3.32,28800.0,10.56,18.16
instance_1123,1.44,28800.0,0.56,21.6,0.96,28800.0,2.24,1.76
instance_660,47.36,28800.0,62.6,28800.0,51.6,28800.0,28800.0,58.8
instance_511,270.88,28800.0,428.16,28800.0,492.64,28800.0,1870.16,212.28
instance_687,61.16,526.36,189.44,141.44,170.8,442.56,12.6,61.28
instance_902,3110.16,28800.0,3966.48,28800.0,4081.04,28800.0,1081.76,3347.2
instance_948,70.88,28800.0,43.28,31.56,58.48,28800.0,132.28,45.88
instance_522,3096.4,28800.0,3382.28,28800.0,3557.4,28800.0,24.8,2752.88
instance_106,1.36,40.88,0.36,56.88,1.28,59.16,4.12,0.8
instance_185,86.0,28800.0,146.2,28800.0,201.48,28800.0,368.12,61.4
instance_416,358.0,28800.0,409.16,59.84,422.76,28800.0,978.28,315.32
instance_151,2278.36,28800.0,2043.56,28800.0,2032.72,28800.0,28800.0,1682.12
instance_554,5040.4,2071.56,4630.28,152.68,4723.68,28800.0,468.36,6465.28
instance_25,16.32,28800.0,8.72,64.84,15.4,28800.0,7.96,16.2
instance_431,6.04,28800.0,4.76,28800.0,6.64,28800.0,8.12,5.52
instance_953,64.6,28800.0,171.8,28800.0,160.88,28800.0,28800.0,105.92
instance_1132,4374.24,28800.0,28.68,28800.0,41.8,28800.0,273.8,5627.0
instance_855,6073.92,28800.0,7618.2,28800.0,6604.72,28800.0,775.92,3736.56
instance_626,7.76,983.48,3.24,118.52,6.32,28800.0,8.84,4.88
instance_1012,2527.0,28800.0,4369.2,1811.56,4295.36,28800.0,678.48,2880.12
instance_965,262.64,28800.0,338.44,28800.0,594.6,28800.0,28800.0,238.16
instance_514,0.04,28800.0,0.08,13.76,0.08,28800.0,1.2,0.08
instance_963,25.6,274.0,53.32,35.68,53.64,280.04,23.88,21.4
instance_712,128.72,28800.0,209.64,9818.96,204.48,28800.0,1044.2,70.16
instance_327,15.64,21.88,2.08,672.36,26.8,35.92,5.44,11.96
instance_28,23.52,28800.0,4.96,48.56,17.04,28800.0,4242.6,10.2
instance_1052,307.8,52.48,350.36,65.04,411.4,47.32,16.76,253.2
instance_1120,28800.0,28800.0,28800.0,3296.72,28800.0,28800.0,10380.96,28800.0
instance_276,28800.0,1541.6,28800.0,44.8,28800.0,6021.88,1595.28,28800.0
instance_1155,9.12,28800.0,6.2,28800.0,8.64,28800.0,26.36,6.48
instance_901,250.64,28800.0,397.64,28800.0,415.88,28800.0,28800.0,231.48
instance_59,69.76,2217.28,107.68,141.8,86.52,4455.12,6.6,73.52
instance_75,6.96,28800.0,2.28,28800.0,13.16,28800.0,28800.0,3.72
instance_1025,2580.48,56.6,2426.0,42.96,4665.84,54.72,150.32,2555.0
instance_260,3.12,936.52,0.68,12.44,5.84,1058.08,2.2,0.88
instance_548,6483.84,28800.0,4805.56,28800.0,5542.84,28800.0,28800.0,8026.4
instance_215,247.16,28800.0,354.2,464.16,385.76,28800.0,748.84,175.0
instance_144,60.28,28800.0,73.0,28800.0,76.56,28800.0,28800.0,44.52
instance_947,2.68,224.08,0.52,241.08,3.24,215.48,3.24,0.8
instance_740,154.24,28800.0,198.12,28800.0,224.72,28800.0,28800.0,144.6
