instance,algorithm_1,algorithm_2,algorithm_3,algorithm_4,algorithm_5,algorithm_6,algorithm_7,algorithm_8,algorithm_9,algorithm_10,algorithm_11,algorithm_12,algorithm_13,algorithm_14,algorithm_15,algorithm_16,algorithm_17,algorithm_18,algorithm_19,algorithm_20,algorithm_21,algorithm_22,algorithm_23,algorithm_24,algorithm_25,algorithm_26,algorithm_27,algorithm_28,algorithm_29,algorithm_30,algorithm_31
instance_113,4800.0,4800.0,4800.0,4804.0,4800.0,4804.0,4800.0,4800.0,4804.0,4800.0,4800.0,4800.0,3787.84,4804.0,2868.44,1069.2,4800.0,4800.0,4800.0,4526.8,4800.0,4800.0,4800.0,4800.0,4800.0,4804.0,3400.44,4800.0,4800.0,4800.0,583.56
instance_973,4221.2,188.44,1420.96,236.76,369.4,4800.0,436.56,4800.0,561.68,4800.0,4800.0,21.96,492.2,881.88,1619.48,47.72,19.72,291.16,4800.0,340.2,75.96,1377.08,1530.6,4800.0,39.72,4800.0,472.52,97.72,2420.16,531.72,188.68
instance_1498,4800.0,4800.0,4800.0,4800.0,4800.0,4800.0,2284.92,4800.0,4800.0,4800.0,4800.0,4800.0,4800.0,4800.0,4800.0,4800.0,4800.0,3533.44,4800.0,4800.0,4800.0,4800.0,4800.0,4800.0,4800.0,4800.0,4800.0,4800.0,4800.0,4800.0,4800.0
instance_766,0.0,0.0,0.2,0.0,0.08,0.0,0.0,0.0,0.0,0.12,0.08,0.0,0.0,0.0,3406.44,621.0,0.0,0.0,0.0,0.16,0.0,0.64,0.0,28.4,0.0,0.0,0.0,0.0,0.04,0.0,0.2
instance_335,4800.0,4800.0,4800.0,4800.0,4800.0,4800.0,4800.0,4800.0,4800.0,4800.0,4800.0,4800.0,4800.0,4800.0,4800.0,4800.0,4800.0,4800.0,4800.0,4800.0,4800.0,4800.0,4800.0,4800.0,2275.44,4800.0,4800.0,4800.0,4800.0,4800.0,4800.0
instance_84,4800.0,0.96,4800.0,4800.0,4800.0,4800.0,4800.0,4800.0,4800.0,4800.0,4800.0,0.4,4.64,4800.0,4800.0,4800.0,9.6,4800.0,0.04,4800.0,0.28,4800.0,4800.0,4800.0,0.6,4800.0,4.72,0.04,4800.0,3.88,4800.0
instance_544,4800.0,0.52,4800.0,4800.0,4800.0,4800.0,4800.0,4800.0,4800.0,4800.0,4800.0,4.68,5.32,4800.0,4800.0,4800.0,175.96,4800.0,0.36,4800.0,0.56,4800.0,4800.0,4800.0,3.28,4800.0,5.36,2.92,4800.0,4.84,4800.0
instance_403,4804.0,4800.0,4800.0,3672.92,4800.0,4800.0,4800.0,4800.0,4804.0,4800.0,4800.0,4800.0,4800.0,4804.0,4804.0,4800.0,4800.0,1741.92,4800.0,4800.0,4800.0,4800.0,4800.0,4800.0,4800.0,3056.6,4800.0,4800.0,4800.0,4800.0,4800.0
instance_1554,1721.4,0.16,4800.0,448.32,4800.0,2130.76,2028.88,4800.0,4127.6,1661.24,53.76,0.08,2.6,4800.0,4800.0,4800.0,0.12,460.0,0.04,4800.0,0.04,4800.0,870.44,1834.36,0.12,4800.0,2.64,0.2,4800.0,2.6,4800.0
instance_518,4800.0,0.16,4800.0,4800.0,4800.0,4800.0,4800.0,4800.0,4800.0,4800.0,4800.0,2.68,57.32,4800.0,4800.0,4800.0,7.0,4800.0,0.88,4800.0,0.96,4800.0,4800.0,4800.0,1.64,4800.0,57.08,0.28,4800.0,35.76,4800.0
instance_1372,4804.0,4800.0,173.8,115.84,109.48,219.12,947.64,504.52,221.04,3909.68,4800.0,4800.0,548.84,157.24,82.12,44.88,4800.0,174.12,4800.0,75.28,4800.0,4800.0,160.28,1129.88,4800.0,177.92,534.12,4800.0,317.96,218.6,80.24
instance_1146,322.12,4800.0,796.08,105.44,80.32,372.72,203.24,4257.2,176.36,38.2,10.84,4800.0,194.4,328.96,103.28,77.2,4800.0,329.48,4800.0,151.2,4800.0,139.0,203.16,46.48,4800.0,81.36,191.4,4800.0,822.64,135.16,169.68
instance_1119,1029.76,4800.0,1170.6,1803.64,1634.2,3487.92,2207.88,4800.0,2877.28,915.6,4800.0,4800.0,4800.0,1512.6,1016.04,991.88,4800.0,1453.24,4800.0,1481.8,4800.0,2185.08,4800.0,1261.0,4800.0,1826.28,2941.24,4800.0,785.36,3564.76,4800.0
instance_443,4800.0,0.44,4800.0,4800.0,4800.0,4800.0,4800.0,4800.0,4800.0,4800.0,351.32,0.64,3.44,4800.0,4800.0,4800.0,0.72,4800.0,0.4,4800.0,0.4,4800.0,4800.0,4800.0,0.36,4800.0,3.44,0.44,4800.0,2.84,4800.0
