instance,algorithm_1,algorithm_2,algorithm_3,algorithm_4,algorithm_5,algorithm_6,algorithm_7,algorithm_8
instance_731,117.32,11.72,165.12,31.6,201.56,12.96,34.56,129.92
instance_565,27.12,28.84,29.16,111.08,40.44,27.96,18.4,19.92
instance_1120,28800.0,28800.0,28800.0,3296.72,28800.0,28800.0,10380.96,28800.0
instance_258,1.52,251.48,0.84,18.4,2.64,669.68,1.48,1.04
instance_189,3060.0,28800.0,3776.72,28800.0,3832.04,28800.0,28800.0,3433.36
instance_908,30.72,784.52,17.88,4164.28,26.64,754.72,2.08,22.24
instance_675,33.28,112.24,57.64,51.92,43.4,107.92,5.12,29.8
instance_184,110.76,28800.0,220.4,28800.0,211.56,28800.0,367.24,57.16
instance_573,15.44,31.08,9.76,109.84,17.36,29.76,5.16,5.44
instance_641,142.76,28800.0,148.6,28800.0,166.52,28800.0,28800.0,94.24
instance_763,1964.72,28800.0,1819.64,28800.0,1718.76,28800.0,4678.96,2893.12
instance_997,3.28,8.08,0.92,22.16,3.44,7.84,3.52,3.04
instance_192,4720.8,28800.0,2569.4,28800.0,2607.36,28800.0,1831.32,1772.76
instance_1174,28800.0,9.2,28800.0,56.2,28800.0,9.12,34.16,28800.0
instance_317,28800.0,7.04,28800.0,55.88,28800.0,8.52,26.8,28800.0
instance_209,45.96,28800.0,20.52,257.84,30.2,28800.0,271.12,33.92
instance_1172,17619.48,1.0,6867.12,8.24,14526.04,0.96,2.0,22078.68
instance_882,14.76,28800.0,1.28,80.8,13.2,28800.0,21.76,8.4
instance_712,128.72,28800.0,209.64,9818.96,204.48,28800.0,1044.2,70.16
instance_660,47.36,28800.0,62.6,28800.0,51.6,28800.0,28800.0,58.8
instance_100,615.36,9.76,556.64,84.4,557.48,17.32,289.0,632.84
instance_458,0.08,28800.0,0.12,5.0,0.12,28800.0,0.52,0.08
instance_798,28800.0,23760.84,28800.0,13474.12,28800.0,23274.6,28800.0,28800.0
instance_498,28800.0,266.04,28800.0,28800.0,28800.0,286.36,1726.16,28800.0
instance_316,43.92,1.12,57.8,13.88,59.92,2.48,4.32,23.24
instance_1069,58.6,1.48,242.8,63.2,257.2,28800.0,27.04,60.8
instance_1032,91.2,8.24,112.8,30.48,84.4,8.08,5.2,99.48
instance_587,70.96,28800.0,96.8,1747.4,89.28,28800.0,326.56,42.44
instance_18,1757.48,28800.0,2223.4,28800.0,1478.12,28800.0,28800.0,2694.76
instance_519,1556.08,28800.0,1486.84,28800.0,1516.12,28800.0,28800.0,1770.12
instance_248,339.32,0.16,244.6,12.24,270.56,1.64,3.56,623.6
instance_385,6.72,315.52,1.96,35.4,6.28,361.84,244.36,4.68
instance_484,592.72,0.48,395.68,324.6,382.36,0.44,18.8,561.56
instance_943,57.8,28800.0,38.72,28800.0,112.76,28800.0,28800.0,61.68
instance_1171,11243.72,0.8,2095.32,7.36,2041.16,0.72,1.48,11449.52
instance_998,473.72,28800.0,221.32,28800.0,435.56,28800.0,28800.0,351.88
instance_1061,28800.0,3656.88,28800.0,5266.12,28800.0,7414.84,28800.0,28800.0
instance_914,28800.0,28800.0,28800.0,28800.0,28800.0,28800.0,28800.0,23917.92
instance_314,12.32,0.72,19.64,11.76,32.0,1.28,3.8,9.76
instance_430,28800.0,28800.0,28800.0,28800.0,28800.0,28800.0,324.8,28800.0
instance_278,3.44,197.32,1.08,27.24,1.84,471.24,1.92,2.36
instance_968,35.6,8.4,67.88,13.84,69.28,8.6,3.8,40.68
instance_749,38.68,28800.0,38.72,28800.0,48.96,28800.0,14308.12,25.8
instance_93,60.72,152.52,164.84,42.52,126.16,251.56,402.84,96.12
instance_638,87.28,28800.0,165.04,28800.0,230.6,28800.0,28800.0,77.72
instance_432,860.32,1.32,2226.48,13.56,2244.64,1.92,4.4,847.64
instance_547,589.88,28800.0,812.52,4431.28,714.96,28800.0,309.8,478.4
instance_45,219.04,28800.0,367.6,1912.8,401.4,28800.0,1850.44,312.96
instance_755,37.64,3.12,32.12,24.64,41.88,2.28,3.44,40.96
instance_534,109.36,1229.52,38.44,6743.36,88.32,2371.92,1.96,105.76
instance_152,16348.44,28800.0,8700.52,28800.0,7829.24,28800.0,28800.0,10386.12
instance_580,11.6,28800.0,3.28,28800.0,5.64,28800.0,18.44,9.04
instance_117,118.36,576.04,436.92,166.36,383.64,1083.48,50.6,99.12
instance_611,1.52,28800.0,0.44,76.8,0.44,28800.0,3.2,0.96
instance_862,17214.68,28800.0,7843.32,28800.0,7762.16,28800.0,28800.0,12586.44
instance_30,47.68,28800.0,21.32,60.2,37.36,28800.0,8321.04,37.96
instance_788,6041.48,28800.0,28800.0,28800.0,18029.92,28800.0,28800.0,5756.08
instance_726,18416.48,28800.0,20726.4,28800.0,19673.12,28800.0,8253.04,14749.8
instance_275,28800.0,1658.2,28800.0,71.8,28800.0,4788.8,1509.92,28800.0
instance_36,982.64,28800.0,834.4,345.28,1292.04,28800.0,28800.0,395.36
instance_1157,29.72,0.08,23.68,4.08,27.36,0.0,0.8,33.08
instance_947,2.68,224.08,0.52,241.08,3.24,215.48,3.24,0.8
instance_188,2349.92,28800.0,2612.68,28800.0,2541.08,28800.0,28800.0,2614.72
instance_935,17.52,28800.0,27.24,630.36,30.04,28800.0,905.48,31.84
instance_300,28800.0,28800.0,28800.0,28800.0,28800.0,28800.0,28800.0,16496.04
instance_530,98.12,1162.16,39.6,12.84,72.92,2218.92,1.92,41.36
instance_953,64.6,28800.0,171.8,28800.0,160.88,28800.0,28800.0,105.92
instance_912,569.16,28800.0,681.32,28800.0,925.88,28800.0,28800.0,600.56
instance_974,135.08,28800.0,152.92,28800.0,121.32,28800.0,157.24,179.8
instance_752,1260.04,965.0,1089.8,180.28,1313.52,904.4,4.36,1247.04
instance_516,106.0,28800.0,264.2,28800.0,308.28,28800.0,7526.2,108.56
instance_396,332.4,2018.12,200.76,724.28,236.6,2790.2,449.52,268.08
instance_224,226.24,28800.0,382.16,1094.24,328.56,28800.0,2062.16,184.32
instance_808,28800.0,2144.28,28800.0,2340.48,28800.0,2052.2,2289.08,28800.0
instance_826,22.24,294.2,19.0,182.04,56.96,283.16,3.8,20.04
instance_831,2.36,28800.0,0.6,223.44,1.92,28800.0,5.6,0.72
instance_478,48.72,28800.0,22.0,28800.0,42.8,28800.0,8247.2,28.16
instance_1154,1754.24,28800.0,1262.76,28800.0,1401.64,28800.0,22988.52,1881.2
instance_939,103.28,28800.0,356.04,28800.0,353.72,28800.0,28800.0,105.76
instance_745,13.4,28800.0,5.36,28800.0,16.72,28800.0,119.0,7.36
instance_68,28800.0,28800.0,28800.0,3886.6,28800.0,28800.0,28800.0,28800.0
instance_39,6849.44,28800.0,3421.08,113.32,3202.08,28800.0,28800.0,9494.32
instance_1156,90.6,0.52,66.6,5.6,83.88,0.44,1.12,98.64
instance_510,92.8,28800.0,123.88,28800.0,194.36,28800.0,1241.72,74.56
instance_19,3988.24,28800.0,2837.92,28800.0,3244.92,28800.0,28800.0,4152.6
instance_47,173.76,28800.0,193.16,764.2,174.04,28800.0,6491.24,154.08
instance_890,16646.52,28800.0,13171.28,28800.0,12187.2,28800.0,28800.0,17315.16
instance_321,28800.0,6.92,28800.0,55.72,28800.0,8.32,26.64,28800.0
