instance,algorithm_1,algorithm_2,algorithm_3,algorithm_4,algorithm_5,algorithm_6,algorithm_7,algorithm_8
instance_1156,90.6,0.52,66.6,5.6,83.88,0.44,1.12,98.64
instance_848,537.76,2137.16,784.04,521.52,801.36,2008.6,764.4,478.68
instance_275,28800.0,1658.2,28800.0,71.8,28800.0,4788.8,1509.92,28800.0
instance_387,36.32,1584.8,23.96,355.6,43.28,2026.36,316.6,23.44
instance_894,1385.52,28800.0,1193.0,28800.0,1469.48,28800.0,28800.0,971.92
instance_117,118.36,576.04,436.92,166.36,383.64,1083.48,50.6,99.12
instance_917,1186.16,28800.0,465.52,28800.0,520.16,28800.0,26328.08,570.28
instance_1047,174.64,71.72,222.08,54.48,198.2,70.8,125.28,227.8
instance_459,5.6,28800.0,0.2,394.0,0.88,28800.0,3.6,1.92
instance_736,60.4,28800.0,106.56,28800.0,149.76,28800.0,28800.0,67.92
instance_562,12.4,33.56,14.2,118.56,19.96,32.48,1.32,5.64
instance_351,3.68,104.64,0.52,44.72,3.72,152.24,3.64,1.88
instance_1127,21.04,28800.0,8.04,1846.04,10.92,28800.0,100.68,21.8
instance_748,114.56,3226.88,557.6,384.0,489.84,3060.56,347.08,114.44
instance_983,113.44,28800.0,70.68,129.2,66.56,28800.0,57.84,68.84
instance_962,149.0,28800.0,359.52,28800.0,621.12,28800.0,28800.0,180.2
instance_197,7.36,1.92,1.08,24.24,1.84,1.72,2.96,3.6
instance_591,155.4,28800.0,239.88,28800.0,189.88,28800.0,343.32,80.4
instance_972,43.48,12.96,54.64,26.16,44.88,12.48,4.64,31.92
instance_822,1962.4,28800.0,1663.44,28800.0,1269.08,28800.0,28800.0,1818.24
instance_1169,46.6,0.08,25.96,4.4,43.96,0.04,0.92,43.56
instance_928,28.32,54.8,71.32,3657.84,103.76,53.48,4.0,27.96
instance_127,91.88,28800.0,183.28,28800.0,233.72,28800.0,28800.0,104.44
instance_74,15.68,616.0,6.56,83.92,10.8,2838.48,1.52,9.72
instance_781,22.68,4806.84,8.0,14.32,11.56,5077.48,83.92,8.68
instance_286,13.36,28800.0,11.92,28800.0,25.72,28800.0,389.76,7.6
instance_809,2.52,3423.24,0.64,65.4,1.64,3431.56,7.8,1.4
instance_743,1057.2,28800.0,907.24,28800.0,825.84,28800.0,28800.0,1246.52
instance_428,28800.0,28800.0,25721.8,28800.0,20090.6,28800.0,28800.0,28800.0
instance_627,14.72,725.36,25.16,28800.0,32.72,28800.0,64.52,7.76
instance_82,91.88,28800.0,71.4,28800.0,107.48,28800.0,28800.0,62.2
instance_635,412.56,28800.0,1107.44,28800.0,1150.16,28800.0,28800.0,378.72
instance_803,352.2,28800.0,367.52,28800.0,354.32,28800.0,28800.0,329.88
instance_372,14.8,401.56,6.48,157.16,11.4,475.0,252.32,7.68
instance_451,218.44,28800.0,109.32,469.0,103.92,28800.0,440.48,212.88
instance_544,28800.0,2701.84,28800.0,14942.2,28800.0,5975.4,2674.52,28800.0
instance_398,356.76,2976.64,297.88,176.32,386.08,3569.48,680.04,218.56
instance_670,5228.6,28800.0,6090.96,28800.0,6667.32,28800.0,28800.0,6175.8
instance_890,16646.52,28800.0,13171.28,28800.0,12187.2,28800.0,28800.0,17315.16
instance_495,28800.0,4.8,28800.0,769.36,28800.0,5.6,46.68,28800.0
instance_447,951.8,1872.16,549.0,421.88,851.76,5143.72,302.84,808.0
instance_891,632.88,28800.0,431.8,28800.0,683.6,28800.0,19853.52,601.2
instance_417,5199.88,28800.0,4046.96,28800.0,4340.36,28800.0,981.4,5370.68
instance_933,297.8,3316.12,1842.56,1418.56,3335.88,3330.48,358.56,277.68
instance_706,28800.0,8120.44,28800.0,8315.28,28800.0,7058.84,2509.84,28800.0
instance_79,22.32,28800.0,26.88,28800.0,55.44,28800.0,28800.0,12.16
instance_954,671.84,829.28,795.52,824.92,862.92,795.16,445.72,939.2
instance_977,6411.28,28800.0,3705.36,28800.0,4177.92,28800.0,28800.0,8201.12
instance_187,2109.72,28800.0,1998.6,28800.0,2299.56,28800.0,28800.0,1605.24
instance_370,8.92,460.48,1.36,67.96,6.64,549.56,254.08,3.28
instance_514,0.04,28800.0,0.08,13.76,0.08,28800.0,1.2,0.08
instance_434,270.64,0.4,358.0,10.88,334.0,0.48,2.8,247.56
instance_1098,28800.0,28800.0,28800.0,656.92,28800.0,28800.0,38.28,28800.0
instance_694,63.32,28800.0,80.2,8299.4,105.68,28800.0,1127.04,111.48
instance_826,22.24,294.2,19.0,182.04,56.96,283.16,3.8,20.04
instance_150,6140.08,28800.0,10273.16,28800.0,8902.76,28800.0,28800.0,4723.56
instance_1049,28800.0,61.92,1475.32,152.36,2167.2,64.44,296.72,28800.0
instance_62,28800.0,28800.0,28800.0,4842.16,28800.0,28800.0,28800.0,28800.0
