instance,algorithm_1,algorithm_2,algorithm_3,algorithm_4,algorithm_5,algorithm_6,algorithm_7,algorithm_8,algorithm_9,algorithm_10,algorithm_11,algorithm_12,algorithm_13,algorithm_14,algorithm_15,algorithm_16,algorithm_17,algorithm_18,algorithm_19,algorithm_20,algorithm_21,algorithm_22,algorithm_23,algorithm_24,algorithm_25,algorithm_26,algorithm_27,algorithm_28,algorithm_29,algorithm_30,algorithm_31
instance_162,4800.0,3708.6,4800.0,4800.0,4800.0,4800.0,4800.0,4800.0,4800.0,4800.0,4800.0,4800.0,4800.0,4800.0,4800.0,4800.0,4800.0,4800.0,4800.0,4800.0,4800.0,4800.0,4800.0,4800.0,4800.0,4800.0,4800.0,4800.0,4800.0,4800.0,4800.0
instance_171,4800.0,26.52,978.96,4800.0,4800.0,4800.0,4800.0,4800.0,4.84,823.48,4800.0,8.44,26.52,660.56,4800.0,3674.92,13.68,136.68,4800.0,2461.88,71.16,2.04,2832.68,602.88,28.6,4800.0,29.36,2.8,1435.64,165.32,1177.92
instance_217,3065.64,4800.0,4800.0,3588.04,4800.0,4800.0,936.32,4800.0,4800.0,925.32,554.8,4800.0,0.08,4800.0,4800.0,4800.0,4800.0,868.4,4800.0,4800.0,4800.0,4800.0,4800.0,691.6,4800.0,4541.6,0.08,4800.0,4800.0,0.4,4800.0
instance_393,4800.0,4800.0,4800.0,4800.0,4800.0,4800.0,4800.0,4800.0,4800.0,4800.0,4800.0,4800.0,4800.0,4800.0,4800.0,4800.0,4800.0,4800.0,4800.0,4800.0,4800.0,17.6,4800.0,4800.0,3318.04,4800.0,4800.0,4800.0,4800.0,4800.0,4800.0
instance_988,4800.0,72.84,4800.0,4800.0,4800.0,4800.0,4800.0,4800.0,4800.0,4800.0,4800.0,4800.0,4800.0,4800.0,4800.0,4800.0,4800.0,4800.0,4800.0,4800.0,4800.0,4800.0,4800.0,4800.0,4800.0,4800.0,4800.0,4800.0,4800.0,4800.0,4800.0
instance_1110,1988.88,4800.0,23.6,22.04,23.4,829.56,42.88,101.84,21.44,12.6,4800.0,4800.0,18.2,42.36,29.08,14.72,4800.0,41.36,4800.0,20.44,4800.0,1.4,458.52,17.88,4800.0,41.28,18.52,4800.0,27.04,44.32,44.84
instance_9,253.68,4800.0,61.4,60.8,36.36,51.24,126.8,1102.2,42.2,79.24,4800.0,4800.0,151.92,52.16,52.96,36.72,4800.0,54.84,4800.0,52.92,4800.0,811.92,181.96,146.68,4800.0,34.88,152.56,4800.0,93.12,131.6,53.28
instance_813,4800.0,4800.0,4800.0,4800.0,4800.0,4800.0,4800.0,4800.0,4800.0,4800.0,4800.0,4800.0,325.8,4800.0,4800.0,4800.0,4800.0,4800.0,4800.0,4800.0,4800.0,4800.0,4800.0,4800.0,3037.28,4800.0,259.24,4800.0,4800.0,177.2,4800.0
instance_1377,1702.04,4800.0,109.8,77.72,155.88,321.4,671.08,476.6,290.16,797.08,4800.0,4800.0,132.64,228.96,176.6,231.0,4800.0,148.04,4800.0,255.28,4800.0,2463.72,153.24,1861.28,4800.0,145.92,141.72,4800.0,142.6,255.08,103.88
instance_949,4800.0,4800.0,4800.0,4800.0,4800.0,4800.0,688.0,4800.0,4800.0,992.52,44.44,4800.0,211.16,4800.0,4800.0,4800.0,4800.0,1680.08,4800.0,4800.0,4800.0,4800.0,4800.0,1103.72,4800.0,4800.0,888.48,4800.0,4800.0,778.04,4800.0
instance_1217,4800.0,2.12,4800.0,4800.0,4800.0,4800.0,4800.0,4800.0,4800.0,4800.0,4800.0,81.12,519.48,4800.0,4800.0,4800.0,1029.24,4800.0,32.6,4800.0,39.72,4800.0,4800.0,4800.0,35.76,4800.0,552.56,107.04,4800.0,454.44,4800.0
instance_1121,4800.0,2.52,4800.0,4800.0,4800.0,4800.0,4800.0,4800.0,4800.0,4800.0,385.76,3.28,225.2,4800.0,4800.0,4800.0,18.36,4800.0,4800.0,4800.0,0.68,4800.0,4800.0,4800.0,0.44,4800.0,246.4,0.24,4800.0,4800.0,4800.0
