instance,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19,feature_20,feature_21,feature_22,feature_23,feature_24,feature_25,feature_26,feature_27,feature_28,feature_29,feature_30,feature_31,feature_32,feature_33,feature_34,feature_35,feature_36,feature_37
instance_578,138795.0,4810148.0,0.02885,1.0,0.0,1.0,1.0,0.02885,2e-05,4.39482,0.0,0.00296,0.00296,2e-05,2.85857,1e-05,0.00254,0.00253,0.27194,0.7257,0.00563,0.97778,0.97214,0.10214,1.97868,0.0,1.0,1.0,0.02885,0.83575,0.98743,1e-05,0.0,0.0,0.00148,0.00148,0.96048
instance_390,5520.0,86812.0,0.00191,1.0,0.0,1.0,1.0,0.06359,0.00045,0.81186,1e-05,0.00164,0.00162,0.00045,0.29654,0.00018,0.00707,0.00688,0.50014,0.605,0.0,0.99296,0.99296,0.71785,0.3165,0.0,1.0,1.0,0.00257,0.5346,0.99792,0.00013,0.0,0.0,0.00078,0.00078,0.31598
instance_133,1060.0,2935.0,0.07768,1.0,0.0,1.0,1.0,0.36116,0.00251,0.53178,0.00068,0.00647,0.00579,0.00251,0.26118,0.00094,0.00377,0.00283,0.48314,0.22347,0.25,1.0,0.75,0.43941,0.63977,0.0,1.0,1.0,0.10733,0.25451,0.97819,0.00125,0.0,0.00034,0.00375,0.00341,0.56184
instance_12,77530.0,350480.0,0.01198,1.0,0.0,1.0,1.0,0.22121,3e-05,0.64604,1e-05,9e-05,8e-05,3e-05,0.3667,1e-05,9e-05,8e-05,0.35535,0.28307,0.22222,0.88889,0.66667,0.30911,0.96888,0.0,1.0,1.0,0.03386,0.78194,0.95207,2e-05,0.0,1e-05,7e-05,7e-05,0.78194
instance_193,62441.0,141710.0,0.05448,1.0,0.0,1.0,1.0,0.44063,4e-05,6.52679,1e-05,0.03625,0.03624,4e-05,0.42065,2e-05,0.00149,0.00147,0.50437,0.50833,0.0,1.0,1.0,0.4908,0.50489,0.0,1.0,1.0,0.13114,0.5894,0.92716,2e-05,0.0,1e-05,0.00232,0.00231,0.71293
instance_190,10793.0,83543.0,0.09696,1.0,0.0,1.0,1.0,0.12919,0.00022,3.40289,1e-05,0.02366,0.02365,0.00022,0.55,9e-05,0.0164,0.01631,0.35933,0.72866,0.0,1.0,1.0,0.44399,0.6414,0.0,1.0,1.0,0.11018,0.72417,0.83972,0.00012,0.0,0.0,0.02274,0.02274,0.72407
instance_211,11413.0,87764.0,0.09776,1.0,0.0,1.0,1.0,0.13004,0.00021,3.47995,1e-05,0.02387,0.02386,0.00021,0.54598,9e-05,0.01551,0.01542,0.35793,0.73117,0.0,1.0,1.0,0.44244,0.64315,0.0,1.0,1.0,0.11058,0.72485,0.84032,0.00012,0.0,0.0,0.02315,0.02315,0.72468
instance_82,49694.0,152093.0,0.00364,1.0,0.0,1.0,1.0,0.32673,5e-05,1.34671,1e-05,0.00256,0.00256,5e-05,1.38168,2e-05,0.00783,0.00781,0.49828,0.18305,0.00513,1.0,0.99487,0.49079,0.26994,0.0,1.0,1.0,0.00365,0.67016,0.98646,4e-05,0.0,0.0,0.00255,0.00255,0.82312
instance_398,6418.0,114883.0,0.00157,1.0,0.0,1.0,1.0,0.05587,0.00039,0.80119,1e-05,0.00125,0.00124,0.00039,0.40354,0.00016,0.01013,0.00997,0.50163,0.74177,0.0,1.0,1.0,0.72744,0.32968,0.0,1.0,1.0,0.00203,0.53964,0.99822,0.00012,0.0,0.0,0.00049,0.00049,0.3241
instance_577,5471.0,182538.0,0.02592,1.0,0.0,1.0,1.0,0.02997,0.00047,0.57901,1e-05,0.00216,0.00215,0.00047,0.49513,0.00018,0.00347,0.00329,0.10612,1.49599,0.0,0.5082,0.5082,0.07512,2.85826,0.0,1.0,1.0,0.02774,0.60245,0.92961,0.00039,0.0,1e-05,0.0011,0.00109,0.89953
