instance,algorithm_1,algorithm_2,algorithm_3,algorithm_4,algorithm_5,algorithm_6,algorithm_7,algorithm_8,algorithm_9,algorithm_10,algorithm_11,algorithm_12,algorithm_13,algorithm_14,algorithm_15,algorithm_16,algorithm_17,algorithm_18,algorithm_19
instance_578,18000.0,50.51,18000.0,18000.0,3.91,72.38,5.3,18000.0,18000.0,264.09,18000.0,18000.0,12.39,36.59,18000.0,247.51,60.09,29.14,7.45
instance_390,18000.0,2.19,18000.0,18000.0,2.01,0.18,0.09,2.35,18000.0,0.17,1.53,18000.0,0.14,0.24,18000.0,1.15,0.27,0.21,0.15
instance_133,0.2,0.1,3.75,0.2,0.08,0.05,0.01,0.12,18000.0,0.06,0.6,15.08,0.01,0.05,13.71,0.07,0.03,0.06,0.01
instance_12,18000.0,46.62,18000.0,18000.0,64.4,52.23,73.02,1539.13,18000.0,183.41,494.24,18000.0,24.63,97.03,18000.0,588.88,156.78,145.32,31.35
instance_193,18000.0,8.12,18000.0,18000.0,19.7,4.08,20.81,21.88,18000.0,3.51,30.05,18000.0,3.57,2.89,18000.0,6.25,4.01,3.22,10.2
instance_190,18000.0,5.76,18000.0,18000.0,7.75,3.11,7.68,1.46,18000.0,2.03,32.52,1570.71,1.37,0.29,1132.19,0.54,0.31,1.87,1.62
instance_211,18000.0,40.6,18000.0,18000.0,62.44,8.69,50.76,7.02,18000.0,19.39,248.9,18000.0,2.78,0.66,18000.0,2.67,0.82,16.61,3.82
instance_82,18000.0,158.18,18000.0,18000.0,415.6,8.72,71.79,331.92,18000.0,337.45,1224.53,18000.0,50.7,21.36,18000.0,43.75,11.36,338.1,21.91
instance_398,18000.0,240.69,18000.0,18000.0,413.4,41.23,18000.0,18000.0,18000.0,271.67,1550.45,18000.0,341.48,18000.0,18000.0,18000.0,18000.0,250.58,1268.44
instance_577,18000.0,12.69,18000.0,18000.0,11.91,5.65,3.4,18000.0,18000.0,27.41,20.27,18000.0,4.87,12.53,18000.0,115.21,23.38,29.62,3.0
instance_349,18000.0,124.28,18000.0,18000.0,95.52,144.57,125.64,50.18,18000.0,137.95,49.05,18000.0,146.16,15.22,18000.0,17.99,16.08,71.47,105.93
instance_516,801.12,0.96,18000.0,839.1,0.87,1.79,0.51,47.16,18000.0,0.66,0.87,18000.0,0.63,0.92,18000.0,8.35,1.46,0.41,0.92
instance_365,18000.0,1.04,18000.0,18000.0,0.79,0.51,0.44,101.49,18000.0,0.64,1.03,18000.0,0.25,0.3,18000.0,6.96,0.32,0.66,0.48
instance_299,18000.0,94.21,18000.0,18000.0,88.42,3.04,3.09,11.03,18000.0,2.29,7.03,18000.0,3.31,2.67,18000.0,6.25,2.82,2.93,2.92
instance_224,18000.0,19.52,18000.0,18000.0,39.59,5.33,32.44,3.88,18000.0,11.86,175.84,1206.46,2.29,0.55,1379.32,1.58,0.61,11.15,3.86
instance_544,131.51,127.39,18000.0,131.67,11.0,2.45,0.3,64.63,18000.0,1.21,2.76,106.68,0.16,32.27,86.62,75.31,18.88,1.04,0.32
instance_471,18000.0,590.0,18000.0,18000.0,993.69,18000.0,18000.0,18000.0,18000.0,814.23,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,1439.2,764.49,934.54
